mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
44583,L4:O94782:44583,0,66,0,8.8861,COC(=O)Cc1cnc(-c2ccccc2C(C)C)nc1NCc1ccc(-c2nc(C(F)(F)F)cn2C)cc1,-9.53578,9.53578,-6.605761279693038,-49221.00780101295,-49221.99152708521,-49222.581522080116,22.685262141488852,13.605607799922975,29.68510866171879,1000,59,14,0.0044590383768081665,False,,9.0
55799,L4:O94782:55799,0,73,1,8.1421,COc1ncnc(C2CC2)c1-c1ncc2c3ccc(NS(C)(=O)=O)cc3n(Cc3ccc(-c4nc(C(F)(F)F)cn4C)cc3)c2n1,-10.01441,10.01441,-19.16082741746921,-69675.46266352922,-69676.55700058071,-69676.71637538023,25.23601191863328,3.6752701873533535,9.750454688517424,650,169,12,0.0019213873893022537,True,,6.0
63266,L4:O94782:63266,0,68,2,8.5031,COc1ncnc(C2CC2)c1-c1ncc2c3ccncc3n(Cc3ccc4c(c3)CCCn3cc(C(F)(F)F)nc3-4)c2n1,-11.04289,11.04289,-2.041192358581012,-54709.51873213146,-54710.1777375288,-54710.26235523771,15.197025486027174,1.951330723671899,15.107163851118061,567,300,7,0.001974927494302392,True,,8.0
82334,L4:O94782:82334,0,75,3,7.5834,COc1ccc2c(c1)c1cnc(-c3c(OC)ncnc3C3CC3)nc1n2Cc1ccc(-c2nc(C(F)(F)F)cn2C(C)C)cc1,-10.82919,10.82919,-6.713093766991756,-57423.77516841485,-57424.50532228156,-57424.64721494342,16.837748166951094,3.272122515570141,13.396776915529479,397,94,13,0.001907688332721591,True,,7.0
82471,L4:O94782:82471,0,73,4,6.5057,COc1ncnc(C2CC2)c1-c1ncc(F)c(N2CCCCC2c2ccc(-c3nc(C(F)(F)F)cn3C(C)C)cc2)n1,-8.80829,8.80829,25.37334065736353,-54996.661256958774,-54997.163302089255,-54997.446069251775,11.577435744582711,6.520765676221591,43.471542078167836,419,265,11,0.0018082907190546393,True,,10.0
104572,L4:O94782:104572,0,66,5,8.0757,COc1cnc(-c2c(OC)ncnc2C2CC2)nc1NCC1CCN(c2nc(C(F)(F)F)cn2C)CC1,-8.74441,8.74441,-28.377145968220717,-49558.04515507641,-49558.831135377644,-49559.17703583283,18.12513633049604,7.976653991407309,-2.275355646317367,900,271,12,0.0015575155848637223,True,,4.0
107087,L4:O94782:107087,0,58,6,8.2924,Cc1cc(C(F)(F)F)nn1-c1ccc(CNc2nc(-c3ccccc3C3CC3)nc3ccoc23)cc1,-10.72417,10.72417,-21.636323416233843,-46035.396850655365,-46036.034141265554,-46036.125337007434,14.696270598283162,2.10302376755745,-4.837029050393231,536,99,8,0.0016409555682912469,True,,3.0
114317,L4:O94782:114317,0,68,7,8.4559,COc1ncnc(C2CC2)c1-c1ncc2c3cn(C)nc3n(Cc3ccc(-c4nc(C(F)(F)F)c5ccccn45)cc3)c2n1,-11.38686,11.38686,-35.75228553842143,-56182.41775520945,-56183.301581285355,-56183.45945918548,20.381513497414673,3.6407508671401607,-11.730021173866598,566,71,9,0.0019305075984448195,True,,1.0
117314,L4:O94782:117314,0,60,8,7.699,COc1ncnc(C2CC2)c1-c1nc(NCc2ccc(-c3nc(C(F)F)cn3C)cc2)c2occc2n1,-9.42115,9.42115,-23.99632712779965,-47325.6911968047,-47326.491109749724,-47326.647677709676,18.446430729090142,3.6105429292073334,-1.9393534695021732,918,273,10,0.0015017937403172255,True,,5.0
140915,L4:O94782:140915,0,62,9,7.585,COC1CC(Oc2ccc(CNc3nc(-c4ccccc4C(C)C)nc4ccoc34)cc2)C1,-8.88395,8.88395,-18.01324248495694,-39108.72870313491,-39109.0633545101,-39109.2254759369,7.717244044138127,3.738608917126602,-6.557389523692212,788,131,11,0.0017547310562804341,True,,2.0
