mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
44583,0,L4,O94782,8.8861,COC(=O)Cc1cnc(-c2ccccc2C(C)C)nc1NCc1ccc(-c2nc(C(F)(F)F)cn2C)cc1,0,-9.53578,9.53578,-333038.4397520474,-283818.40376158245,-49219.74953754424,-6.605761279693038
55799,1,L4,O94782,8.1421,COc1ncnc(C2CC2)c1-c1ncc2c3ccc(NS(C)(=O)=O)cc3n(Cc3ccc(-c4nc(C(F)(F)F)cn4C)cc3)c2n1,0,-10.01441,10.01441,-353491.71189312777,-283818.40376158245,-69672.47723942783,-19.160827417469214
63266,2,L4,O94782,8.5031,COc1ncnc(C2CC2)c1-c1ncc2c3ccncc3n(Cc3ccc4c(c3)CCCn3cc(C(F)(F)F)nc3-4)c2n1,0,-11.04289,11.04289,-338524.93153082236,-283818.40376158245,-54706.439254761695,-2.041192358581012
82334,3,L4,O94782,7.5834,COc1ccc2c(c1)c1cnc(-c3c(OC)ncnc3C3CC3)nc1n2Cc1ccc(-c2nc(C(F)(F)F)cn2C(C)C)cc1,0,-10.82919,10.82919,-341239.2246656554,-283818.40376158245,-57420.52979677506,-6.713093766991756
82471,4,L4,O94782,6.5057,COc1ncnc(C2CC2)c1-c1ncc(F)c(N2CCCCC2c2ccc(-c3nc(C(F)(F)F)cn3C(C)C)cc2)n1,0,-8.80829,8.80829,-338810.96146317647,-283818.40376158245,-54993.65799378325,25.37334065736353
104572,5,L4,O94782,8.0757,COc1cnc(-c2c(OC)ncnc2C2CC2)nc1NCC1CCN(c2nc(C(F)(F)F)cn2C)CC1,0,-8.74441,8.74441,-333374.4989187883,-283818.40376158245,-49554.864607689975,-28.377145968220713
107087,6,L4,O94782,8.2924,Cc1cc(C(F)(F)F)nn1-c1ccc(CNc2nc(-c3ccccc3C3CC3)nc3ccoc23)cc1,0,-10.72417,10.72417,-329851.89515828865,-283818.40376158245,-46032.55315692217,-21.636323416233843
114317,7,L4,O94782,8.4559,COc1ncnc(C2CC2)c1-c1ncc2c3cn(C)nc3n(Cc3ccc(-c4nc(C(F)(F)F)c5ccccn45)cc3)c2n1,0,-11.38686,11.38686,-339999.2419135088,-283818.40376158245,-56179.28778608938,-35.75228553842143
117314,8,L4,O94782,7.699,COc1ncnc(C2CC2)c1-c1nc(NCc2ccc(-c3nc(C(F)F)cn3C)cc2)c2occc2n1,0,-9.42115,9.42115,-331141.9313865241,-283818.40376158245,-47322.48704571067,-23.99632712779965
140915,9,L4,O94782,7.585,COC1CC(Oc2ccc(CNc3nc(-c4ccccc4C(C)C)nc4ccoc34)cc2)C1,0,-8.88395,8.88395,-322925.5051871508,-283818.40376158245,-39106.32029744349,-18.01324248495694
