mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
5536,L4:Q6SZW1:5536,0,27,0,10.0,Cc1ccncc1-c1ccc2[nH]c(=S)oc2c1,-4.59068,4.59068,12.714837104500225,-29521.079756946318,-29521.526682237498,-29521.528138765556,10.306342053978428,0.033588334949133436,23.054767493427786,58,20,2,0.001970847835764289,True,,3.0
12531,L4:Q6SZW1:12531,0,49,1,6.0,Cc1ccc(NC(=O)N2C3CC(C)CC2C3)cc1C1CCC1C#N,-4.9473,4.9473,8.458213327857605,-27683.191360023426,-27683.780598018682,-27683.80787975406,13.588150973231802,0.629131763544317,22.675496064633723,365,223,6,0.0017146918689832091,True,,2.0
20829,L4:Q6SZW1:20829,0,25,2,10.0,Cc1ccncc1-c1cc(O)cc(Cl)c1,-4.70537,4.70537,35.7573619402347,-28679.748988172087,-28679.962290568055,-28679.96169569645,4.918870104620451,-0.013718065126789197,40.66251397972837,29,50,3,0.0019688878674060106,True,,8.0
22712,L4:Q6SZW1:22712,0,42,3,6.4547,ClC1=CC=C(C=C1)[C@@H]1CN(C[C@H]1O)C(=O)C1=CC(=NN1)C1=CN=NC=C1,-5.00788,5.00788,18.345713769877428,-43014.76893146927,-43015.5435766367,-43015.61783401946,17.86374193532412,1.7124159268960903,37.92187163209764,277,73,5,0.001950506935827434,True,,7.0
37606,L4:Q6SZW1:37606,0,41,4,6.308,ClC1=CC=C(C=C1)[C@H]1CN(CC1)C(=O)C1=C(C(=NN1)C1=CN=NC=C1)F,-5.25846,5.25846,7.834853933944022,-43668.20335718925,-43668.816676978124,-43668.9439958461,14.14349032670836,2.9360428447241067,24.914387105376488,597,68,4,0.0019398180302232504,True,,4.0
80793,L4:Q6SZW1:80793,0,44,5,6.3696,ClC1=CC=C(C=C1)C1CN(CC1)C(=O)C1=C(C(=NN1)C1=CN=NC=C1)C,-5.35671,5.35671,5.616320205452001,-42037.01701675493,-42037.6503475406,-42037.70908186114,14.604954875532396,1.3544456081272505,21.575720689111648,490,104,5,0.001985557610169053,True,,1.0
94916,L4:Q6SZW1:94916,0,46,6,6.0,N#C[C@H]1CC[C@H]1c1cc(NC(=O)N2C3CC2CC(C(F)(F)F)C3)ccc1Cl,-4.9287,4.9287,11.403289284712187,-47227.91187517406,-47228.52519343532,-47228.658739177365,14.143455099204976,3.0796379719528075,28.62638235586997,522,168,5,0.0018567865481600165,True,,5.0
121886,L4:Q6SZW1:121886,0,28,7,7.2967,Cc1c[nH]c(=O)cc1-c1ccc2[nH]c(=O)oc2c1,-4.69347,4.69347,14.054550126846586,-22781.59887950712,-22782.2854463165,-22782.28773675967,15.832606746573083,0.0528188743133736,29.939975747733044,199,90,2,0.0019436607835814357,True,,6.0
129162,L4:Q6SZW1:129162,0,29,8,6.6819,Cc1ccncc1-c1ccc2[nH]nc(N)c2c1,-5.23473,5.23473,41.43877061514858,-19650.03038393744,-19650.45247502238,-19650.45541970172,9.733651653134277,0.06790591879942624,51.240328187082284,121,33,3,0.0019713600631803274,True,,9.0
129698,L4:Q6SZW1:129698,0,48,9,6.0,CC1CC2CC(C1)N2C(=O)Nc1ccc(Cl)c(N2CC[C@H](O)C2)c1,-5.06866,5.06866,80.13673823529784,-40164.56799681253,-40165.107493084026,-40165.16320349591,12.441079573197573,1.2847126179428179,93.86253042643823,224,199,6,0.0018595358124002814,True,,10.0
