mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
5536,0,L4,Q6SZW1,10.0,Cc1ccncc1-c1ccc2[nH]c(=S)oc2c1,0,-4.59068,4.59068,-192564.32105672866,-163044.4020183429,-29520.47040590738,12.714837104500225
12531,1,L4,Q6SZW1,6.0,Cc1ccc(NC(=O)N2C3CC(C)CC2C3)cc1C1CCC1C#N,0,-4.9473,4.9473,-190725.0165579924,-163044.4020183429,-27680.98132249396,8.458213327857605
20829,2,L4,Q6SZW1,10.0,Cc1ccncc1-c1cc(O)cc(Cl)c1,0,-4.70537,4.70537,-191722.21143628145,-163044.4020183429,-28679.36000390914,35.7573619402347
22712,3,L4,Q6SZW1,6.4547,ClC1=CC=C(C=C1)[C@@H]1CN(C[C@H]1O)C(=O)C1=CC(=NN1)C1=CN=NC=C1,0,-5.00788,5.00788,-206057.5151481728,-163044.4020183429,-43013.90867527421,18.345713769877428
37606,4,L4,Q6SZW1,6.308,ClC1=CC=C(C=C1)[C@H]1CN(CC1)C(=O)C1=C(C(=NN1)C1=CN=NC=C1)F,0,-5.25846,5.25846,-206711.4557497536,-163044.4020183429,-43667.39348283342,7.834853933944022
80793,5,L4,Q6SZW1,6.3696,ClC1=CC=C(C=C1)C1CN(CC1)C(=O)C1=C(C(=NN1)C1=CN=NC=C1)C,0,-5.35671,5.35671,-205080.36717014565,-163044.4020183429,-42036.2086984976,5.616320205452001
94916,6,L4,Q6SZW1,6.0,N#C[C@H]1CC[C@H]1c1cc(NC(=O)N2C3CC2CC(C(F)(F)F)C3)ccc1Cl,0,-4.9287,4.9287,-210269.6506435471,-163044.4020183429,-47225.74311862944,11.403289284712187
121886,7,L4,Q6SZW1,7.2967,Cc1c[nH]c(=O)cc1-c1ccc2[nH]c(=O)oc2c1,0,-4.69347,4.69347,-185824.86146977058,-163044.4020183429,-22781.068914404455,14.054550126846586
129162,8,L4,Q6SZW1,6.6819,Cc1ccncc1-c1ccc2[nH]nc(N)c2c1,0,-5.23473,5.23473,-182692.11249711813,-163044.4020183429,-19649.50743394384,41.438770615148584
129698,9,L4,Q6SZW1,6.0,CC1CC2CC(C1)N2C(=O)Nc1ccc(Cl)c(N2CC[C@H](O)C2)c1,0,-5.06866,5.06866,-203204.26430304526,-163044.4020183429,-40163.3373425728,80.13673823529784
