mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
11758,L4:Q70CQ3:11758,0,49,0,8.699,N#Cc1cccc(C2=CNC(C(=O)N[C@@H]3C[C@@H](CN4C=NNC4)N(C#N)C3)O2)c1,-6.74343,6.74343,-3.7583673275072416,-36064.646814151485,-36065.73060392949,-36065.999745671,24.992786014077566,6.206556003178935,27.44097468974926,505,300,6,0.0018133890116587281,True,,1.0
50763,L4:Q70CQ3:50763,0,67,1,6.2798,CC(C)(C)NS(=O)(=O)c1ccc(NC[C@H](O)[C@H](Cc2ccncc2)NC(=O)c2ccc(F)cc2)cc1,-6.75766,6.75766,42.68780369212716,-55200.242834608674,-55201.21458820989,-55201.5105068823,22.409170400455707,6.824046699108577,71.92102079169145,553,107,16,0.001352286315523088,True,,5.0
56067,L4:Q70CQ3:56067,0,65,2,6.2798,CC(C)(C)NS(=O)(=O)c1ccc(NC(=O)[C@H](Cc2ccccc2)NC(=O)c2ccc3nn[nH]c3c2)cc1,-7.51336,7.51336,42.49176132352241,-55414.37068312963,-55415.30697746023,-55415.53666057014,21.591460194434205,5.296618341927165,69.37983985988379,511,253,14,0.0019575185142457485,True,,2.0
83746,L4:Q70CQ3:83746,0,77,3,6.2798,COc1cc(NC(=O)[C@@H]2C[C@@H](C3CCCCC3)CN2C(=O)c2ccc(F)cc2)ccc1S(=O)(=O)NC(C)(C)C,-7.22481,7.22481,55.12558721142783,-58985.87030753502,-58986.335495323205,-58986.511675399146,10.727485239643139,4.062809068048155,69.91588151911913,552,132,14,0.0017854737816378474,True,,3.0
83823,L4:Q70CQ3:83823,0,50,4,7.4559,N#CN1C[C@H](NC(=O)c2nnc(-c3ccccc3C3CC3)o2)C[C@H]1Cn1ccnn1,-6.70781,6.70781,42.37654632692525,-37102.24585227776,-37103.38202263352,-37103.52960570929,26.200710832807985,3.4033465777826644,71.9806037375159,495,96,7,0.001884504221379757,True,,6.0
84276,L4:Q70CQ3:84276,0,61,5,7.301,C[C@H](CO)NS(=O)(=O)c1ccc(NC(=O)[C@H](Cc2ccccc2)NC(=O)c2ccc(F)cc2)cc1,-7.3843,7.3843,91.14960520055315,-54638.484459051906,-54639.35537527917,-54639.612860066234,20.08380531529267,5.937740247739925,117.17115076358574,572,81,14,0.001885090721771121,True,,10.0
88746,L4:Q70CQ3:88746,0,71,6,7.301,COc1cc(NC(=O)[C@H](CC2CCOCC2)NC(=O)c2ccc(F)cc2)cnc1S(=O)(=O)NC1CCCC1,-7.41406,7.41406,50.80329559996656,-59329.05367371478,-59329.974744735024,-59330.1298104792,21.240402317780333,3.5759010104768962,75.6195989282238,504,148,13,0.0019931623246520758,True,,7.0
91823,L4:Q70CQ3:91823,0,61,7,6.2798,O=C(N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(S(=O)(=O)NCc2cnc[nH]2)cc1)c1ccc(F)cc1,-7.63195,7.63195,81.60719311667349,-56576.882787612165,-56577.83704826016,-56578.3629004511,22.005773315975343,12.12643960104929,115.73940603369812,872,58,12,0.001371186226606369,True,,9.0
98772,L4:Q70CQ3:98772,0,77,8,6.2798,COc1cc(NC(=O)[C@H](CC2CCOCC2)NC(=O)c2ccc(F)cc2)ccc1S(=O)(=O)NC1CCN(C)CC1,-7.31158,7.31158,66.38934182119155,-61469.209404308334,-61470.201550455065,-61470.48598816912,22.879433671656912,6.559289509849744,95.82806500269821,435,163,14,0.0018254045862704515,True,,8.0
122285,L4:Q70CQ3:122285,0,67,9,7.301,CC(C)(C)NS(=O)(=O)c1ccc(NC(=O)[C@H](CC2CCOCC2)NC(=O)c2ccc(F)cc2)cc1,-7.2953,7.2953,43.71527450184902,-54736.23002325033,-54737.11322778048,-54737.44644434479,20.367180311651932,7.6841565191746515,71.7666113326756,773,202,14,0.0018726668786257505,True,,4.0
