mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
47771,L4:Q96PC2:47771,0,32,0,6.2596,FC(F)(F)c1ccc(-c2onc3ccc(-c4nnn[nH]4)cc23)cc1,-11.50184,11.50184,-14.620610810229524,-33352.514406273374,-33353.2366524569,-33353.276631176086,16.65539266069015,0.9219311659830868,2.9567130164437136,202,125,3,0.0008953122887760401,True,,1.0
56692,L4:Q96PC2:56692,0,29,1,6.2596,Fc1ccc(-c2onc3ccc(-c4nnn[nH]4)cc23)cc1,-10.53873,10.53873,18.93432569594153,-26877.276324839506,-26877.915029628006,-26877.924620308208,14.728882324850465,0.22116633951842019,33.88437436031042,157,67,2,0.0016302502481266856,True,,4.0
78778,L4:Q96PC2:78778,0,35,2,6.2596,Cc1cc(C)cc(-c2onc3ccc(-c4nnn[nH]4)cc23)c1,-10.8368,10.8368,16.476723816779035,-26316.30451355608,-26316.905456986548,-26316.931302498004,13.858084721821108,0.596011653144405,30.930820191744548,430,77,4,0.001878020353615284,True,,3.0
90170,L4:Q96PC2:90170,0,37,3,6.2596,OC(=O)c1ccc2noc(-c3cccc(c3)-c3ccccc3)c2c1,-11.16611,11.16611,28.14526301085809,-28601.895379221663,-28602.229392398625,-28602.289435428156,7.702526843386655,1.3846251543900236,37.23241500863477,177,104,4,0.0017346011009067297,True,,5.0
90556,L4:Q96PC2:90556,0,42,4,6.2596,OC(=O)\C=C\c1ccc2noc(-c3ccc(Oc4ccccc4)cc3)c2c1,-6.69364,6.69364,39.47236288387519,-32757.293891848472,-32757.672043934235,-32757.889143304474,8.720394260982525,5.006430411380564,53.19918755623828,453,162,6,0.001934642088599503,True,,8.0
92446,L4:Q96PC2:92446,0,38,5,6.2596,c1cncc(-c2ccc(-c3onc4ccc(-c5nnn[nH]5)cc34)cc2)c1,-6.46511,6.46511,19.29747688274172,-30903.541953813066,-30904.24714997695,-30904.404936182596,16.262209867184815,3.6386363423443524,39.19832309227089,218,178,3,0.0019074671436101198,True,,6.0
100001,L4:Q96PC2:100001,0,29,6,6.2596,Clc1ccc(-c2onc3ccc(-c4nnn[nH]4)cc23)cc1Cl,-11.02103,11.02103,6.80601990240943,-49191.26060346465,-49191.94234412683,-49191.96776592572,15.72131314822481,0.586240609273885,23.113573659908127,182,36,2,0.001923892181366682,True,,2.0
120558,L4:Q96PC2:120558,0,44,7,6.2596,O=C(O)c1ccc2noc(-c3ccc(C(=O)NCCC4CC4)cc3)c2c1,-5.65099,5.65099,26.461378805460345,-32222.393568935997,-32222.8910425075,-32223.158615334494,11.47201309013888,6.170375975052322,44.10376787065155,232,161,8,0.0019045372027903795,True,,7.0
126242,L4:Q96PC2:126242,0,60,8,7.2596,CC(C)(C)OC(=O)N1CCC(Oc2cccc(-c3onc4ccc(-c5nnn[nH]5)cc34)c2)CC1,-6.13791,6.13791,28.217853931899484,-42466.58482991866,-42467.52360861812,-42467.85261284046,21.648751101165036,7.587017605868186,57.4536226389327,398,86,10,0.001980635803192854,True,,9.0
128854,L4:Q96PC2:128854,0,46,9,8.0,O=C(Nc1ccc(-c2onc3ccc(-c4nnn[nH]4)cc23)cc1)C1CCCC1,-6.25088,6.25088,39.70186165539276,-34088.44494290939,-34089.252841691414,-34089.508961492524,18.630588505216643,5.906262923863233,64.23871308447264,217,296,5,0.001993449404835701,True,,10.0
