mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
19156,L4:Q9GZQ6:19156,0,71,0,6.3809,O=C(CN1CCCC1)NCC1(Cc2cccc3ccccc23)CCN(Cc2ccccc2)CC1,-10.70077,10.70077,10.071584735832346,-38257.594207525945,-38257.86940347443,-38258.18238026138,6.346169332912647,7.217416165260587,23.63517023400558,657,217,9,0.001948480261489749,True,,4.0
23598,L4:Q9GZQ6:23598,0,128,1,8.5686,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H](CCCNC(N)=N)C(=O)N[C@H]1Cc2ccccc2CN(CCC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc2ccccc2)C(N)=O)C1=O |r|,-6.33569,6.33569,16.45492185985489,-81452.05172888722,-81454.3664107597,-81455.2392246242,53.37783203294807,20.12756586940684,89.96031976220979,1000,173,36,0.024125026538968086,False,,9.0
28767,L4:Q9GZQ6:28767,0,81,2,6.2832,O=C(CN1CCC(Cc2ccccc2)CC1)NCC1(Cc2ccc(Cl)c(Cl)c2)CCN(Cc2ccccc2)CC1,-9.31527,9.31527,85.44474546868128,-67523.03327748031,-67523.12176452472,-67523.18838959225,2.0405597200839627,1.5364105564393342,89.02171574520457,355,272,11,0.0018371234182268381,True,,8.0
33055,L4:Q9GZQ6:33055,0,87,3,6.0182,O=C(CN1CCC(Cc2ccccc2)CC1)NCC1(Cc2cccc3ccccc23)CCN(Cc2ccccc2)CC1,-11.4054,11.4054,103.86649576037564,-46690.10254208866,-46690.375329790346,-46691.10444305486,6.290633842375576,16.81375131020385,126.97088091295507,1000,203,11,0.007340556476265192,False,,10.0
39435,L4:Q9GZQ6:39435,0,76,4,6.2976,CN1CCN(CC(=O)NCC2(Cc3cccc4ccccc34)CCN(Cc3ccccc3)CC2)CC1,-10.48039,10.48039,31.657604289998005,-40834.85263741907,-40835.18008812349,-40835.309924330955,7.551192631421454,2.9940940724325573,42.20289099385202,340,216,10,0.0018522411119192839,True,,6.0
40290,L4:Q9GZQ6:40290,0,149,5,6.6904,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H](CCCNC(N)=N)C(=O)N[C@H]1Cc2ccccc2CN(CCC(=O)N[C@@H](CCCN2CCC(Cc3ccccc3)CC2)C(=O)N[C@@H](Cc2ccccc2)C(N)=O)C1=O |r|,-6.90712,6.90712,-12.875591635407549,-90080.72769634203,-90082.67789066749,-90083.68250420027,44.97254952122924,23.166938424112676,55.26389630993437,1000,300,36,0.0062561542727053165,False,,7.0
51831,L4:Q9GZQ6:51831,0,86,6,6.6757,O=C(CN1CCC(Cc2ccccc2)CC1)NCC1(Nc2cccc3ccccc23)CCN(Cc2ccccc2)CC1,-11.1446,11.1446,5.586236722438077,-47127.122769242655,-47127.62508269222,-47127.958984613615,11.583623329636126,7.699961229095385,24.86982128116959,436,300,11,0.0014594077365472913,True,,5.0
120906,L4:Q9GZQ6:120906,0,72,7,6.3188,CC(=O)N1CCN(CC(=O)NCC2(Cc3ccc(Cl)c(Cl)c3)CCN(Cc3ccccc3)CC2)CC1,-9.83007,9.83007,-30.139733650649596,-64754.260343633265,-64754.70451434348,-64755.022259876074,10.242819907895742,7.327386052328871,-12.569527690424982,455,259,11,0.0014349801931530237,True,,2.0
134132,L4:Q9GZQ6:134132,0,78,8,6.2111,CC(=O)N1CCN(CC(=O)NCC2(Cc3cccc4ccccc34)CCN(Cc3ccccc3)CC2)CC1,-10.74081,10.74081,-43.74555284747252,-43921.891061941686,-43922.27355708764,-43922.3393372844,8.820547608245494,1.5169273737122064,-33.40807786551481,188,300,11,0.00186240766197443,True,,1.0
142060,L4:Q9GZQ6:142060,0,75,9,6.1079,CN1CCN(CC(=O)NCC2(Nc3cccc4ccccc34)CCN(Cc3ccccc3)CC2)CC1,-9.6313,9.6313,-19.07063520010984,-41271.80391332395,-41272.07304428478,-41272.205205492624,6.20630739485539,3.0477098548934993,-9.816617950360952,716,194,10,0.0018769167363643646,True,,3.0
