mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
19275,L4:Q9HB14:19275,0,33,0,7.3372,Nc1nonc1-c1nc2cccc(F)c2n1Cc1ccncn1,-5.76021,5.76021,-9.582966500615994,-29892.57149726081,-29893.22287875879,-29893.304669780486,15.021214190081787,1.88614576796871,7.324393457434503,395,70,4,0.0019231548067182302,True,,4.0
25543,L4:Q9HB14:25543,0,33,1,7.301,Nc1nonc1-c1nc2cccc(F)c2n1Cc1ccnnc1,-5.68005,5.68005,-9.18389474961675,-29891.46094715524,-29892.313592778293,-29892.335268751674,19.66247517300082,0.49985982093254505,10.978440244316618,221,118,4,0.001445211237296462,True,,8.0
37384,L4:Q9HB14:37384,0,33,2,7.4318,Nc1nonc1-c1nc2c(F)ccc(F)c2n1Cc1cccnn1,-5.79432,5.79432,-8.401348219079194,-32593.38701219006,-32594.25017446149,-32594.267292515342,19.904994845837926,0.3947516996385711,11.898398326397302,160,148,4,0.0012155784061178565,True,,9.0
39465,L4:Q9HB14:39465,0,34,3,7.4685,Nc1nonc1-c1nc2ccc(F)cc2n1Cc1ccncc1,-5.80703,5.80703,1.4880957863821056,-29455.608514824882,-29456.375658482215,-29456.398074911896,17.69075300287859,0.5169351488612607,19.69578393812196,511,109,4,0.0015388356987386942,True,,10.0
45253,L4:Q9HB14:45253,0,33,4,7.3872,Nc1nonc1-c1nc2cccc(F)c2n1Cc1cccnn1,-5.81235,5.81235,-8.639595442140514,-29891.44223055172,-29892.278583090894,-29892.287329353483,19.286747732927914,0.2016936067688509,10.84884589755625,152,172,4,0.0019328539492562413,True,,7.0
46211,L4:Q9HB14:46211,0,34,5,7.3372,Nc1nonc1-c1nc2cccc(F)c2n1Cc1ccncc1,-5.71552,5.71552,-8.151792513649774,-29455.74252406694,-29456.370278386534,-29456.46974122604,14.476358512870629,2.2936675677875393,8.618233567008394,297,117,4,0.0016827824292704463,True,,5.0
59899,L4:Q9HB14:59899,0,33,6,7.3098,Nc1nonc1-c1nc2cccc(F)c2n1Cc1cncnc1,-5.56116,5.56116,-7.988723399543323,-29892.39020487595,-29893.162759087285,-29893.174018267815,17.815523342275714,0.2596428711463912,10.086442813878783,109,138,4,0.0017396429320797324,True,,6.0
66226,L4:Q9HB14:66226,0,34,7,7.3372,Nc1nonc1-c1nc2ccccc2n1Cc1ccncc1,-5.67689,5.67689,-13.486544531010114,-26753.690931322395,-26754.38776507226,-26754.485036236812,16.069368018765687,2.243126342686444,4.825949830442016,646,67,4,0.0015997400041669607,True,,2.0
71681,L4:Q9HB14:71681,0,34,8,7.3768,Nc1nonc1-c1nc2cc(F)ccc2n1Cc1ccncc1,-5.81676,5.81676,-11.684973594469264,-29455.808132747192,-29456.45415758382,-29456.572433299007,14.897686644815723,2.727502787278266,5.9402158376247245,318,62,4,0.001994200749322772,True,,3.0
74053,L4:Q9HB14:74053,0,35,9,7.0506,Cc1nonc1-c1nc2ccccc2n1Cc1ccncc1,-5.76733,5.76733,-20.17548219331825,-26316.879384738524,-26317.373498328318,-26317.40607198095,11.394530071189893,0.7511662745377786,-8.029785847590578,221,125,4,0.001518857548944652,True,,1.0
