mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
26994,L4:Q9NY59:26994,0,34,0,7.1549,CN(C)c1cnn2ccc(N3CCCC3)nc12,-4.05101,4.05101,-18.80112312525452,-20183.828122485404,-20184.05192806282,-20184.203125019034,5.1610792228026305,3.4866846405827308,-10.15335926186916,274,162,4,0.0017705934587866068,True,,5.0
30532,L4:Q9NY59:30532,0,32,1,6.4559,Nc1cnn2ccc(N3CC4CC(C4)C3)nc12,-4.60796,4.60796,-5.177206388550529,-20150.82445567523,-20151.304700127497,-20151.30623527611,11.0747001619244,0.03540136805163964,5.932895141425511,154,68,2,0.0018292703898623586,True,,10.0
33891,L4:Q9NY59:33891,0,38,2,6.8539,CN(C)c1cnn2ccc(N3CCC[C@@H](O)C3)nc12,-4.50876,4.50876,-35.551177345667305,-23302.63483737076,-23303.04787903158,-23303.156886826924,9.524966975388393,2.513779478462567,-23.512430891816344,320,130,5,0.001943908049724996,True,,2.0
55082,L4:Q9NY59:55082,0,38,3,7.2218,CN(C)c1cnn2ccc(N3CC4CC(C4)C3)nc12,-4.41038,4.41038,-32.75943686829379,-22291.058688387377,-22291.43120788875,-22291.594994847113,8.590503779230879,3.7770169873996924,-20.39191610166322,225,212,4,0.0019323573214933276,True,,4.0
80097,L4:Q9NY59:80097,0,29,4,6.3279,Nc1cnn2ccc(N3CCOCC3)nc12,-4.18884,4.18884,-10.994188019385067,-20091.29690202982,-20091.845060521264,-20091.8476462652,12.640835110728878,0.05962867171211434,1.7062757630559249,104,70,2,0.0019786753691732883,True,,9.0
95666,L4:Q9NY59:95666,0,37,5,6.4949,CC1CCCN1c1ccn2ncc(N(C)C)c2n1,-4.31738,4.31738,-42.08754753733059,-21254.249791277354,-21254.43987961371,-21254.845537000107,4.3835411725799664,9.354681561836742,-28.349324802913884,303,259,5,0.0017773244762793183,True,,1.0
119566,L4:Q9NY59:119566,0,35,6,6.8861,CN(C)c1cnn2ccc(N3CCOCC3)nc12,-3.99593,3.99593,-11.325701978574465,-22231.68218215055,-22231.994726917805,-22232.089485344004,7.20745355446391,2.185181219725565,-1.9330672043849901,218,92,4,0.0018945563351735473,True,,8.0
129489,L4:Q9NY59:129489,0,32,7,6.5528,Nc1cnn2ccc(N3CCC[C@H](O)C3)nc12,-4.87523,4.87523,-25.6714487604002,-21162.072191261534,-21162.63719471347,-21162.757382749052,13.029289127809587,2.771601943249538,-9.870557689341075,322,115,3,0.0016976138576865196,True,,6.0
145307,L4:Q9NY59:145307,0,37,8,6.5229,CC1CCN(c2ccn3ncc(N(C)C)c3n2)C1,-4.52143,4.52143,-12.414110223010038,-21254.415580821937,-21254.65713184071,-21254.74078096404,5.570298821990363,1.9289946094862047,-4.91481679153347,162,148,5,0.0019088860135525465,True,,7.0
146204,L4:Q9NY59:146204,0,41,9,6.9586,CN(C)c1cnn2ccc(N3CC4CCCC4C3)nc12,-4.95619,4.95619,-29.08846058109846,-23362.571223268198,-23362.84242703355,-23362.94020494534,6.254107402719484,2.254812211595379,-20.579540966783597,254,103,4,0.0016883176285773516,True,,3.0
