mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
26994,0,L4,Q9NY59,7.1549,CN(C)c1cnn2ccc(N3CCCC3)nc12,0,-4.05101,4.05101,-178606.24774263377,-158422.40581410367,-20183.02663466704,-18.801123125254517
30532,1,L4,Q9NY59,6.4559,Nc1cnn2ccc(N3CC4CC(C4)C3)nc12,0,-4.60796,4.60796,-178572.20732911307,-158422.40581410367,-20149.577010091885,-5.177206388550529
33891,2,L4,Q9NY59,6.8539,CN(C)c1cnn2ccc(N3CCC[C@@H](O)C3)nc12,0,-4.50876,4.50876,-181725.92983687294,-158422.40581410367,-23301.982377808934,-35.551177345667305
55082,3,L4,Q9NY59,7.2218,CN(C)c1cnn2ccc(N3CC4CC(C4)C3)nc12,0,-4.41038,4.41038,-180713.3717081022,-158422.40581410367,-22289.54531036328,-32.75943686829379
80097,4,L4,Q9NY59,6.3279,Nc1cnn2ccc(N3CCOCC3)nc12,0,-4.18884,4.18884,-178513.66979279235,-158422.40581410367,-20090.78722557336,-10.994188019385067
95666,5,L4,Q9NY59,6.4949,CC1CCCN1c1ccn2ncc(N(C)C)c2n1,0,-4.31738,4.31738,-179677.59412560362,-158422.40581410367,-21253.36322270126,-42.08754753733059
119566,6,L4,Q9NY59,6.8861,CN(C)c1cnn2ccc(N3CCOCC3)nc12,0,-3.99593,3.99593,-180653.9823721444,-158422.40581410367,-22231.085429119536,-11.325701978574465
129489,7,L4,Q9NY59,6.5528,Nc1cnn2ccc(N3CCC[C@H](O)C3)nc12,0,-4.87523,4.87523,-179584.8245282922,-158422.40581410367,-21161.30549480845,-25.671448760400196
145307,8,L4,Q9NY59,6.5229,CC1CCN(c2ccn3ncc(N(C)C)c3n2)C1,0,-4.52143,4.52143,-179676.71348289153,-158422.40581410367,-21253.769342018084,-12.414110223010038
146204,9,L4,Q9NY59,6.9586,CN(C)c1cnn2ccc(N3CC4CCCC4C3)nc12,0,-4.95619,4.95619,-181785.62935787576,-158422.40581410367,-23361.962148735223,-29.08846058109846
