mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
17646,0,L4,Q9Y239,7.2924,Cc1nc2cnccc2c(=O)n1-c1ccc(Cl)c(NS(=O)(=O)c2ccccc2F)c1,0,-9.43363,9.43363,-415729.15621192765,-356563.79871654836,-59170.74246760669,124.1804096165729
21844,1,L4,Q9Y239,7.3768,CCN(CC)CCOc1cc2c(cc1OC)c(ncn2)Nc3cc(c(cc3Cl)Cl)OC,0,-7.31339,7.31339,-416972.4513574628,-356563.79871654836,-60409.37292839862,16.61022398095077
49132,2,L4,Q9Y239,7.1675,O=c1c2cc(Cl)ccc2nc(C(F)(F)F)n1-c1ccc(Cl)c(NS(=O)(=O)c2ccccc2F)c1,0,-11.04702,11.04702,-435907.47137879685,-356563.79871654836,-79348.74479215116,116.96609422380187
77159,3,L4,Q9Y239,8.9208,N#Cc1ccccc1S(=O)(=O)Nc1cc(-n2c(Cl)nc3cnc(Cl)cc3c2=O)ccc1Cl,0,-7.31127,7.31127,-439488.5135227507,-356563.79871654836,-82926.19221445986,34.06984378815321
87531,4,L4,Q9Y239,9.0458,CS(=O)(=O)c1ccc2nc(Cl)n(-c3ccc(Cl)c(NS(=O)(=O)c4ccc5ncsc5c4)c3)c(=O)c2c1,0,-11.42857,11.42857,-453379.89681179967,-356563.79871654836,-96822.54594519321,148.69095198996774
100708,5,L4,Q9Y239,6.8041,COc1cc2c(cc1OC)ncnc2Nc3cccc(c3)O,0,-8.52005,8.52005,-384025.5615671586,-356563.79871654836,-27464.495817954925,63.023724171434104
132103,6,L4,Q9Y239,6.9957,COCCOc1cc2ncnc(Nc3cc(OC)c(Cl)cc3Cl)c2cc1OCCOC,0,-5.82981,5.82981,-418490.1278856519,-356563.79871654836,-61927.899102456395,36.203523174702276
136815,7,L4,Q9Y239,8.5086,Cn1cc(S(=O)(=O)Nc2cc(-n3c(Cl)nc4cnc(Cl)cc4c3=O)ccc2Cl)cn1,0,-8.30962,8.30962,-437883.04057679937,-356563.79871654836,-81320.16002059789,21.173280595626174
144318,8,L4,Q9Y239,6.2218,Cn1c(=O)[nH]c(=O)c2c1nc(CCSc1ccccc1)n2Cc1ccccc1,0,-8.79268,8.79268,-399580.92421439703,-356563.79871654836,-43017.21968404791,2.1719853525496937
145351,9,L4,Q9Y239,7.0915,CSc1nc2ccc(Cl)cc2c(=O)n1-c1ccc(Cl)c(NS(=O)(=O)c2ccccc2F)c1,0,-8.16998,8.16998,-438638.34175939305,-356563.79871654836,-82078.82937422764,98.84514987459666
