mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
8598,L4:Q9Y4K0:8598,0,32,0,6.0,NC/C=C(F)CS(=O)(=O)c1ccc2ccccc2n1,-4.72274,4.72274,29.297397985178183,-34335.49949654024,-34336.01989859795,-34336.04906323085,12.000756543085123,0.6725524119241927,41.9707069401875,205,114,5,0.0009092136169783771,True,,9.0
25837,L4:Q9Y4K0:25837,0,27,1,6.0,NC/C=C(F)CS(=O)(=O)c1ccc(Cl)cc1Cl,-4.62457,4.62457,6.638974362107529,-54731.05058921692,-54731.58102327353,-54731.63688457258,12.232099933547193,1.2881921586199447,20.15926645427467,271,133,5,0.0019126017577946186,True,,3.0
45467,L4:Q9Y4K0:45467,0,29,2,6.0,Cc1cccnc1S(=O)(=O)C/C(F)=C/CN,-4.48522,4.48522,15.227568063094202,-31222.19998951177,-31222.786389105127,-31222.81382838146,13.522695870482677,0.6327647442750304,29.383028677851907,139,93,6,0.0019530977588146925,True,,6.0
49858,L4:Q9Y4K0:49858,0,27,3,6.0,NC/C=C(F)CS(=O)(=O)c1cc(Cl)cc(Cl)c1,-4.53892,4.53892,5.32250508922173,-54731.28986938116,-54731.7118758081,-54731.805729305655,9.731699393263119,2.1643130694973394,17.21851755198219,262,150,5,0.0016930935671553016,True,,1.0
54489,L4:Q9Y4K0:54489,0,55,4,6.0,CC(C)NS(=O)(=O)c1ccc(COc2ccccc2S(=O)(=O)C/C(F)=C/CN)cc1,-5.02923,5.02923,11.230917449188484,-58777.039142987946,-58778.029823760015,-58778.18992070663,22.845641329172352,3.6919232949800813,37.76848207334091,598,140,13,0.0019034489523619413,True,,7.0
82563,L4:Q9Y4K0:82563,0,52,5,6.0,CN(C)S(=O)(=O)c1ccc(COc2ccccc2S(=O)(=O)C/C(F)=C/CN)cc1,-5.1501,5.1501,18.56113990489369,-57705.839501080554,-57706.81443130234,-57707.17306615134,22.482425010929376,8.270316089234154,49.313881005057226,529,134,12,0.0018587290542200208,True,,10.0
99310,L4:Q9Y4K0:99310,0,32,6,6.0,Cc1nc2c(S(=O)(=O)C/C(F)=C/CN)cccc2s1,-4.34376,4.34376,19.21701896360756,-44134.85394781441,-44135.631990083566,-44135.69040650865,17.942080962152062,1.3471147647231436,38.506214690482764,270,70,6,0.0019405137281864882,True,,8.0
99356,L4:Q9Y4K0:99356,0,41,7,6.0,NC/C=C(F)CS(=O)(=O)c1ccccc1OCc1ccccc1,-5.25032,5.25032,6.243249903637313,-39124.889038314635,-39125.52061835637,-39125.69324958606,14.564581761317722,3.9809707292949446,24.78880239424998,392,186,8,0.001723208581097424,True,,5.0
143994,L4:Q9Y4K0:143994,0,29,8,6.0,Cc1cc(S(=O)(=O)C/C(F)=C/CN)ccn1,-4.36461,4.36461,6.460081824565033,-31222.223139568374,-31222.805532474875,-31222.93689843578,13.430299476577217,3.029371024743692,22.91975232588594,397,90,6,0.0018814359791576862,True,,4.0
146616,L4:Q9Y4K0:146616,0,29,9,6.0,Cc1ccncc1S(=O)(=O)C/C(F)=C/CN,-4.50043,4.50043,4.555131496562863,-31222.2072390161,-31222.758754882696,-31222.869429638322,12.718258020955936,2.552220495754304,19.825610013273106,424,91,6,0.001680969842709601,True,,2.0
