mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
8598,0,L4,Q9Y4K0,6.0,NC/C=C(F)CS(=O)(=O)c1ccc2ccccc2n1,0,-4.72274,4.72274,-222820.04693717344,-188486.57967864006,-34334.73771395362,29.297397985178186
25837,1,L4,Q9Y4K0,6.0,NC/C=C(F)CS(=O)(=O)c1ccc(Cl)cc1Cl,0,-4.62457,4.62457,-243216.94864263956,-188486.57967864006,-54730.656857175796,6.638974362107529
45467,2,L4,Q9Y4K0,6.0,Cc1cccnc1S(=O)(=O)C/C(F)=C/CN,0,-4.48522,4.48522,-219707.6190829567,-188486.57967864006,-31221.699734165468,15.227568063094202
49858,3,L4,Q9Y4K0,6.0,NC/C=C(F)CS(=O)(=O)c1cc(Cl)cc(Cl)c1,0,-4.53892,4.53892,-243217.21042984544,-188486.57967864006,-54730.86155687089,5.32250508922173
54489,4,L4,Q9Y4K0,6.0,CC(C)NS(=O)(=O)c1ccc(COc2ccccc2S(=O)(=O)C/C(F)=C/CN)cc1,0,-5.02923,5.02923,-247262.05056691836,-188486.57967864006,-58775.9579069533,11.230917449188484
82563,5,L4,Q9Y4K0,6.0,CN(C)S(=O)(=O)c1ccc(COc2ccccc2S(=O)(=O)C/C(F)=C/CN)cc1,0,-5.1501,5.1501,-246190.57893942058,-188486.57967864006,-57704.8041479862,18.56113990489369
99310,6,L4,Q9Y4K0,6.0,Cc1nc2c(S(=O)(=O)C/C(F)=C/CN)cccc2s1,0,-4.34376,4.34376,-232619.93141708884,-188486.57967864006,-44134.18506726233,19.217018963607558
99356,7,L4,Q9Y4K0,6.0,NC/C=C(F)CS(=O)(=O)c1ccccc1OCc1ccccc1,0,-5.25032,5.25032,-227610.29952121284,-188486.57967864006,-39123.99057551241,6.243249903637313
143994,8,L4,Q9Y4K0,6.0,Cc1cc(S(=O)(=O)C/C(F)=C/CN)ccn1,0,-4.36461,4.36461,-219708.05137744467,-188486.57967864006,-31221.751834466264,6.460081824565033
146616,9,L4,Q9Y4K0,6.0,Cc1ccncc1S(=O)(=O)C/C(F)=C/CN,0,-4.50043,4.50043,-219708.09452336945,-188486.57967864006,-31221.712373926443,4.555131496562863
