layer,uniprot,n_scored,aimnet_spearman,aimnet_kendall,aimnet_pearson,interaction_spearman,smina_spearman,paff_range,optimization_converged
L1,O95271,10,0.8160123484559988,0.6440611887195304,0.8106960588575133,0.8405540732215928,0.5951368255656533,1.2999999999999998,10.0
L1,P00338,10,0.5222329678670935,0.4472135954999579,0.7128942485072466,0.5222329678670935,0.5222329678670935,1.3979,8.0
L1,P06239,10,-0.8185584150125625,-0.6751492859105922,-0.7610609391994102,-0.7139306476801298,-0.18463723646899907,2.8239,10.0
L1,P08922,10,-0.717845449393623,-0.5520524474738834,-0.6519079796193047,-0.6933037246280291,0.5092407888860745,3.6090999999999998,10.0
L1,P0C6U8,10,0.37426130267530777,0.2760262237369417,0.38562834120221007,0.3619904402925108,0.2024692293161501,1.7781000000000002,9.0
L1,P33981,10,-0.29696969696969694,-0.19999999999999998,-0.4025611817833807,-0.11515151515151514,-0.35757575757575755,2.6902,10.0
L1,P35354,10,-0.34545454545454546,-0.24444444444444444,-0.4066702971339178,0.06666666666666665,-0.32121212121212117,1.9465999999999992,10.0
L1,P49327,10,-0.06666666666666665,-0.06666666666666667,-0.12118970918839175,0.04242424242424241,-0.4545454545454545,0.9729000000000001,7.0
L1,P49759,10,0.42073952899018185,0.3409971697352368,0.6055662238828041,0.3292744139923163,0.1890279043289223,3.1738999999999997,10.0
L1,P50053,10,-0.35757575757575755,-0.19999999999999998,-0.2982226028530909,-0.33333333333333326,0.3696969696969697,1.7879000000000005,9.0
L1,P51532,10,-0.17575757575757575,-0.06666666666666667,-0.46202587978038423,-0.5393939393939393,0.4424242424242424,2.2737999999999996,9.0
L1,P56524,10,-0.07878787878787878,-0.06666666666666667,-0.03666151686287179,-0.0303030303030303,0.0303030303030303,2.381499999999999,9.0
L1,P62937,3,1.0,1.0,0.9379693390524496,0.5,-0.5,0.6435000000000004,2.0
L1,Q06124,10,0.17575757575757575,0.06666666666666667,0.014799239849622588,0.006060606060606061,-0.2606060606060606,2.0314999999999994,10.0
L1,Q07343,9,0.5272012675161055,0.36623351038235713,0.6340008027415661,0.7113032974423646,0.3096261412396175,1.7509999999999994,9.0
L1,Q08499,9,-0.21666666666666667,-0.1111111111111111,-0.17991460197469425,0.08333333333333334,-0.7833333333333333,1.3801999999999994,9.0
L1,Q15059,10,-0.790277206784084,-0.6292532049656925,-0.858640813332293,-0.8024353176576852,0.43161293601284584,1.6910000000000007,10.0
L1,Q6GI75,10,-0.2121212121212121,-0.1111111111111111,-0.38415948479035206,-0.17575757575757575,-0.16363636363636364,1.2490000000000006,10.0
L1,Q86WV6,10,0.24848484848484845,0.19999999999999998,-0.054292218227131,0.49090909090909085,-0.11515151515151514,1.0659999999999998,10.0
L1,Q86X55,10,-0.8267515394048879,-0.6741998624632421,-0.7891253989103898,-0.19452977397762067,0.05471149893120582,2.5527999999999995,9.0
