dataset,target,mol_id,aimnet_interaction_kcal_mol_delta,desolvation_kcal_mol_delta,local_strain_kcal_mol_delta,aimnet2_composite_kcal_mol_delta
t3,L1/O95271,3228,-4.4139456974752145,0.3691370390142321,0.01180252405492499,-4.033006134406058
t3,L1/O95271,9152,-3.103175161904087,-1.3291171152414698,0.0020965437571280887,-4.430195733388434
t3,L1/O95271,9726,0.751892089750239,0.5821206661494411,0.34473456144084036,1.6787473173405232
t3,L1/O95271,32927,1.464754441017151,0.8885295354763727,-0.2710238071228863,2.0822601693706364
t3,L1/O95271,33996,4.920083636431763,-2.442444947462807,0.026153711410323854,2.5037924003792824
t3,L1/O95271,39496,7.323505200029826,0.007041005731954542,-0.005025541206545636,7.325520664555233
t3,L1/O95271,67393,9.482322077143687,-0.006013233299585252,0.0058174653082834205,9.482126309152388
t3,L1/O95271,67395,-7.038191462611589,-0.9522722358011357,-0.11595678896136707,-8.106420487374095
t3,L1/O95271,67397,10.586083301139917,-0.008913890086368781,0.08376283708052945,10.66093224813408
t3,L1/O95271,67399,1.7125315231347358,-0.03351503795652633,-0.17539130889593668,1.5036251762822728
t3,L1/P00338,6096,-20.26287151506598,-2.5012997987645775,0.0,-22.764171313830552
t3,L1/P00338,37515,29.484983635659184,-5.007890108696209,0.0,24.47709352696297
t3,L1/P00338,43836,-14.317107366295971,0.2313502459265493,0.0,-14.085757120369422
t3,L1/P00338,47131,21.944408730941397,-6.10001847978933,0.0,15.84439025115206
t3,L1/P00338,69006,1.406959488181828,-6.816431214497211,0.0,-5.409471726315381
t3,L1/P00338,69523,-5.955971969269138,0.1962286191817988,0.0,-5.759743350087337
t3,L1/P00338,69524,17.176069916464336,2.337101520379303,0.0,19.51317143684363
t3,L1/P00338,69525,1.0220888888941655,-5.187407365246411,0.0,-4.1653184763522475
t3,L1/P00338,69526,32.97668871318284,3.2667676264942607,0.0,36.243456339677095
t3,L1/P00338,69527,-7.834145364021758,-3.7111925568211745e-05,0.0,-7.834182475947323
