mol_id,name,formal_charge,n_atoms,source_index,label,paff,smina_affinity_kcal_mol,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
8457,B4RNM9:8457,0,33,0.0,1.0,8.0,-8.93211,-50.69454241740472,-35997.790818797774,-35999.67524484618,-36000.3025160519,43.455897022481075,14.46521764239752,7.226572247473875,1000,187,6,0.006406058091670275,False,,11.0
34432,B4RNM9:34432,0,35,4.0,1.0,8.0,-8.02548,-42.57053457820189,-39078.5755462827,-39080.66097305216,-39083.12279142083,48.091083764372804,56.770880240985626,62.291429427156544,829,47,7,0.0019648540765047073,True,,49.0
10068,B4RNM9:10068,0,35,8.0,1.0,8.0,-8.3024,-41.95523726965821,-39078.65826762037,-39080.90037979739,-39081.11091333059,51.704335099874214,4.8550186121785215,14.604116442394524,304,77,7,0.0016186715802177787,True,,19.0
126062,B4RNM9:126062,0,39,12.0,1.0,8.0,-8.94165,-20.595844129945803,-44140.936788984574,-44144.28731542012,-44144.900755813935,77.26497512471013,14.146271542739942,70.81540253750427,663,28,6,0.0019327722257003188,True,,53.0
80302,B4RNM9:80302,0,34,16.0,1.0,8.0,-8.10519,-31.563740795234327,-38041.54141728676,-38043.271958814315,-38044.027184987484,39.90723566905531,17.41592928929726,25.759424163118243,402,93,7,0.0017509895842522383,True,,27.0
49481,B4RNM9:49481,0,36,20.0,1.0,8.0,-8.66644,-32.50392837889548,-38541.01213403395,-38543.138500106754,-38544.356424995705,49.03516652737791,28.086015155768077,44.61725330425051,609,100,6,0.001959844958037138,True,,42.0
24516,B4RNM9:24516,0,41,24.0,1.0,8.0,-8.52439,-17.537180643173336,-46317.485310711054,-46320.66407411515,-46321.137005024386,73.30402552236929,10.906045853022082,66.67289073221804,955,98,7,0.0019900628831237555,True,,51.0
114399,B4RNM9:114399,0,34,28.0,1.0,8.0,-8.16218,-20.84140847944192,-38044.70127259291,-38046.29366619429,-38047.391166602036,36.72146880976555,25.308960647000234,41.189020977323864,463,58,6,0.0019995281472802162,True,,39.0
35644,B4RNM9:35644,0,42,32.0,1.0,8.0,-9.19815,-15.743295847260129,-46331.60305631517,-46335.33559387853,-46339.21940329224,86.07436100942402,89.56277274986708,159.89383791203096,1000,77,7,0.01570180431008339,False,,61.0
29420,B4RNM9:29420,0,31,36.0,1.0,8.0,-8.15316,-36.53941495417663,-34943.017193604544,-34944.10067850916,-34946.323844856306,24.985755466628653,51.26743388379707,39.71377439624909,459,36,5,0.001958188833668828,True,,38.0
132725,B4RNM9:132725,0,43,40.0,1.0,8.0,-9.01985,-55.18468386978405,-49395.019215165434,-49397.48345843961,-49399.80621899796,56.82679989038927,53.56413095496212,55.20624697556733,833,84,9,0.001903040916658938,True,,48.0
112462,B4RNM9:112462,0,35,44.0,1.0,8.0,-8.48718,-32.21101016154914,-39081.18393518345,-39082.70201250084,-39083.90959114422,35.00769458830646,27.847425064850725,30.64410949160804,718,73,6,0.0018864150624722242,True,,30.0
106444,B4RNM9:106444,0,33,48.0,1.0,8.0,-8.46977,-39.31137386069637,-37008.41340277967,-37009.805342868196,-37011.25422380438,32.09890098885408,33.41198812980012,26.199515257957835,366,50,6,0.0019768287893384695,True,,28.0
89373,B4RNM9:89373,0,33,52.0,1.0,8.0,-8.26293,-42.48340875600831,-37571.914577547795,-37573.431111599966,-37577.4857766357,34.97210604684614,93.50279699371757,85.9914942845554,1000,110,6,0.0069816745817661285,False,,54.0
136961,B4RNM9:136961,0,35,56.0,1.0,8.0,-8.42537,-52.19483785173764,-37500.61906705926,-37503.996171982995,-37509.001709276745,77.87788962276346,115.43043218045781,141.11348395148363,841,77,6,0.0019404861377552152,True,,57.0
85176,B4RNM9:85176,0,30,60.0,0.0,,-8.58395,-48.70530640780171,-35946.74693856,-35948.65986812483,-35949.572896147394,44.11320372638694,21.054926385065198,16.462823703650432,778,142,3,0.0010670862393453717,True,,21.0
74935,B4RNM9:74935,0,28,64.0,0.0,,-8.23031,-38.23595023880393,-30365.960840016596,-30366.653317777902,-30368.70612098187,15.968916536231937,47.33876647198044,25.07173276940845,745,18,7,0.0019434222485870123,True,,26.0
111294,B4RNM9:111294,0,34,68.0,0.0,,-8.5304,-41.30205938861439,-39524.0040341196,-39526.294099054285,-39527.83861811447,52.81015196152171,35.617455662634576,47.1255482355419,1000,107,7,0.015722913667559624,False,,43.0
88371,B4RNM9:88371,0,38,72.0,0.0,,-8.55173,-42.9341683894999,-63357.882726572185,-63359.890163250275,-63360.57449868249,46.29258953203374,15.781149966707778,19.139571109241615,1000,33,9,0.018387574702501297,False,,23.0
6617,B4RNM9:6617,0,28,76.0,0.0,,-8.26,-26.212535736872173,-30467.63825955465,-30470.040148180808,-30470.490725701522,55.38886754734381,10.390564467836894,39.566896278308526,613,42,9,0.0018045762553811073,True,,37.0
72284,B4RNM9:72284,0,40,80.0,0.0,,-8.89559,-40.51405358550216,-47978.43483848626,-47980.188386242895,-47987.235550538135,40.43777191514134,162.51146930060742,162.4351876302466,1000,55,8,0.0038213401567190886,False,,62.0
117050,B4RNM9:117050,0,43,84.0,0.0,,-9.04865,-21.446155032851,-71610.03349081735,-71612.14202116075,-71612.64102753962,48.62386483614412,11.507360467758385,38.68507027105151,447,233,7,0.001998051768168807,True,,35.0
50375,B4RNM9:50375,0,24,88.0,0.0,,-7.18452,-16.307935556265328,-37605.47413378631,-37606.16652811424,-37606.569623047806,15.966992516938127,9.295589995749333,8.954646956422133,383,132,5,0.0006135847070254385,True,,14.0
14426,B4RNM9:14426,0,40,92.0,0.0,,-7.61349,-52.611972261847576,-56312.43197856791,-56314.34892642959,-56320.93237107059,44.205867853126904,151.81784003386406,143.4117356251434,1000,102,14,0.020717879757285118,False,,58.0
55476,B4RNM9:55476,0,33,96.0,0.0,,-7.76511,-18.393004312685814,-37924.020724649454,-37926.903250885014,-37926.971876173666,66.47263412815387,1.5825367513419648,49.662166566810015,546,300,6,0.0019137217896059155,True,,46.0
28387,B4RNM9:28387,0,32,100.0,0.0,,-7.86186,-37.13844477488652,-35776.374659042966,-35778.848140333226,-35779.448865196726,57.03983360219759,13.853044447775423,33.75443327508649,739,239,4,0.0019333080854266882,True,,33.0
10489,B4RNM9:10489,0,26,104.0,0.0,,-7.09521,-43.64308017625656,-50253.10647117099,-50254.64703153529,-50254.934985896216,35.52616596692366,6.640385313107603,-1.4765288962253011,323,86,4,0.0006325896247290075,True,,7.0
130882,B4RNM9:130882,0,36,108.0,0.0,,-7.66374,-27.915008732188248,-48334.50559358325,-48335.80466075654,-48336.07810362078,29.95720068487347,6.305742249658753,8.347934202343975,459,300,6,0.001953519182279706,True,,12.0
29349,B4RNM9:29349,0,35,112.0,0.0,,-7.02994,-38.35750108048638,-41564.90182379036,-41568.104619196485,-41569.283716610094,73.85821665467445,27.190632303495725,62.691347877683796,1000,40,12,0.04966972395777702,False,,50.0
96363,B4RNM9:96363,0,48,116.0,0.0,,-7.62324,-32.21635643540452,-72706.0085648176,-72708.21399773813,-72708.6044332956,50.858491351046816,9.003657847654663,27.64579276329696,358,300,14,0.0018952363170683384,True,,29.0
