mol_id,source_index,label,paff,formal_charge,smina_affinity_kcal_mol,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_eV,aimnet_interaction_kcal_mol,aimnet_score,aimnet_rank,smina_rank
71360,59,0,,0,-4.13627,-370473.0003857621,-194591.70551983043,-175877.14452985418,-4.150336077465909,-95.70902362754623,95.70902362754623,1.0,62.0
105310,247,0,,0,-8.39636,-240750.39705105775,-194591.70551983043,-46155.89835823,-2.793172997320653,-64.41209950390636,64.41209950390636,2.0,23.0
105740,75,0,,0,-9.01327,-235734.19822088847,-194591.70551983043,-41139.811850336,-2.680850722041214,-61.821886302380896,61.821886302380896,3.0,6.0
111999,243,0,,0,-7.40764,-232711.62182178948,-194591.70551983043,-38117.29098136225,-2.6253205968023394,-60.54133119326957,60.54133119326957,4.0,47.0
32062,79,0,,0,-8.36997,-254920.01440315932,-194591.70551983043,-60325.690963208406,-2.617920120486815,-60.37067215522605,60.37067215522605,5.0,25.0
37071,39,1,8.0,0,-9.64377,-244954.82526484615,-194591.70551983043,-50360.520060203206,-2.5996848125141696,-59.9501559635168,59.9501559635168,6.0,2.0
2496,27,1,8.0,0,-9.01497,-234107.51564024438,-194591.70551983043,-39513.21825841151,-2.5918620024458505,-59.76975767776648,59.76975767776648,7.0,5.0
120617,175,0,,0,-7.7137,-256807.11232280478,-194591.70551983043,-62212.92274877933,-2.4840541950179613,-57.283650578061476,57.283650578061476,8.0,44.0
117325,31,1,8.0,0,-8.73152,-240823.30658283146,-194591.70551983043,-46229.161282890425,-2.4397801106024417,-56.262665936740525,56.262665936740525,9.0,12.0
19378,183,0,,0,-7.71682,-231807.27109328742,-194591.70551983043,-37213.1275409528,-2.438032504185685,-56.22236517537781,56.22236517537781,10.0,43.0
1172,131,0,,0,-6.8659,-239400.18126669133,-194591.70551983043,-44806.08355430055,-2.3921925603499403,-55.16527095800073,55.16527095800073,11.0,55.0
36583,147,0,,0,-7.39454,-245229.26574205217,-194591.70551983043,-50635.190373436744,-2.3698487849978846,-54.65001125777805,54.65001125777805,12.0,48.0
48402,107,0,,0,-8.7961,-290310.916590893,-194591.70551983043,-95716.89269055553,-2.318380507043912,-53.46312457226087,53.46312457226087,13.0,11.0
131898,203,0,,0,-7.96445,-254428.77987294947,-194591.70551983043,-59834.775532774904,-2.298820344134583,-53.01205649991559,53.01205649991559,14.0,36.0
