mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
8816,0,L1,Q6GI75,6.4802,Cn1c(C2CC(=O)N(c3cccc(Br)c3Cl)C2)nc2ccccc21,0,-8.31623,8.31623,-386741.9875072832,-278726.8941068288,-108016.03058289486,21.611940493378736
17359,1,L1,Q6GI75,6.7595,Cc1c(Br)cccc1N1CC(c2nc3ccccc3n2C)CC1=O,0,-8.37366,8.37366,-375304.7958497725,-278726.8941068288,-96578.55144044013,14.982380191065868
19802,2,L1,Q6GI75,6.644,Cn1c(C2CC(=O)N(c3cccc(F)c3F)C2)nc2ccccc21,0,-8.44092,8.44092,-309609.35116823344,-278726.8941068288,-30881.87777999916,-13.358546558801946
23754,3,L1,Q6GI75,6.1871,Cc1c(O)cccc1N1CC(c2nc3ccccc3n2C)CC1=O,0,-8.55052,8.55052,-307322.22442698124,-278726.8941068288,-28596.680875735892,31.14455162978405
36324,4,L1,Q6GI75,6.1278,CCCn1c(C2CC(=O)N(c3cccc(Br)c3C)C2)nc2ccccc21,0,-7.98423,7.98423,-377446.15502662037,-278726.8941068288,-98719.42872921721,3.8697772859470634
37901,5,L1,Q6GI75,7.3768,CN(Cc1oc2ccccc2c1C)C(=O)\C=C\c1cnc2NC(=O)CCc2c1,0,-8.21186,8.21186,-312515.2146622186,-278726.8941068288,-33790.29354552896,45.49823347348479
90964,6,L1,Q6GI75,7.0269,Cc1c(Br)cccc1N1C[C@@H](c2nc3ccccc3n2C)CC1=O,0,-8.37849,8.37849,-375304.8894372899,-278726.8941068288,-96578.57162030796,13.289559577315535
104905,7,L1,Q6GI75,6.6383,Cn1c(C2CC(=O)N(c3cccc(Cl)c3Br)C2)nc2ccccc21,0,-8.37163,8.37163,-386742.1890244485,-278726.8941068288,-108016.01157270867,16.526458956507604
125406,8,L1,Q6GI75,6.7011,COc1c(Br)cccc1N1CC(c2nc3ccccc3n2C)CC1=O,0,-8.24629,8.24629,-377351.54461856285,-278726.8941068288,-98626.39675011371,40.26921367729
134127,9,L1,Q6GI75,6.3675,Cc1c(Cl)cccc1N1CC(c2nc3ccccc3n2C)CC1=O,0,-8.48952,8.48952,-317782.7011220651,-278726.8941068288,-39056.54907638843,17.112336692110294
