mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
6252,L1:Q86WV6:6252,0,38,0,6.1079,O=C(Nc1ccc(OCCCC(F)(F)F)cc1)c1ccc([N+](=O)[O-])o1,-8.1673,8.1673,56.22078861150384,-37153.763671895096,-37154.53268475962,-37154.872276083355,17.73385794477014,7.831161963802249,81.78580852007623,783,98,9,0.0017333083087578416,True,,9.0
44378,L1:Q86WV6:44378,0,33,1,6.4815,N#Cc1ccc(NC(=O)Nc2c[nH]c3ccc(F)cc23)cc1,-8.64632,8.64632,54.36263023892243,-27514.139888828384,-27514.921768369808,-27514.925538496645,18.03057056279365,0.08694119026321591,72.4801419919793,194,65,4,0.0018535697599872947,True,,7.0
47502,L1:Q86WV6:47502,0,35,2,6.4949,O=C(Nc1ccc(C(F)(F)F)cc1)Nc1c[nH]c2cc(F)c(Cl)cc12,-8.8506,8.8506,52.51899911973584,-46687.67483441855,-46688.302784501895,-46688.30815360615,14.480872932287022,0.12381448549858792,67.12368653752145,169,95,5,0.0019364620093256235,True,,4.0
55811,L1:Q86WV6:55811,0,35,3,7.1739,O=C(Nc1ccc(C(F)(F)F)cc1)Nc1c[nH]c2ccc(Br)cc12,-8.54579,8.54579,50.08065008108668,-101507.65113218981,-101508.30545537896,-101508.36263105829,15.0890511998691,1.318502488077557,66.48820376903333,296,61,5,0.0019227683078497648,True,,3.0
56848,L1:Q86WV6:56848,0,35,4,6.567,O=C(Nc1ccc(C(F)(F)F)cc1)Nc1c[nH]c2cc(F)c(F)cc12,-9.29276,9.29276,43.539634713658174,-36881.530923668426,-36882.15582300473,-36882.18222167957,14.410521034165638,0.6087679038031781,58.55892365162699,166,35,5,0.0019795161206275225,True,,1.0
71154,L1:Q86WV6:71154,0,35,5,7.0655,O=C(Nc1ccc(C(F)(F)F)cc1)Nc1c[nH]c2ccc(F)cc12,-8.87694,8.87694,48.43309707429058,-34179.63603189263,-34180.25317212058,-34180.262310852566,14.23159174485359,0.21074416603796226,62.87543298518213,158,130,5,0.0019336554687470198,True,,2.0
76654,L1:Q86WV6:76654,0,35,6,6.5607,O=C(Nc1ccc(C(F)(F)F)cc1F)Nc1c[nH]c2ccc(Cl)cc12,-8.80199,8.80199,53.87979034128894,-46687.566592264426,-46688.30545960764,-46688.308887634514,17.038685708674,0.07905217768640821,70.99752822764934,69,91,5,0.0019069365225732327,True,,6.0
101630,L1:Q86WV6:101630,0,35,7,7.0269,O=C(Nc1cccc(C(F)(F)F)c1)Nc1c[nH]c2ccc(Cl)cc12,-8.71282,8.71282,86.70228518905854,-43985.62516171843,-43986.27843243046,-43986.327940326664,15.064780501058085,1.1416792084261058,102.90874489854274,295,81,5,0.001625221106223762,True,,10.0
110106,L1:Q86WV6:110106,0,70,8,7.0809,Cn1cnc2n(cc(F)c2c1=O)[C@@H]1O[C@@H]2COP(O)(=O)O[C@@H]3[C@@H](COP(O)(=O)O[C@@H]1[C@@H]2O)O[C@H]([C@@H]3F)n1cnc2c(N)ncnc12 |r|,-7.4134,7.4134,33.927428109711435,-83754.44185236158,-83756.20028040883,-83756.25096484245,40.550314090335334,1.168810805752808,75.64655300579959,490,300,7,0.0019135287730023265,True,,8.0
143720,L1:Q86WV6:143720,0,71,9,6.7696,Cn1cnc2c(c(F)cn2[C@@H]2O[C@@H]3COP(=O)(S)O[C@H]4[C@@H](O)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3O)c1=O,-7.03244,7.03244,21.31995753300016,-91888.48609066106,-91890.47283192987,-91890.54922703578,45.81534205664563,1.7617129937531937,68.89701258339899,292,213,8,0.0019081331556662917,True,,5.0
