mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
15830,0,L1,Q86X55,8.5528,N=C(N)NCCC[C@H](N)C(=O)NCC(=O)N[C@@H](CCNC(=N)NCCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(N)=O,0,-7.44335,7.44335,-458501.30443063716,-385296.1081742508,-73206.15133371764,22.024606480265707
15838,1,L1,Q86X55,8.5528,N=C(N)NCCC[C@H](N)C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CCCNC(=N)NCCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(=O)O,0,-7.1554,7.1554,-470493.75362086674,-385296.1081742508,-85199.48935581512,42.5215562832281
67197,2,L1,Q86X55,6.4157,C[C@@H]1CCCC[C@@H]1Oc1ccccc1CN(C)CCN,0,-7.6959,7.6959,-408421.52859724476,-385296.1081742508,-23126.90009205546,34.12197916646687
96489,3,L1,Q86X55,7.3188,CN(CCN)Cc1ccccc1OC1CCC(C)(C)CC1,0,-8.15012,8.15012,-409491.46724428603,-385296.1081742508,-24197.611688657864,51.94661949158656
118699,4,L1,Q86X55,6.0,c1ccc(cc1)CC2CCN(CC2)CCN,0,-7.24154,7.24154,-403163.61510893493,-385296.1081742508,-17868.51383004467,23.219558622424508
122709,5,L1,Q86X55,7.3372,CN(CCN)Cc1ccccc1OCc1ccc(Cl)c(Cl)c1,0,-7.95424,7.95424,-433340.4619191452,-385296.1081742508,-48045.52014624792,26.897854203031088
123696,6,L1,Q86X55,7.0809,CC(C)Oc1ccc(-c2c[nH]cc2CNCCN)cc1,0,-7.70523,7.70523,-408795.4616010188,-385296.1081742508,-23498.845408703895,-11.715174865614733
127043,7,L1,Q86X55,7.5229,N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12)C(O)=O,0,-8.14554,8.14554,-430173.41984293336,-385296.1081742508,-44878.087177366375,17.883655096347045
127161,8,L1,Q86X55,7.6778,CNCC(O)CN1CCc2c(C1)cccc2OCc1ccc(cc1)-c1nccs1,0,-8.46408,8.46408,-429006.929908833,-385296.1081742508,-43713.280083777056,56.6908791925515
138520,9,L1,Q86X55,7.1938,C[C@H]1CCCC[C@@H]1Oc1ccccc1CN(C)CCN,0,-7.64605,7.64605,-408422.19257811655,-385296.1081742508,-23127.323960324215,28.584850999455263
