mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
35301,L1:Q8N1Q1:35301,0,19,0,7.7696,CC(=O)Nc1nnc(s1)S(=O)(=O)N,-5.46897,5.46897,1.9168694492324796,-38030.62712476487,-38031.50307039976,-38031.60314006755,20.1997862104618,2.307661360407007,24.424317020101284,367,94,5,0.0018944296753033996,True,,5.0
35426,L1:Q8N1Q1:35426,0,50,1,7.1938,NS(=O)(=O)c1ccc(CCN2CCC(Nc3ccccc3)CC2)cc1,-6.21668,6.21668,-9.619503878259788,-39531.21428960646,-39531.75307629927,-39531.86650958831,12.42471629997114,2.6158337875677793,5.4210462092791305,401,210,7,0.0019712818320840597,True,,2.0
35427,L1:Q8N1Q1:35427,0,53,2,6.1481,Cc1ccc(NC2CCN(CCc3ccc(S(N)(=O)=O)cc3)CC2)cc1,-5.91851,5.91851,-0.9007730883163604,-40601.85383522016,-40602.30756438905,-40602.334085337294,10.463243201341237,0.6115875955376846,10.174057708562563,222,153,8,0.0017997811082750559,True,,3.0
35430,L1:Q8N1Q1:35430,0,58,3,7.0555,CCC(=O)N(c1ccccc1)C2CCN(CC2)CCc3ccc(cc3)S(=O)(=O)N,-6.39703,6.39703,11.079875351269376,-44758.12708683823,-44758.74076716556,-44759.323938327936,14.15180454117225,13.448246483408216,38.679926375849845,1000,174,10,0.03254213556647301,False,,8.0
35431,L1:Q8N1Q1:35431,0,55,4,6.1669,NS(=O)(=O)c1ccc(CCN2CCC(N(C(=O)CCl)c3ccccc3)CC2)cc1,-5.7296,5.7296,-26.210496045751416,-56195.932929682225,-56196.5940105579,-56196.90462982749,15.2448871533898,7.163050523544712,-3.8025583688169036,657,229,9,0.0019051148556172848,True,,1.0
35432,L1:Q8N1Q1:35432,0,82,5,6.1746,CCCCCCCCCCC(=O)N(c1ccccc1)C1CCN(CCc2ccc(S(N)(=O)=O)cc2)CC1,-5.69921,5.69921,-14.240909721936047,-53321.44890317677,-53321.95813689157,-53322.90968268809,11.743208436979845,21.943167353776357,19.445466068820153,1000,289,18,0.004834984894841909,False,,4.0
35433,L1:Q8N1Q1:35433,0,61,6,6.1701,CCC(=O)N(c1ccc(C)cc1)C1CCN(CCc2ccc(S(N)(=O)=O)cc2)CC1,-6.4829,6.4829,18.44648534746725,-45828.95352525942,-45829.52146196206,-45829.849817103415,13.096931495963549,7.57204944264969,39.11546628608049,648,300,11,0.001958013977855444,True,,9.0
35468,L1:Q8N1Q1:35468,0,51,7,7.0362,C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC,-5.45244,5.45244,6.047964887009153,-43599.2869294511,-43600.08648395262,-43600.22275613272,18.438164825533082,3.1425111272975865,27.628640839839825,364,185,12,0.001843745936639607,True,,6.0
35485,L1:Q8N1Q1:35485,0,66,8,6.341,N=C(N)c1ccc2nc(-c3cc(CC(=O)N[C@@H](CC(=O)O)C(=O)O)cc(-c4cc(S(N)(=O)=O)ccc4O)c3O)[nH]c2c1,-6.61274,6.61274,16.482019180698146,-65592.73968729947,-65594.77287402342,-65595.43929836973,46.88639969608555,15.368110513720405,78.7365293905041,740,102,17,0.0016758856363594532,True,,10.0
85942,L1:Q8N1Q1:85942,0,91,9,7.0132,CCCCCCCCCCCCCC(=O)N(c1ccccc1)C1CCN(CCc2ccc(S(N)(=O)=O)cc2)CC1,-5.49933,5.49933,9.395485282459976,-56532.95558293277,-56533.48891889432,-56533.940168127156,12.299019451043348,10.4060545173409,32.10055925084422,492,246,21,0.0019252917263656855,True,,7.0
