mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
23658,L1:Q96MU7:23658,0,37,0,6.0,CNc1c2c(nc(n1)Cl)n(cn2)Cc3cccc(c3)C(=O)OC,-7.27568,7.27568,11.302493974409726,-39870.557806514065,-39871.13497269316,-39871.775147325476,13.309768279193959,14.762777728499998,39.37503998210369,250,145,7,0.0018397601088508964,True,,6.0
24173,L1:Q96MU7:24173,0,34,1,6.7447,CNc1nc(Cl)nc2c1ncn2Cc1cc(Cl)cc(C(=O)O)c1,-7.25032,7.25032,26.13764946645621,-51309.14266829661,-51309.87993910638,-51310.043591669535,17.00186877277955,3.7739177602336387,46.91343599946939,276,53,6,0.0015259853098541498,True,,7.0
43216,L1:Q96MU7:43216,0,37,2,6.0132,CNc1nc(Cl)nc2c1ncn2Cc1ccc(C(=O)OC)cc1,-7.09264,7.09264,44.803694812475904,-39871.248105220366,-39871.8244096175,-39871.89051841151,13.289895115036057,1.5245050062870393,59.61809493379899,239,74,7,0.001992117380723357,True,,10.0
58793,L1:Q96MU7:58793,0,34,3,6.0605,CNc1c2c(nc(n1)Cl)n(cn2)Cc3ccc(cc3)C(=O)O,-7.25249,7.25249,35.47232894279497,-38801.1796388012,-38801.83080439894,-38801.93128018117,15.016235412277329,2.3170265819385096,52.805590937010805,249,149,6,0.0019664030987769365,True,,9.0
73954,L1:Q96MU7:73954,0,37,4,6.0,CNc1nc(Cl)nc2c1ncn2Cc1cc(Cl)cc(C(=O)OC)c1,-6.91076,6.91076,21.473838785508367,-52378.82191507408,-52379.539699863,-52380.02500830051,16.552510457100354,11.191478435717443,49.21782767832616,454,84,7,0.0018147596856579185,True,,8.0
75808,L1:Q96MU7:75808,0,34,5,6.2924,CNc1nc(Cl)nc2c1ncn2Cc1cccc(C(=O)O)c1,-7.45516,7.45516,11.448901898478375,-38800.73581009923,-38801.42031807047,-38801.91920594879,15.785128811309347,11.504627780086325,38.73865848987405,796,99,6,0.001985410461202264,True,,5.0
76036,L1:Q96MU7:76036,0,35,6,6.2291,CNc1nc(Cl)nc2c1ncn2Cc1ccc(OC)c(Cl)c1,-6.91092,6.91092,12.417909381807076,-49292.46709324215,-49293.02813030821,-49293.18526360131,12.937822096578504,3.6235798214371995,28.97931129982278,467,109,6,0.0018081750022247434,True,,1.0
88977,L1:Q96MU7:88977,0,39,7,6.3468,CNc1c2c(nc(n1)Cl)n(cn2)Cc3cc(ccc3NS(=O)(=O)C)Cl,-7.3964,7.3964,15.00650674844256,-63685.403309586916,-63686.26529366092,-63686.36806483044,19.877824967861347,2.36995947033765,37.25429118664155,374,97,7,0.0018078468274325132,True,,4.0
110901,L1:Q96MU7:110901,0,38,8,6.0,CNc1c2c(nc(n1)Cl)n(cn2)Cc3cccc(c3)C(=O)NC,-7.42998,7.42998,4.611771494743876,-39330.06174338629,-39330.80092935432,-39331.17045859999,17.046033371439556,8.521546844554992,30.179351710738423,308,257,7,0.0008837920613586903,True,,3.0
140320,L1:Q96MU7:140320,0,39,9,6.3372,CNc1c2c(nc(n1)Cl)n(cn2)Cc3ccccc3NS(=O)(=O)C,-7.31887,7.31887,6.003575585391647,-51177.15874431704,-51178.05731508192,-51178.20195209974,20.72153410260346,3.33540886760147,30.060518555596577,555,69,7,0.001931826351210475,True,,2.0
