mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
23658,0,L1,Q96MU7,6.0,CNc1c2c(nc(n1)Cl)n(cn2)Cc3cccc(c3)C(=O)OC,0,-7.27568,7.27568,-275093.8871933866,-235224.97623629626,-39869.40107961725,11.302493974409726
24173,1,L1,Q96MU7,6.7447,CNc1nc(Cl)nc2c1ncn2Cc1cc(Cl)cc(C(=O)O)c1,0,-7.25032,7.25032,-286531.98041925044,-235224.97623629626,-51308.13761871027,26.13764946645621
43216,2,L1,Q96MU7,6.0132,CNc1nc(Cl)nc2c1ncn2Cc1ccc(C(=O)OC)cc1,0,-7.09264,7.09264,-275093.72104423225,-235224.97623629626,-39870.687680028255,44.803694812475904
58793,3,L1,Q96MU7,6.0605,CNc1c2c(nc(n1)Cl)n(cn2)Cc3ccc(cc3)C(=O)O,0,-7.25249,7.25249,-274023.6002659606,-235224.97623629626,-38800.16225543433,35.47232894279497
73954,4,L1,Q96MU7,6.0,CNc1nc(Cl)nc2c1ncn2Cc1cc(Cl)cc(C(=O)OC)c1,0,-6.91076,6.91076,-287601.60370616295,-235224.97623629626,-52377.55866365025,21.473838785508367
75808,5,L1,Q96MU7,6.2924,CNc1nc(Cl)nc2c1ncn2Cc1cccc(C(=O)O)c1,0,-7.45516,7.45516,-274024.3762425885,-235224.97623629626,-38799.89647766762,11.448901898478377
76036,6,L1,Q96MU7,6.2291,CNc1nc(Cl)nc2c1ncn2Cc1ccc(OC)c(Cl)c1,0,-6.91092,6.91092,-284516.40024375514,-235224.97623629626,-49291.96249897577,12.417909381807076
88977,7,L1,Q96MU7,6.3468,CNc1c2c(nc(n1)Cl)n(cn2)Cc3cc(ccc3NS(=O)(=O)C)Cl,0,-7.3964,7.3964,-298908.6244695343,-235224.97623629626,-63684.298976961,15.006506748442561
110901,8,L1,Q96MU7,6.0,CNc1c2c(nc(n1)Cl)n(cn2)Cc3cccc(c3)C(=O)NC,0,-7.42998,7.42998,-274553.9561188873,-235224.97623629626,-39329.17986793086,4.611771494743876
140320,9,L1,Q96MU7,6.3372,CNc1c2c(nc(n1)Cl)n(cn2)Cc3ccccc3NS(=O)(=O)C,0,-7.31887,7.31887,-286400.7641466201,-235224.97623629626,-51176.04825000136,6.003575585391647
