mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
18571,0,L1,Q9UBN7,8.3279,C[C@H](\C=C(/C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C |r|,0,-7.23786,7.23786,-259312.95750870733,-232189.48990933414,-27124.3121888157,19.47669523614133
27234,1,L1,Q9UBN7,8.7423,CC[C@@H](Nc1ncc(C(=O)NO)cc1F)c1ccccc1,0,-7.36719,7.36719,-259301.12951347878,-232189.48990933414,-27113.36701052763,39.83493751777383
29334,2,L1,Q9UBN7,8.0487,CC(=O)SCC(=O)NCCCCCOc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O,0,-7.54245,7.54245,-305906.0303034003,-232189.48990933414,-73719.63347153204,71.32806084567297
42051,3,L1,Q9UBN7,7.3098,O=C(CCCCCONC(=O)c1nc(-c2ccsc2)cs1)NO,0,-6.30757,6.30757,-281330.1726772586,-232189.48990933414,-49142.086137381106,32.36246847868006
43508,4,L1,Q9UBN7,7.7696,O=C(CCCCCC(=O)N1CCc2c([nH]c3ccccc23)C1)NO,0,-7.05676,7.05676,-261858.35950041868,-232189.48990933414,-29671.19852730424,53.706545088835426
67143,5,L1,Q9UBN7,6.301,COc1ccc(-c2ccc3cc(OCCCCCCC(=O)NO)ccc3n2)cc1,0,-7.50119,7.50119,-267651.42820318573,-232189.48990933414,-35463.874657012464,44.653595288740426
83097,6,L1,Q9UBN7,7.6198,CC(C)(C)CC(C)(C)NC(=O)CN(Cc1ccc(C(=O)NO)cc1)C(=O)c1c[nH]c2ccccc12,0,-6.67775,6.67775,-274918.173903678,-232189.48990933414,-42730.398437192416,39.53599131146966
92479,7,L1,Q9UBN7,7.7959,O=C(NO)c1ccc(Cn2c3c(c4ccccc42)C(=O)CCC3)cc1,0,-7.5497,7.5497,-262361.2316999604,-232189.48990933414,-30174.209900830454,56.91597341446939
133621,8,L1,Q9UBN7,8.284,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=NOCCCCCCC(=O)NO,0,-6.59647,6.59647,-282033.51424338255,-232189.48990933414,-49844.51403472308,11.292765830716421
143030,9,L1,Q9UBN7,8.4202,COc1cc(Cn2cc3ccc(C(=O)NO)cc3n2)cc(OC)c1,0,-7.77934,7.77934,-262767.98716765764,-232189.48990933414,-30581.282908338813,64.23861541734242
