mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
4142,0,L2,O75460,9.5376,CC(C)n1c(=O)c(-c2ccc(NS(=O)(=O)CC3CC(F)(F)C3)c(F)c2)nc2cnc(N[C@H]3CC[C@H](N(C)CCF)CC3)nc21,0,-9.31291,9.31291,-418299.41144429793,-349311.99238147336,-68987.69232198436,6.301505924462588
6730,1,L2,O75460,9.0,CC(C)n1c(=O)c(-c2ccc(NS(=O)(=O)CCC(F)F)c(F)c2)nc2cnc(N[C@@H]3CNC[C@H](CF)C3)nc21,0,-9.44712,9.44712,-412982.6295785129,-349311.99238147336,-63670.27929316914,-8.253459322566776
14710,2,L2,O75460,10.0,CCCS(=O)(=O)Nc1c(F)cc(-c2nc3cnc(N[C@H]4CC[C@H](N(C)C)CC4)nc3n(C(C)C)c2=O)cc1F,0,-9.20146,9.20146,-409718.2246197917,-349311.99238147336,-60407.41348739816,27.24025090452288
25683,3,L2,O75460,8.9586,O=c1c(-c2ccc(NS(=O)(=O)Cc3ccccc3)c(F)c2F)cc2cnc(N[C@@H]3CNC[C@@H](F)C3)nc2n1C1CC1,0,-11.90853,11.90853,-412888.7943943814,-349311.99238147336,-63576.784329190916,-0.40779620455821114
48303,4,L2,O75460,7.0757,Cc1ccc2c(NS(=O)(=O)CCC(F)(F)F)cccc2c1Oc1ncccc1-c1ccnc(N[C@H]2CCCNC2)n1,0,-6.75467,6.75467,-412923.51331904513,-349311.99238147336,-63612.47194165692,21.930675192780612
72342,5,L2,O75460,9.7447,CC(C)n1c(=O)c(-c2ccc(NS(=O)(=O)CC3CCCCC3)nc2)cc2cnc(N[C@H]3CC[C@H](N(C)C)CC3)nc21,0,-9.91985,9.91985,-408563.9348744325,-349311.99238147336,-59251.752819293775,-4.3739786325322445
84980,6,L2,O75460,9.0132,CC(C)n1c(=O)c(-c2ccc(NS(=O)(=O)N3CCCC3)c(F)c2)nc2cnc(N[C@@H]3CNC[C@@H](F)C3)nc21,0,-10.4061,10.4061,-409053.5826418741,-349311.99238147336,-59740.62985872957,-22.14738867439323
96586,7,L2,O75460,9.6198,CC(C)n1c(=O)c(-c2ccc(NS(=O)(=O)Cc3ccccc3)c(F)c2)nc2cnc(N[C@@H]3CNC[C@H](CF)C3)nc21,0,-10.26332,10.26332,-411728.5998540887,-349311.99238147336,-62417.26770310002,15.225276671744481
100233,8,L2,O75460,6.2676,O=S(=O)(Cc1ccccc1)Nc1c(F)cc(Oc2ncccc2-c2ccnc(N[C@@H]3CNC[C@@H](CF)C3)n2)c(F)c1F,0,-11.32057,11.32057,-415593.2924764902,-349311.99238147336,-66280.37043922365,-21.43837188466607
127767,9,L2,O75460,8.8539,CC(C)n1c(=O)c(-c2cc(F)c(NC(=O)C3CC3)c(F)c2F)cc2cnc(N[C@H]3CC[C@H](N(C)C)CC3)nc21,0,-9.67017,9.67017,-400101.11603731674,-349311.99238147336,-50790.53010173116,32.43341266641515
