mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
14322,L2:P18825:14322,0,58,0,9.1308,FC1CN(CCC1N1CCCC2(CC2(F)F)C1)c1ncc(s1)C(=O)NCc1ncc(F)cc1F,-8.65236,8.65236,26.18815978273815,-57153.45642769798,-57153.928688891014,-57154.0948696178,10.890601830500525,3.8322185986285686,40.91098021186725,575,133,6,0.0019702143035829067,True,,7.0
42511,L2:P18825:42511,0,57,1,6.3979,C[C@@H]1CCCN(C1)C1CCN(CC1)c1ncc(s1)C(=O)NCc1ccncc1F |r|,-8.23316,8.23316,14.803522003917244,-45307.94342300674,-45308.32983753478,-45308.68640836848,8.910930706279869,8.22271876548104,31.937171475678156,543,300,7,0.0019284628797322512,True,,3.0
61015,L2:P18825:61015,0,61,2,6.1938,C[C@@H]1CCCN(C1)C1CCN(CC1)c1ncc(s1)C(=O)NCc1ccc(cc1)C(F)(F)F |r|,-8.70991,8.70991,26.31525541555048,-51347.021128497916,-51347.288966664004,-51347.455967102025,6.176494839938533,3.8511215887223194,36.34287184421134,633,300,8,0.001842146972194314,True,,5.0
66479,L2:P18825:66479,0,58,3,8.1427,C[C@@H]1CCCN(C1)C1CCN(CC1)c1ncc(s1)C(=O)NCc1cc(Cl)ccc1F |r|,-8.21153,8.21153,29.73078071406336,-57379.95158336106,-57380.12335694919,-57380.38887126111,3.961193045156303,6.122905489724419,39.81487924894408,463,214,7,0.001948902732692659,True,,6.0
93624,L2:P18825:93624,0,60,4,6.2441,CC1(C)CCCN(C1)C1CCN(CC1)c1ncc(s1)C(=O)NCc1ncc(F)cc1F,-8.62117,8.62117,38.987135458068295,-49080.97631085431,-49081.33086906714,-49081.452017121796,8.176306625661743,2.7937405089661502,49.95718259269619,487,300,8,0.0016648337477818131,True,,8.0
126879,L2:P18825:126879,0,63,5,7.6021,CC(NC(=O)C1(N2CCC(N3CCC[C@H](C)C3)CC2)NC=CS1)c1cc(F)ccc1F,-8.40079,8.40079,15.604003914110658,-48675.91272220733,-48676.32485238983,-48676.346728030956,9.5039477859789,0.5044642685306258,25.612415968620184,149,165,8,0.001658478518947959,True,,1.0
129391,L2:P18825:129391,0,58,6,7.6536,C[C@@H]1CCCN(C1)C1CCN(CC1)c1ncc(s1)C(=O)NCc1cc(F)ccc1F |r|,-8.26419,8.26419,18.00633443619167,-47573.80921750373,-47574.037095232896,-47574.15234312624,5.2549852729400675,2.6576795568286586,25.918999265960394,303,71,7,0.0019174227491021156,True,,2.0
134891,L2:P18825:134891,0,61,7,6.1938,Fc1cnc(CNC(=O)c2cnc(s2)N2CCC(CC2)N2CCCC(C2)OCC(F)(F)F)c(F)c1,-8.07405,8.07405,31.69788456902886,-59235.192224587365,-59235.71325685146,-59236.01680345879,12.015289447397464,6.9999510572543615,50.713125073680686,556,153,9,0.001979453954845667,True,,9.0
136971,L2:P18825:136971,0,61,8,7.0706,C[C@@H]1CCCN(C1)C1CCN(CC1)c1ncc(s1)C(=O)N(C)Cc1ccccc1 |r|,-8.44598,8.44598,40.5495715801759,-43239.53259167168,-43239.75696607109,-43240.01358633036,5.17419656942331,5.917803763238243,51.64157191283745,327,224,8,0.0018047300400212407,True,,10.0
144176,L2:P18825:144176,0,64,9,6.0969,Cc1ccc([C@@H](C)NC(=O)c2cnc(N3CCC(N4CCC[C@@H](C)C4)CC3)s2)cc1,-8.61787,8.61787,30.11113704032929,-44310.713740969804,-44310.93665984857,-44310.980643187286,5.140631466173134,1.0142798861550062,36.26604839265743,225,129,9,0.0018144818022847176,True,,4.0
