mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
2227,0,L2,P31645,7.301,CCN1CC[C@@]2(c3ccc(OC)c(OC)c3)CCC(=O)C[C@@H]12,0,-6.84397,6.84397,-383401.76901665784,-356679.793680567,-26721.606325371766,-8.509589337136424
24100,1,L2,P31645,6.5229,CSc1cc([C@@]23CCC(=O)C[C@@H]2N(C)CC3)ccc1OC(C)C,0,-7.13517,7.13517,-393262.2059615773,-356679.793680567,-36581.4515374766,-22.155272211893887
33467,2,L2,P31645,7.301,COc3ccc([C@@]12CC/C(=N\O)C[C@@H]1N(C)CC2)cc3OC,0,-7.13125,7.13125,-383837.36278962495,-356679.793680567,-27157.262580100294,-7.068725689478584
67792,3,L2,P31645,6.0458,COc1cc([C@@]23CCC(=O)C[C@@H]2N(C)CC3)ccc1OCC1CC1,0,-7.03564,7.03564,-385506.5432355712,-356679.793680567,-28827.162680784946,9.526906827452748
76063,4,L2,P31645,7.0,COc1ccc([C@@]23CCC(=O)C[C@@H]2N(C)CC3)cc1OCC(F)(F)F,0,-7.0575,7.0575,-391508.48946433864,-356679.793680567,-34828.6465823999,-1.1346105861187699
78423,5,L2,P31645,6.0969,CCCCOc1cc([C@@]23CCC(=O)C[C@@H]2N(C)CC3)ccc1OCC1CC1,0,-7.74652,7.74652,-388716.76896293333,-356679.793680567,-32038.51558532576,35.52023006959903
96347,6,L2,P31645,7.301,COc1ccc([C@@]23CC[C@H](C4CCCC(=O)C4)C[C@@H]2N(C)CC3)cc1OC,0,-8.52764,8.52764,-388720.2183369826,-356679.793680567,-32041.062741004036,14.714580171818
103500,7,L2,P31645,7.3188,NC(=O)c1cc2cccc(N3CCN(CCc4ccc5ccc(=O)[nH]c5c4)CC3)c2s1,0,-10.21244,10.21244,-402874.3708693927,-356679.793680567,-46194.179291878085,-9.175721592148312
103879,8,L2,P31645,6.0969,COc1ccc([C@@]23CCC(=O)C[C@@H]2N(C)CC3)cc1OC1CCCC1,0,-7.59577,7.59577,-386581.167735363,-356679.793680567,-29900.510502670473,-19.913985095040026
122886,9,L2,P31645,8.8539,COc1ccc([C@@]23CCC(=O)C[C@@H]2N(C)CC3)cc1OC,0,-7.27072,7.27072,-382331.26591208106,-356679.793680567,-25651.397104759537,-1.732464115887657
