mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
409,L2:Q13822:409,0,56,0,6.6402,CCCn1cc(-n2cc(C(=O)Nc3cccc(O)c3)c3c4ccccc4n(C)c(=O)c32)cn1,-9.72813,9.72813,40.26571690902426,-39919.05654229672,-39919.91016346145,-39920.11480889346,19.684971698478,4.719235773137359,64.66992438063963,486,298,9,0.0018693269230425358,True,,7.0
31043,L2:Q13822:31043,0,59,1,6.6861,CCCn1cc(-n2cc(C(=O)Nc3cccc(C(N)=S)c3)c3c4ccccc4n(C)c(=O)c32)cn1,-9.5653,9.5653,63.143816325882064,-51252.89824356095,-51253.97571146847,-51254.229264759546,24.84700021728594,5.847077796491303,93.83789433965931,674,162,10,0.0019615190103650093,True,,10.0
47947,L2:Q13822:47947,0,51,2,6.6198,NC(=O)c1ccc(COc2ccccc2/C=C2/CC(=O)N(c3cccc(Cl)c3)C2=O)cc1,-9.23463,9.23463,26.31340430272371,-49953.88652595632,-49954.58742626392,-49954.66550417574,16.163145067947838,1.8005194200701813,44.27706879074173,410,124,7,0.0018083866452798247,True,,2.0
62797,L2:Q13822:62797,0,61,3,7.3665,O=C(O)c1ccccc1NC(=O)c1nn(-c2cnn(CC3CC3)c2)c2c1CCN(c1ccccc1)C2=O,-8.73071,8.73071,27.24272576209884,-45548.56049097254,-45549.76804737282,-45549.93169056554,27.846912126844035,3.7737016729999984,58.86333956194287,487,263,9,0.0015048796776682138,True,,5.0
67279,L2:Q13822:67279,0,78,4,8.5686,CCc1nc2c(C)cc(cn2c1NC(=O)OCc1ccc2OCOc2c1)-c1ccc(cc1)C(=O)N1CCN(CCO)CC1,-9.28094,9.28094,65.78769669732816,-53523.33587135178,-53524.24466435873,-53524.478159338774,20.95726460492267,5.384522155478372,92.12948345772921,525,160,14,0.001945803640410304,True,,9.0
81133,L2:Q13822:81133,0,58,5,6.5086,COCn1cc(-n2nc(C(=O)Nc3ccc(C(=O)O)cc3)c3c2C(=O)N(c2ccccc2)CC3)cn1,-8.75051,8.75051,1.0621515440928269,-45489.19824782918,-45490.276023496604,-45490.58045513718,24.854097329251275,7.020360408567818,32.93660928191192,712,98,10,0.0018389143515378237,True,,1.0
90721,L2:Q13822:90721,0,61,6,8.4089,CC(=O)N1CC2CC1CN2c1ccc(CNc2ccc(OCc3ccc(nc3)C(F)(F)F)nn2)cc1,-9.01791,9.01791,21.41739255898216,-47548.047484437906,-47548.925325382224,-47549.21096330231,20.24349308413137,6.586966918291359,48.24785256140489,676,296,10,0.0019687009043991566,True,,4.0
98140,L2:Q13822:98140,0,59,7,8.6021,CC(=O)N1CCN(CC1)c1ccc(CNc2ccc(OCc3ccc(nc3)C(F)(F)F)nn2)cn1,-8.84348,8.84348,20.5285591912598,-46947.45536362925,-46948.12021752432,-46948.62105146871,15.33189504776869,11.549505129767022,47.409959368795505,796,300,10,0.0019923867657780647,True,,3.0
104039,L2:Q13822:104039,0,61,8,6.6326,CCCn1cc(-n2c(CC)c(NC(=O)Nc3ccc(C(=O)O)cc3)c3cc(OC)ccc32)cn1,-9.09305,9.09305,48.2885581978619,-42032.659059258505,-42033.50148479804,-42033.9054274191,19.426794448219578,9.315138133742309,77.0304907798238,611,178,14,0.001728274393826723,True,,8.0
136645,L2:Q13822:136645,0,61,9,6.9355,CCCn1cc(-n2cc(C(=O)Nc3ccccc3C(=O)O)c3c4ccccc4n(CC)c(=O)c32)cn1,-9.12957,9.12957,35.21292275346396,-44076.23722641134,-44077.08712554273,-44077.43955687466,19.599139570620064,8.127259587114377,62.939321911198405,680,142,11,0.001997217535972595,True,,6.0
