mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
1372,0,L2,Q14145,7.699,CC[C@@H]1CN(Cc2cc(C(CC(=O)O)c3cc(OC)c4c(nnn4C)c3C)cc3ccsc23)S(=O)(=O)c2cc(Cl)cnc2O1,0,-8.9124,8.9124,-379110.9745844347,-293551.4820950043,-85562.38218131766,66.63787798165203
15758,1,L2,Q14145,8.0,CC[C@@H]1CN(Cc2cc(C(CC(=O)O)c3cc(C4CC4)c4c(nnn4C)c3C)cc3[nH]ccc23)S(=O)(=O)c2cc(Cl)cnc2O1,0,-9.91789,9.91789,-369837.78936331824,-293551.4820950043,-76290.06101126007,86.56336875291021
16948,2,L2,Q14145,7.699,CC[C@@H]6CN(Cc3cc(C(CC(=O)O)c2cc(OC(F)F)c1c(nnn1C)c2C)cc4ccsc34)S(=O)(=O)c5cc(Cl)cnc5O6,0,-8.98593,8.98593,-384514.4283493939,-293551.4820950043,-90967.30379875048,100.4873601582579
41332,3,L2,Q14145,7.699,CC[C@@H]6CN(Cc3cc(C(CC(=O)O)c2cc(OC(F)(F)F)c1c(nnn1C)c2C)cc4ccsc34)S(=O)(=O)c5cc(Cl)cnc5O6,0,-8.60509,8.60509,-387218.7901843892,-293551.4820950043,-93669.9841915295,61.71238150449943
62918,4,L2,Q14145,8.0,CC[C@@H]6CN(Cc3cc([C@@H](CC(=O)O)c2cc(C)c1c(nnn1C)c2C)cc4ccsc34)[C@@H](C)c5ncccc5O6,0,-9.41365,9.41365,-351762.9263277028,-293551.4820950043,-58214.57658427386,72.23374332525826
64270,5,L2,Q14145,7.0605,COc1ccc(S(=O)(=O)C(C(=O)O)c2cc(CCC(=O)N3CCOCC3)c(N(C(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,0,-9.59226,9.59226,-378619.221118324,-293551.4820950043,-85071.6626085089,90.48002392206712
77634,6,L2,Q14145,8.0,CC[C@@H]1CN(Cc2cc([C@H](CC(=O)O)c3cc(C)c4c(nnn4C)c3C)cc3ccsc23)[C@@H](C)c2ncccc2O1,0,-8.43522,8.43522,-351764.6367622879,-293551.4820950043,-58214.02983003283,20.18173243855525
83648,7,L2,Q14145,8.0,CC[C@@H]1CN(Cc2cc([C@@H](CC(=O)O)c3cc(Cl)c4c(nnn4C)c3C)cc3ccsc23)S(=O)(=O)c2cc(Cl)cnc2O1,0,-10.46121,10.46121,-388499.89429012296,-293551.4820950043,-94952.466258764,93.48892860166774
122553,8,L2,Q14145,7.699,CC[C@@H]1CN(Cc2cc([C@@H](CC(=O)O)c3cnc4c(c3C)NNN4C)cc3ccsc23)C(C)c2nc(O)ccc2O1,0,-10.20698,10.20698,-353208.60289983335,-293551.4820950043,-59660.19240276088,70.83273102314867
143441,9,L2,Q14145,8.0,CC[C@@H]1CN(Cc2cc([C@@H](CC(=O)O)c3cc(OC(F)(F)F)c4c(nnn4C)c3C)cc3ccsc23)S(=O)(=O)c2cc(Cl)cnc2O1,0,-9.7327,9.7327,-387217.17227389984,-293551.4820950043,-93669.53320872043,88.6223730912764
