mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
27152,L2:Q8NER1:27152,0,61,0,7.0223,COc1ccc2[nH]cc(CCNC(=O)C3(NC(=O)Oc4ccccc4)CCCCC3)c2c1,-8.87394,8.87394,214.1042027865238,-39084.14870165586,-39084.791836703494,-39084.99876662755,14.831046527514335,4.771917411229899,233.70716672526805,361,175,11,0.0016390008386224508,True,,10.0
35078,L2:Q8NER1:35078,0,57,1,6.6498,O=C(NC1(C(=O)NCCc2c[nH]c3ccccc23)CCCCC1)Oc1ccccc1,-9.06979,9.06979,169.6802574750953,-35966.2000797044,-35966.74695179117,-35966.87426807697,12.61116991406961,2.9359832984261076,185.227410687591,480,209,9,0.001168138813227415,True,,9.0
38542,L2:Q8NER1:38542,0,65,2,6.1593,COc1ccc2[nH]cc(CCNC(=O)NC3(C(=O)Nc4cccc(C(F)(F)F)c4)CCCCC3)c2c1,-9.65521,9.65521,112.09445987179824,-47720.91691597202,-47721.697584285655,-47722.02926217108,18.0026389864713,7.648673741265889,137.74577259953543,1000,86,12,0.004162381403148174,False,,7.0
52263,L2:Q8NER1:52263,0,58,3,6.1662,O=C(NCCc1c[nH]c2ccccc12)NC1(C(=O)Nc2cccc(Br)c2)CCCCC1,-9.80968,9.80968,117.14851410964953,-105455.36975042465,-105456.09467817047,-105456.34943953287,16.717230956171765,5.87493658312676,139.74068164894805,1000,300,9,0.00809340737760067,False,,8.0
62450,L2:Q8NER1:62450,0,62,4,6.0297,COc1ccc(NC(=O)C2(NC(=O)NCCc3c[nH]c4ccccc34)CCCCC2)cc1,-8.18559,8.18559,105.76419933666344,-38543.50389972661,-38544.304395781706,-38544.46563006787,18.45987756678684,3.718150967989571,127.94222787143985,476,90,11,0.0015571380499750376,True,,6.0
119254,L2:Q8NER1:119254,0,50,5,6.4045,O=C(NC1(C(=O)Nc2cccc(C(F)(F)F)c2)CCCCC1)Oc1ccccc1,-8.76161,8.76161,-20.889880983488297,-39419.82884651807,-39420.023019894856,-39420.254246699296,4.477744442874785,5.332216783525174,-11.079919757088335,753,123,8,0.001205979846417904,True,,1.0
125391,L2:Q8NER1:125391,0,47,6,6.3497,O=C(NC1(C(=O)Nc2ccc(Br)cc2)CCCCC1)Oc1ccccc1,-8.92152,8.92152,100.95722115607884,-100272.30329947892,-100272.5853982856,-100272.73203248307,6.505353024438367,3.381464924112472,110.84403910462969,427,178,7,0.0019677323289215565,True,,4.0
131041,L2:Q8NER1:131041,0,47,7,7.8239,Cc1nc(Nc2cccc3CC[C@@H](O)Cc23)oc1-c1ccc(cc1)C(F)(F)F |r|,-9.70348,9.70348,97.80015639800617,-37337.48595593686,-37337.838943163435,-37337.96159907399,8.140078821954537,2.8285124920894824,108.76874771205019,559,233,6,0.0015221835346892476,True,,3.0
132261,L2:Q8NER1:132261,0,61,8,6.202,O=C(NCCc1c[nH]c2ccccc12)NC1(C(=O)Nc2cccc(C(F)(F)F)c2)CCCCC1,-9.53433,9.53433,8.867686313203793,-44602.812298055556,-44603.4423818769,-44603.77845034642,14.530078099376002,7.749923015768225,31.14768742834802,681,187,10,0.0013736262917518616,True,,2.0
140296,L2:Q8NER1:140296,0,62,9,6.9393,COc1ccc2[nH]cc(CCNC(=O)NC3(C(=O)Nc4ccccc4)CCCCC3)c2c1,-9.46791,9.46791,96.7243338979988,-38543.261486563424,-38543.94717808023,-38544.105019694434,15.8124220202798,3.639914094092493,116.17667001237109,1000,202,11,0.01588839665055275,False,,5.0
