mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
27152,0,L2,Q8NER1,7.0223,COc1ccc2[nH]cc(CCNC(=O)C3(NC(=O)Oc4ccccc4)CCCCC3)c2c1,0,-8.87394,8.87394,-389276.6949016692,-350203.13452655426,-39082.8448120832,214.1042027865238
35078,1,L2,Q8NER1,6.6498,O=C(NC1(C(=O)NCCc2c[nH]c3ccccc23)CCCCC1)Oc1ccccc1,0,-9.06979,9.06979,-386161.0853055727,-350203.13452655426,-35965.308811391384,169.6802574750953
38542,2,L2,Q8NER1,6.1593,COc1ccc2[nH]cc(CCNC(=O)NC3(C(=O)Nc4cccc(C(F)(F)F)c4)CCCCC3)c2c1,0,-9.65521,9.65521,-397917.8137694842,-350203.13452655426,-47719.54011877272,112.09445987179824
52263,3,L2,Q8NER1,6.1662,O=C(NCCc1c[nH]c2ccccc12)NC1(C(=O)Nc2cccc(Br)c2)CCCCC1,0,-9.80968,9.80968,-455652.46111995535,-350203.13452655426,-105454.40663377871,117.14851410964953
62450,4,L2,Q8NER1,6.0297,COc1ccc(NC(=O)C2(NC(=O)NCCc3c[nH]c4ccccc34)CCCCC2)cc1,0,-8.18559,8.18559,-388741.0268721228,-350203.13452655426,-38542.4787153336,105.76419933666344
119254,5,L2,Q8NER1,6.4045,O=C(NC1(C(=O)Nc2cccc(C(F)(F)F)c2)CCCCC1)Oc1ccccc1,0,-8.76161,8.76161,-389622.8440337875,-350203.13452655426,-39418.80363625666,-20.889880983488297
125391,6,L2,Q8NER1,6.3497,O=C(NC1(C(=O)Nc2ccc(Br)cc2)CCCCC1)Oc1ccccc1,0,-8.92152,8.92152,-450470.25912532094,-350203.13452655426,-100271.50251822885,100.95722115607884
131041,7,L2,Q8NER1,7.8239,Cc1nc(Nc2cccc3CC[C@@H](O)Cc23)oc1-c1ccc(cc1)C(F)(F)F |r|,0,-9.70348,9.70348,-387535.54432155594,-350203.13452655426,-37336.65081117858,97.80015639800615
132261,8,L2,Q8NER1,6.202,O=C(NCCc1c[nH]c2ccccc12)NC1(C(=O)Nc2cccc(C(F)(F)F)c2)CCCCC1,0,-9.53433,9.53433,-394804.0715413414,-350203.13452655426,-44601.32155406078,8.867686313203793
140296,9,L2,Q8NER1,6.9393,COc1ccc2[nH]cc(CCNC(=O)NC3(C(=O)Nc4ccccc4)CCCCC3)c2c1,0,-9.46791,9.46791,-388740.84210355044,-350203.13452655426,-38541.90194109405,96.7243338979988
