mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
10341,L2:Q9Y5Z0:10341,0,57,0,7.2604,C[C@]1(c2cc(Nc3nccc4nc(OCc5cocn5)cnc34)cc(F)c2F)N=C(N)S[C@@]2(C(F)F)C[C@@H]12,-7.49521,7.49521,-8.851719335757702,-61458.636454195665,-61459.21860359047,-61459.35823318213,13.424683963406647,3.219934877133637,7.792899504782582,334,161,9,0.0017909911694005132,True,,1.0
49521,L2:Q9Y5Z0:49521,0,60,1,6.8928,COC[C@]12C[C@H]1[C@@](C)(c1cc(NC(=O)c3cnc(OCc4nnc(C)o4)cn3)cc(F)c1F)N=C(N)S2,-6.9999,6.9999,7.309947631430607,-59144.776661608455,-59145.69689805768,-59146.13331027675,21.221156652786256,10.063904851835348,38.59500913605221,936,65,13,0.001725087291561067,True,,9.0
51240,L2:Q9Y5Z0:51240,0,62,2,7.9031,C[C@]1(c2cc(NC(=O)c3cnc(OCC(F)(F)F)cn3)ccc2F)N=C(N)S[C@@]2(C(=O)N3CC[C@H](F)C3)C[C@H]21,-8.36457,8.36457,-6.597706613805527,-64801.861476151775,-64802.41556849799,-64802.569653273,12.777673052532203,3.5532793240307248,9.7332457627574,228,250,11,0.001994443591684103,True,,2.0
67242,L2:Q9Y5Z0:67242,0,44,3,7.8794,C[C@]1(c2cc(NC(=O)c3ccc(Cl)cn3)cnc2F)N=C(N)S[C@@]2(C(F)F)C[C@@H]12,-7.09243,7.09243,8.42049040008363,-59943.60868821855,-59944.39574323493,-59944.49204939211,18.1499198505336,2.2208727440779485,28.791282994695177,291,120,7,0.0019711297936737537,True,,7.0
82278,L2:Q9Y5Z0:82278,0,68,4,7.1046,CC#CCOc1cnc2c(Nc3ccc(F)c([C@@]4(CF)N=C(N)S[C@@]5(/C=C/C(=O)N(C)C)C[C@H]54)c3)nccc2c1,-7.97161,7.97161,-6.009366110056769,-59864.61445654572,-59865.29246868252,-59865.49640060233,15.635331310398724,4.702781790931177,14.328746991273132,650,103,12,0.0016563491662964225,True,,3.0
87330,L2:Q9Y5Z0:87330,0,57,5,7.266,C[C@]1(c2cc(Nc3nccc4nc(OCc5ncco5)cnc34)ccc2F)N=C(N)S[C@@]2(CF)C[C@H]21,-7.33316,7.33316,7.536317333756325,-56054.01024906494,-56054.6957350512,-56054.91127007605,15.807682373485862,4.970355749736222,28.314355456978408,376,209,9,0.001933983527123928,True,,6.0
92673,L2:Q9Y5Z0:92673,0,45,6,7.0074,N#Cc1cnc2c(Nc3ccc(F)c([C@@]4(CF)N=C(N)S[C@H]5C[C@H]54)c3)ncnc2c1,-7.02341,7.02341,8.64975756418525,-47709.06244004205,-47709.646464209196,-47709.721345805374,13.467917240724095,1.7268106302929742,23.84448543520232,350,151,5,0.0019016038859263062,True,,4.0
104482,L2:Q9Y5Z0:104482,0,56,7,7.9101,CC#CCOc1cnc2c(Nc3ccc(F)c([C@@]4(CF)N=C(N)S[C@@]5(CF)C[C@H]54)c3)nccc2n1,-7.24454,7.24454,0.3553370453989482,-55231.92145541596,-55232.55438554502,-55232.95858832629,14.595715514644045,9.321137570709064,24.272190130752058,502,111,8,0.0017379026394337416,True,,5.0
110437,L2:Q9Y5Z0:110437,0,60,8,6.0716,C[C@H](Oc1cnc2c(Nc3cc(F)c(F)c([C@@]4(C)N=C(N)S[C@@]5(C(F)F)C[C@@H]45)c3)nccc2n1)c1ncco1,-7.29094,7.29094,19.497796074337444,-62528.75008958088,-62529.49224026931,-62530.03886381655,17.11440144817698,12.60543845650119,49.21763597901561,810,165,10,0.0018833983922377229,True,,10.0
113205,L2:Q9Y5Z0:113205,0,48,9,7.7878,C[C@]1(c2cc(Nc3ncnc4cc(C#N)cnc34)cc(F)c2F)N=C(N)S[C@@]2(CF)C[C@H]21,-6.99064,6.99064,16.004670457425323,-51481.24449882476,-51481.74719328043,-51482.16454584547,11.592409539255373,9.624378788344432,37.22145878502513,957,167,6,0.0012561655603349209,True,,8.0
