mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
10341,0,L2,Q9Y5Z0,7.2604,C[C@]1(c2cc(Nc3nccc4nc(OCc5cocn5)cnc34)cc(F)c2F)N=C(N)S[C@@]2(C(F)F)C[C@@H]12,0,-7.49521,7.49521,-344385.77540973347,-282929.44604972337,-61455.94551313011,-8.851719335757702
49521,1,L2,Q9Y5Z0,6.8928,COC[C@]12C[C@H]1[C@@](C)(c1cc(NC(=O)c3cnc(OCc4nnc(C)o4)cn3)cc(F)c1F)N=C(N)S2,0,-6.9999,6.9999,-342071.9434653903,-282929.44604972337,-59142.814404998026,7.3099476314306076
51240,2,L2,Q9Y5Z0,7.9031,C[C@]1(c2cc(NC(=O)c3cnc(OCC(F)(F)F)cn3)ccc2F)N=C(N)S[C@@]2(C(=O)N3CC[C@H](F)C3)C[C@H]21,0,-8.36457,8.36457,-347729.3676996562,-282929.44604972337,-64799.6355462955,-6.597706613805527
67242,3,L2,Q9Y5Z0,7.8794,C[C@]1(c2cc(NC(=O)c3ccc(Cl)cn3)cnc2F)N=C(N)S[C@@]2(C(F)F)C[C@@H]12,0,-7.09243,7.09243,-342870.61082487047,-282929.44604972337,-59941.52992217058,8.42049040008363
82278,4,L2,Q9Y5Z0,7.1046,CC#CCOc1cnc2c(Nc3ccc(F)c([C@@]4(CF)N=C(N)S[C@@]5(/C=C/C(=O)N(C)C)C[C@H]54)c3)nccc2c1,0,-7.97161,7.97161,-342791.6659906222,-282929.44604972337,-59861.9593501204,-6.009366110056769
87330,5,L2,Q9Y5Z0,7.266,C[C@]1(c2cc(Nc3nccc4nc(OCc5ncco5)cnc34)ccc2F)N=C(N)S[C@@]2(CF)C[C@H]21,0,-7.33316,7.33316,-338980.1001268234,-282929.44604972337,-56050.980882750504,7.536317333756325
92673,6,L2,Q9Y5Z0,7.0074,N#Cc1cnc2c(Nc3ccc(F)c([C@@]4(CF)N=C(N)S[C@H]5C[C@H]54)c3)ncnc2c1,0,-7.02341,7.02341,-330634.7168963936,-282929.44604972337,-47705.64593565894,8.64975756418525
104482,7,L2,Q9Y5Z0,7.9101,CC#CCOc1cnc2c(Nc3ccc(F)c([C@@]4(CF)N=C(N)S[C@@]5(CF)C[C@H]54)c3)nccc2n1,0,-7.24454,7.24454,-338158.7032205533,-282929.44604972337,-55229.2725797026,0.3553370453989482
110437,8,L2,Q9Y5Z0,6.0716,C[C@H](Oc1cnc2c(Nc3cc(F)c(F)c([C@@]4(C)N=C(N)S[C@@]5(C(F)F)C[C@@H]45)c3)nccc2n1)c1ncco1,0,-7.29094,7.29094,-345454.6831779179,-282929.44604972337,-62526.08263265599,19.497796074337444
113205,9,L2,Q9Y5Z0,7.7878,C[C@]1(c2cc(Nc3ncnc4cc(C#N)cnc34)cc(F)c2F)N=C(N)S[C@@]2(CF)C[C@H]21,0,-6.99064,6.99064,-334407.4694236017,-282929.44604972337,-51478.7174020764,16.004670457425323
