mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1740,L3:A0A1D8PKB4:1740,0,37,0,6.9586,Cc1ccc2c(c(nn2c1)c3ccc(cc3)F)c4ccncc4,-9.31379,9.31379,11.228292455547844,-27136.157639337704,-27136.33277838769,-27136.34992858426,4.038802439185127,0.3954929283204454,15.662587823053416,153,74,3,0.0019140213262289762,True,,2.0
3477,L3:A0A1D8PKB4:3477,0,39,1,6.0044,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,-8.07853,8.07853,63.36336705987612,-27859.62750338354,-27860.287912477117,-27860.33864024624,15.229395490188853,1.1698101461622172,79.7625726962272,238,134,6,0.00193657202180475,True,,8.0
10448,L3:A0A1D8PKB4:10448,0,35,2,7.1079,c1cc(ccc1c2c(c3ccc(cn3n2)C#N)c4ccncc4)F,-8.96812,8.96812,11.363052391687448,-28577.503148121887,-28577.862730467787,-28577.863535422857,8.29216588667268,0.018562704907868613,19.673780983268,168,124,2,0.0018972543766722083,True,,3.0
21866,L3:A0A1D8PKB4:21866,0,64,3,6.7447,Cc1occc1-c1nc(N)c(OC[C@@H](N)Cc2c[nH]c3ccccc23)cc1-c1cc2c(C)n[nH]c2cn1,-8.89634,8.89634,96.75047174761131,-44030.0663958366,-44030.919946227405,-44031.16119549652,19.683339613026437,5.563340309519861,121.9971516701576,552,224,11,0.0018734140321612358,True,,10.0
38545,L3:A0A1D8PKB4:38545,0,61,4,6.8861,CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1,-7.10069,7.10069,22.52021674612009,-61509.717390524995,-61510.03031450965,-61510.44815576426,7.216198515438978,9.635648237535412,39.37206349909448,907,195,10,0.001989206066355109,True,,5.0
65458,L3:A0A1D8PKB4:65458,0,66,5,6.1135,CNC(=O)c1nn(C)c-2c1C(C)(C)Cc1cnc(Nc3ccc(cc3)N3CCN(C)CC3)nc-21,-8.79006,8.79006,-15.156070558351212,-40442.09990928593,-40442.45191808756,-40442.51897107794,8.117515806794195,1.546278691844817,-5.4922760597122,460,300,10,0.0019243054557591677,True,,1.0
66338,L3:A0A1D8PKB4:66338,0,41,6,6.3279,Nc1nc(Nc2ccc(cc2)S(N)(=O)=O)n(n1)C(=S)Nc1c(F)cccc1F,-7.60486,7.60486,21.696542300601248,-57421.81588870917,-57422.75165486284,-57423.255238263584,21.579280144994236,11.612909099541623,54.888731545137105,450,175,8,0.001738482154905796,True,,7.0
69135,L3:A0A1D8PKB4:69135,0,35,7,6.8861,N#Cc1ccn2c(-c3ccncc3)c(-c3ccc(F)cc3)nc2c1,-8.83502,8.83502,12.176147190646358,-28578.03799412971,-28578.43160169367,-28578.444144091955,9.07680605513836,0.2892345755922174,21.542187821376935,239,99,2,0.0019940577913075686,True,,4.0
121070,L3:A0A1D8PKB4:121070,0,33,8,6.8239,c1ccc(-c2[nH]ncc2-c2ccnc3ccccc23)nc1,-7.41282,7.41282,35.845646052951146,-23800.702282430422,-23801.00895956233,-23801.009094298144,7.072142668882893,0.0031070817216076628,42.920895803555645,31,143,2,0.0018934521358460188,True,,6.0
127503,L3:A0A1D8PKB4:127503,0,56,9,6.7959,Cc1n[nH]c2ccc(-c3cc(OC[C@@H](N)Cc4ccccc4)cnc3-c3ccoc3)cc12,-8.32603,8.32603,71.7614398203113,-37431.97561588969,-37432.435418672016,-37432.87725879402,10.60330405441343,10.189075266931159,92.55381914165588,677,300,9,0.0019866572692990303,True,,9.0
