mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
1740,0,L3,A0A1D8PKB4,6.9586,Cc1ccc2c(c(nn2c1)c3ccc(cc3)F)c4ccncc4,0,-9.31379,9.31379,-278118.5956052411,-250983.65791352445,-27135.424596561123,11.228292455547844
3477,1,L3,A0A1D8PKB4,6.0044,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,0,-8.07853,8.07853,-278839.860696472,-250983.65791352445,-27858.950478601837,63.36336705987612
10448,2,L3,A0A1D8PKB4,7.1079,c1cc(ccc1c2c(c3ccc(cn3n2)C#N)c4ccncc4)F,0,-8.96812,8.96812,-279559.9567901807,-250983.65791352445,-28576.791625244667,11.363052391687448
21866,3,L3,A0A1D8PKB4,6.7447,Cc1occc1-c1nc(N)c(OC[C@@H](N)Cc2c[nH]c3ccccc23)cc1-c1cc2c(C)n[nH]c2cn1,0,-8.89634,8.89634,-295008.27551711234,-250983.65791352445,-44028.813101130196,96.75047174761133
38545,4,L3,A0A1D8PKB4,6.8861,CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1,0,-7.10069,7.10069,-312490.92558435234,-250983.65791352445,-61508.244239854415,22.52021674612009
65458,5,L3,A0A1D8PKB4,6.1135,CNC(=O)c1nn(C)c-2c1C(C)(C)Cc1cnc(Nc3ccc(cc3)N3CCN(C)CC3)nc-21,0,-8.79006,8.79006,-291425.44915872696,-250983.65791352445,-40441.13401577892,-15.156070558351212
66338,6,L3,A0A1D8PKB4,6.3279,Nc1nc(Nc2ccc(cc2)S(N)(=O)=O)n(n1)C(=S)Nc1c(F)cccc1F,0,-7.60486,7.60486,-308402.6856025408,-250983.65791352445,-57419.96854013835,21.696542300601248
69135,7,L3,A0A1D8PKB4,6.8861,N#Cc1ccn2c(-c3ccncc3)c(-c3ccc(F)cc3)nc2c1,0,-8.83502,8.83502,-279560.5175099688,-250983.65791352445,-28577.38760416036,12.176147190646358
121070,8,L3,A0A1D8PKB4,6.8239,c1ccc(-c2[nH]ncc2-c2ccnc3ccccc23)nc1,0,-7.41282,7.41282,-274782.0200629136,-250983.65791352445,-23799.916563721195,35.845646052951146
127503,9,L3,A0A1D8PKB4,6.7959,Cc1n[nH]c2ccc(-c3cc(OC[C@@H](N)Cc4ccccc4)cnc3-c3ccoc3)cc12,0,-8.32603,8.32603,-288411.0821545914,-250983.65791352445,-37430.53611162385,71.7614398203113
