mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
11497,L3:Q96LB1:11497,0,52,0,7.0458,FC1(OC=2C(=CC3=C(N=C(S3)NC([C@H](C)N3C[C@@H](C[C@H](C3)C3=CNC(C=C3)=O)F)=O)C2)O1)F,-6.9559,6.9559,6.431643776433311,-55252.64350583586,-55253.65213421877,-55253.794007248194,23.259523067364594,3.271669780917569,32.96283662471547,565,127,6,0.001927609322592616,True,,7.0
38418,L3:Q96LB1:38418,0,54,1,10.0,NS(=O)(=O)N1CC(CNc2cc(C(F)(F)F)nc3ccc(Cl)cc23)(c2ccc3ccccc3n2)C1,-7.11918,7.11918,19.58055981539116,-67246.37310505596,-67247.0738245063,-67247.4276663226,16.158974400376284,8.159786129443201,43.899320345210654,988,131,7,0.0018528021173551679,True,,9.0
39087,L3:Q96LB1:39087,0,52,2,6.6517,FC1(OC=2C(=CC3=C(N=C(S3)NC([C@H](C)N3C[C@H]([C@H](CC3)F)C3=CC=[N+](C=C3)[O-])=O)C2)O1)F,-7.34657,7.34657,-3.6106611749794735,-55250.909551287026,-55251.669307297285,-55251.81912868336,17.52038981416802,3.4549632396535706,17.364691878842116,663,145,6,0.0014553731307387352,True,,3.0
43063,L3:Q96LB1:43063,0,42,3,7.7696,O1COC2=CC3=C(N=C(S3)NC([C@H](C)N3CCC(CC3)(F)F)=O)C=C21,-5.86691,5.86691,3.0427614119069264,-43773.17032110826,-43773.95162867718,-43774.00176087748,18.017380563652416,1.1560760027916694,22.21621797835101,700,50,5,0.0013780823210254312,True,,4.0
78428,L3:Q96LB1:78428,0,27,4,7.4949,O=c1c2ccccc2[nH]c(=S)n1Cc1nccs1,-5.34534,5.34534,-11.873658877190824,-40795.7555722876,-40796.26162874906,-40796.2656387431,11.669939234524698,0.09247265931183637,-0.1112469833542897,195,42,2,0.0013296359684318304,True,,1.0
82343,L3:Q96LB1:82343,0,52,5,6.6536,FC1(OC=2C(=CC3=C(N=C(S3)NC([C@H](C)N3C[C@H](CCC3)C3=CC=[N+](C=C3)[O-])=O)C2)O1)F,-6.9321,6.9321,7.631261326098454,-52548.67939649739,-52549.44757708868,-52549.64929649029,17.714665267929156,4.651759909312648,29.997686503340258,296,170,6,0.0015305716078728437,True,,5.0
115856,L3:Q96LB1:115856,0,41,6,6.4802,FC1(CCN(CC1)[C@H](C(=O)NC=1SC=2C(=CC3=C(N=CO3)C2)N1)C)F,-6.06401,6.06401,16.673083745169702,-43200.5296516664,-43201.07387009634,-43201.269399082186,12.549975133914176,4.509005530354689,33.73206440943857,373,149,5,0.0014615794643759727,True,,8.0
128174,L3:Q96LB1:128174,0,60,7,7.5229,FC1(OC=2C(=CC3=C(N=C(S3)NC([C@H](C)N3C[C@@H](C(CC3)(F)F)C3=CC(=[N+](C=C3)[O-])[C@@H](CO)O)=O)C2)O1)F,-7.09562,7.09562,33.56454984952605,-64190.84868668251,-64191.732336381676,-64192.1297499335,20.377446153092272,9.164574220326386,63.10657022294471,921,92,10,0.0015200312482193112,True,,10.0
129454,L3:Q96LB1:129454,0,55,8,7.5376,FC1([C@@H](CN(CC1)[C@H](C(=O)NC=1SC2=C(N1)C=C1CCCC1=C2)C)C=2N=CC(NC2)=O)F,-6.73592,6.73592,8.387112370744099,-51031.75893777405,-51032.67235899273,-51032.74422649505,21.06399370278887,1.6573039748001455,31.108410048333116,614,179,6,0.0016103627858683467,True,,6.0
145185,L3:Q96LB1:145185,0,28,9,6.289,O=c1c2ccccc2[nH]c(=S)n1Cc1cccs1,-5.5711,5.5711,-8.569878977857073,-40358.81716997271,-40359.23353928004,-40359.23633158487,9.601704326835378,0.06439207915531879,1.096217428133624,136,39,2,0.000885105924680829,True,,2.0
