mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
11497,0,L3,Q96LB1,7.0458,FC1(OC=2C(=CC3=C(N=C(S3)NC([C@H](C)N3C[C@@H](C[C@H](C3)C3=CNC(C=C3)=O)F)=O)C2)O1)F,0,-6.9559,6.9559,-287516.10303126846,-232265.04990037932,-55251.332033360304,6.431643776433311
38418,1,L3,Q96LB1,10.0,NS(=O)(=O)N1CC(CNc2cc(C(F)(F)F)nc3ccc(Cl)cc23)(c2ccc3ccccc3n2)C1,0,-7.11918,7.11918,-299508.4437390304,-232265.04990037932,-67244.24293208802,19.580559815391158
39087,2,L3,Q96LB1,6.6517,FC1(OC=2C(=CC3=C(N=C(S3)NC([C@H](C)N3C[C@H]([C@H](CC3)F)C3=CC=[N+](C=C3)[O-])=O)C2)O1)F,0,-7.34657,7.34657,-287514.7322180484,-232265.04990037932,-55249.52574458152,-3.6106611749794735
43063,3,L3,Q96LB1,7.7696,O1COC2=CC3=C(N=C(S3)NC([C@H](C)N3CCC(CC3)(F)F)=O)C=C21,0,-5.86691,5.86691,-276037.3666819614,-232265.04990037932,-43772.44872820513,3.0427614119069264
78428,4,L3,Q96LB1,7.4949,O=c1c2ccccc2[nH]c(=S)n1Cc1nccs1,0,-5.34534,5.34534,-273060.8409744151,-232265.04990037932,-40795.27618345452,-11.873658877190824
82343,5,L3,Q96LB1,6.6536,FC1(OC=2C(=CC3=C(N=C(S3)NC([C@H](C)N3C[C@H](CCC3)C3=CC=[N+](C=C3)[O-])=O)C2)O1)F,0,-6.9321,6.9321,-284811.98489420046,-232265.04990037932,-52547.26591663278,7.631261326098454
115856,6,L3,Q96LB1,6.4802,FC1(CCN(CC1)[C@H](C(=O)NC=1SC=2C(=CC3=C(N=CO3)C2)N1)C)F,0,-6.06401,6.06401,-275463.8308540792,-232265.04990037932,-43199.503967041455,16.673083745169702
128174,7,L3,Q96LB1,7.5229,FC1(OC=2C(=CC3=C(N=C(S3)NC([C@H](C)N3C[C@@H](C(CC3)(F)F)C3=CC(=[N+](C=C3)[O-])[C@@H](CO)O)=O)C2)O1)F,0,-7.09562,7.09562,-296452.9180861556,-232265.04990037932,-64189.32368241479,33.56454984952605
129454,8,L3,Q96LB1,7.5376,FC1([C@@H](CN(CC1)[C@H](C(=O)NC=1SC2=C(N1)C=C1CCCC1=C2)C)C=2N=CC(NC2)=O)F,0,-6.73592,6.73592,-283295.0498707536,-232265.04990037932,-51030.36366998941,8.387112370744099
145185,9,L3,Q96LB1,6.289,O=c1c2ccccc2[nH]c(=S)n1Cc1cccs1,0,-5.5711,5.5711,-272623.7478106965,-232265.04990037932,-40358.326285191826,-8.569878977857073
