mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
10956,L3:Q9HCR9:10956,0,42,0,7.3768,Cc1nn(-c2ccc(F)cc2)c2nc(-c3ccnn3C)cc(-c3nnco3)c12,-9.1554,9.1554,9.241498983188713,-35146.82587825681,-35147.52343889736,-35147.680115455056,16.08613051625279,3.6130472526293604,28.940676752070864,513,179,5,0.0019511999562382698,True,,6.0
12928,L3:Q9HCR9:12928,0,48,1,7.1612,CCn1nccc1-c1cc(-c2nnc(C)o2)c2c(C)nn(-c3ccccc3)c2n1,-9.71167,9.71167,25.750166584694632,-34586.24009347504,-34586.85392791486,-34586.9640470183,14.155358459561713,2.5394068519315054,42.444931896187846,231,78,7,0.0018284902907907963,True,,8.0
68226,L3:Q9HCR9:68226,0,45,2,6.9172,CCn1nccc1-c1cc(-c2nnc(C)s2)c2cnn(-c3ccc(F)cc3)c2n1,-9.53941,9.53941,13.993036760464788,-45006.381907132454,-45006.81975449025,-45006.93734188516,10.096999936971088,2.711629744611823,26.8016664420477,277,135,6,0.0018219087505713105,True,,5.0
78593,L3:Q9HCR9:78593,0,48,3,6.9318,CCn1nccc1-c1cc(-c2nnc(C)s2)c2c(C)nn(-c3ccc(F)cc3)c2n1,-9.74268,9.74268,6.689166854841496,-46076.9212599013,-46077.472956331454,-46077.58524440682,12.722421915614499,2.5894245328381267,22.001013303294123,305,256,7,0.0019725593738257885,True,,3.0
90524,L3:Q9HCR9:90524,0,42,4,7.0757,CCn1nccc1-c1cc(-c2nnco2)c2cnn(-c3ccccc3F)c2n1,-9.34662,9.34662,0.5624425697214209,-35146.671690249685,-35147.384126861834,-35147.403838863305,16.429178570763668,0.4545695527570859,17.446190693242173,205,286,5,0.0019940235652029514,True,,2.0
96622,L3:Q9HCR9:96622,0,53,5,7.1871,CCN(CC)C(=O)c1cc(nc2n(nc(C)c12)-c1ccc(F)cc1)-c1ccnn1C,-8.64061,8.64061,0.102072898373829,-36917.62510801024,-36918.18366507618,-36918.37721450836,12.880631935376412,4.463355938221835,17.446060771972075,384,208,10,0.0017694709822535515,True,,1.0
113370,L3:Q9HCR9:113370,0,53,6,7.9208,CCN(CC)C(=O)c1cc(nc2n(nc(C(F)F)c12)-c1ccccc1)-c1ccnn1C,-8.41047,8.41047,31.214847120325587,-39619.84066621842,-39620.43101187909,-39620.49466721357,13.61369434444179,1.4679268854767158,46.29646835024409,422,156,10,0.0017852646997198462,True,,9.0
121641,L3:Q9HCR9:121641,0,46,7,7.3279,CCn1nccc1-c1cc(-c2nnc[nH]2)c2c(C)nn(-c3ccccc3F)c2n1,-9.15737,9.15737,22.314044537798797,-35676.64589265364,-35677.58583231273,-35677.7759986005,21.675523466314143,4.385338774763154,48.374906778876095,365,135,6,0.0015395449008792639,True,,10.0
134889,L3:Q9HCR9:134889,0,56,8,7.301,CCN(CC)C(=O)c1cc(nc2n(nc(C)c12)-c1ccccc1)-c1ccnn1CC,-8.44714,8.44714,8.780405635668476,-35286.10697849958,-35286.663194064146,-35286.8612421985,12.82663563084445,4.567098475086314,26.17413974159924,520,176,11,0.0019485179800540209,True,,4.0
140686,L3:Q9HCR9:140686,0,42,9,7.4089,Cc1nn(-c2ccc(F)cc2F)c2nc(-c3ccnn3C)cc(-c3nnco3)c12,-9.82377,9.82377,7.928250887319471,-37848.662310571875,-37849.4038199943,-37849.6487183322,17.0996135027335,5.647489834780663,30.675354224833633,484,227,5,0.0019860705360770226,True,,7.0
