mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
16466,L3:Q9NPC1:16466,0,48,0,7.7201,CCCCC[C@H](O)/C=C/C=C/C/C=C\CCCC(=O)O,-7.24344,7.24344,12.222563855612483,-24242.716531079375,-24243.00272494307,-24243.31137417072,6.599787282593535,7.11762027708008,25.939971415286095,598,143,15,0.0019308979390189052,True,,1.0
18761,L3:Q9NPC1:18761,0,45,1,7.2291,CCc1cc(N2Cc3ccc(-c4ccccc4-c4nnn[nH]4)cc3C2)no1,-8.87467,8.87467,61.896699605506825,-32039.982861567703,-32040.52241401648,-32040.600788419648,12.442375052121804,1.807356672968237,76.14643133059687,302,106,5,0.001919682719744742,True,,8.0
21838,L3:Q9NPC1:21838,0,46,2,7.5086,CCCCC(=O)N1CC2(C1)CN(c1ccccc1-c1nnn[nH]1)C2,-7.56807,7.56807,34.343610234680526,-28992.34580251229,-28993.01963165288,-28993.04526650747,15.538869126303215,0.5911537903606212,50.47363315134436,131,77,7,0.001829619286581874,True,,3.0
72366,L3:Q9NPC1:72366,0,49,3,7.0969,CCCCC(=O)N1CC2(CCN(c3ccccc3-c3nnn[nH]3)C2)C1,-7.50139,7.50139,37.48410659838527,-30063.07671352297,-30063.784716494563,-30064.115930087442,16.326936390672966,7.637966900738887,61.449009889797125,457,271,7,0.0018879772396758199,True,,6.0
75604,L3:Q9NPC1:75604,0,52,4,6.2518,CCCCC(=O)N1CC2(CCN(c3ccccc3-c3nnn[nH]3)CC2)C1,-6.38373,6.38373,18.86740876916933,-31133.92363102722,-31134.715610331237,-31134.827022921338,18.26347662113105,2.5692353629427718,39.70012075324315,415,121,7,0.001933586085215211,True,,2.0
92711,L3:Q9NPC1:92711,0,45,5,6.2154,CCCCC(=O)N1Cc2ccc(-c3ccccc3C(=O)O)cc2C1,-5.35146,5.35146,61.31173937234644,-28734.63870996648,-28734.97136656135,-28735.15150755378,7.671243317171844,4.154149972189426,73.13713266170771,264,154,8,0.0019179299706593156,True,,7.0
119020,L3:Q9NPC1:119020,0,54,6,6.8416,CCc1cc(C(C)=O)c(O)cc1OCCCCCC(C)(C)c1nn[nH]n1,-5.95132,5.95132,53.83384409553343,-32281.565310684986,-32282.214263719157,-32282.59928713737,14.965212484335522,8.87885095162493,77.67790753149387,991,70,15,0.0019126612460240722,True,,9.0
131764,L3:Q9NPC1:131764,0,52,7,7.0269,CCCCC(=O)N1CCC2(CC1)CN(c1ccccc1-c1nnn[nH]1)C2,-7.38932,7.38932,31.59483300242912,-31133.8015809803,-31134.401462639078,-31134.939664018104,13.833599684961854,12.411218643530715,57.83965133092169,433,173,7,0.0019224102143198252,True,,4.0
132810,L3:Q9NPC1:132810,0,54,8,7.2007,CCCCC(=O)N(Cc1ccc(cc1)-c1ccccc1C(O)=O)c1ccccc1,-5.9108,5.9108,70.92524005796643,-33988.70739185721,-33988.98497928399,-33989.140442590484,6.401318132333164,3.5850690153392333,80.91162720563882,336,144,11,0.0019663292914628983,True,,10.0
145653,L3:Q9NPC1:145653,0,52,9,6.9957,CCCCC(=O)N1CCC2(CCN(c3ccccc3-c3nnn[nH]3)C2)C1,-7.43788,7.43788,33.655204285981995,-31134.471757665156,-31135.085423958197,-31135.576818242196,14.15148090269441,11.331821389860892,59.138506578537296,1000,138,7,0.0062950775027275085,False,,5.0
