mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
6438,L3:Q9NR22:6438,0,55,0,7.4949,N=C(NCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)Nc1ccccc1Br,-7.08869,7.08869,10.891824009244186,-119048.39084879367,-119049.54844166979,-119050.24341539547,26.69472588805254,16.0264748420678,53.613024739364526,795,172,12,0.0018976505380123854,True,,10.0
15841,L3:Q9NR22:15841,0,49,1,6.1198,C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12,-7.57725,7.57725,-22.762140845824664,-45947.77477138696,-45950.22536612383,-45950.881387172085,56.51205714298603,15.128204761215564,48.87812105837693,504,116,12,0.001970742829144001,True,,9.0
30312,L3:Q9NR22:30312,0,69,2,6.6517,CNCCNCc1c[nH]nc1-c1ccc(O[C@H]2C[C@H](OCCC3CCCCC3)C2)cc1,-7.64293,7.64293,9.582260975870303,-36622.04631415259,-36622.500615705656,-36622.88841342913,10.476442693986996,8.942827950762135,29.00153162061944,541,271,13,0.001976399216800928,True,,7.0
47363,L3:Q9NR22:47363,0,68,3,6.0,Cc1cc(C)c(CNC(=O)c2cc(Cl)c3c(c2C)O[C@@](C)([C@H]2CC[C@H](N(C)C)CC2)O3)c(=O)[nH]1,-7.47137,7.47137,-6.128509503070614,-52727.932360756065,-52728.3917201363,-52728.60584393198,10.593078959345181,4.9378120320007275,9.402381488275296,456,300,12,0.0019258104730397463,True,,2.0
50566,L3:Q9NR22:50566,0,68,4,6.0,Cc1cc(C)c(CNC(=O)c2cc(Br)c3c(c2C)OC(C)(C2CCC(N(C)C)CC2)O3)c(=O)[nH]1,-7.77429,7.77429,-1.9169653735532213,-110250.0906927587,-110250.4763871922,-110250.64582501855,8.894324931694024,3.9073290988410854,10.884688656981888,571,132,12,0.0018264453392475843,True,,3.0
93482,L3:Q9NR22:93482,0,55,5,7.1367,CNC[C@H](O)CN(C)Cc1ccccc1OCc1ccc(-c2nccs2)c(Cl)c1,-6.70419,6.70419,-12.678495981179998,-55184.26563095148,-55184.73280540106,-55185.02170024474,10.773298739760408,6.662073360729317,4.7568761193097275,628,207,13,0.001882718177512288,True,,1.0
98130,L3:Q9NR22:98130,0,64,6,8.7696,CCOCC1(COCC)CCC(c2n[nH]cc2CN(C)CCNC)CC1,-5.57684,5.57684,-8.589250071441315,-31433.727976283928,-31434.088158335446,-31434.802463159172,8.305995426755961,16.472260553191592,16.18900590850624,558,265,16,0.00184677226934582,True,,5.0
123696,L3:Q9NR22:123696,0,43,7,8.301,CC(C)Oc1ccc(-c2c[nH]cc2CNCCN)cc1,-7.3345,7.3345,-0.8836373972158679,-23499.766852643108,-23500.175499441728,-23500.489281146125,9.423619045403168,7.235978002622832,15.775959650810133,741,191,10,0.0019035959849134088,True,,4.0
131437,L3:Q9NR22:131437,0,46,8,8.301,CC(C)Oc1ccc(-c2c[nH]cc2CN(C)CCN)cc1,-7.08986,7.08986,3.519432786161513,-24570.057257076303,-24570.32306164262,-24570.636679617364,6.129598915118692,7.23220230715549,16.881234008435694,546,59,11,0.001896927715279162,True,,6.0
144261,L3:Q9NR22:144261,0,62,9,7.6198,CNCCN(C)Cc1ccccc1OC1CCC(COC)(COC)CC1,-6.78248,6.78248,21.224690573162675,-31505.362070912393,-31505.620565943434,-31506.190861922605,5.961037027300472,13.15133770527386,40.337065305737006,537,209,15,0.00172663654666394,True,,8.0
