mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
6438,0,L3,Q9NR22,7.4949,N=C(NCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)Nc1ccccc1Br,0,-7.08869,7.08869,-465290.93427667953,-346244.7059531353,-119046.70063773598,10.891824009244186
15841,1,L3,Q9NR22,6.1198,C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12,0,-7.57725,7.57725,-392191.746768053,-346244.7059531353,-45946.053755069304,-22.762140845824664
30312,2,L3,Q9NR22,6.6517,CNCCNCc1c[nH]nc1-c1ccc(O[C@H]2C[C@H](OCCC3CCCCC3)C2)cc1,0,-7.64293,7.64293,-382864.4067063674,-346244.7059531353,-36620.116279395945,9.582260975870305
47363,3,L3,Q9NR22,6.0,Cc1cc(C)c(CNC(=O)c2cc(Cl)c3c(c2C)O[C@@](C)([C@H]2CC[C@H](N(C)C)CC2)O3)c(=O)[nH]1,0,-7.47137,7.47137,-398971.55553919513,-346244.7059531353,-52726.583828734925,-6.128509503070614
50566,4,L3,Q9NR22,6.0,Cc1cc(C)c(CNC(=O)c2cc(Br)c3c(c2C)OC(C)(C2CCC(N(C)C)CC2)O3)c(=O)[nH]1,0,-7.77429,7.77429,-456493.6615591664,-346244.7059531353,-110248.87247854483,-1.9169653735532215
93482,5,L3,Q9NR22,7.1367,CNC[C@H](O)CN(C)Cc1ccccc1OCc1ccc(-c2nccs2)c(Cl)c1,0,-6.70419,6.70419,-401428.2049018962,-346244.7059531353,-55182.949157139556,-12.678495981179998
98130,6,L3,Q9NR22,8.7696,CCOCC1(COCC)CCC(c2n[nH]cc2CN(C)CCNC)CC1,0,-5.57684,5.57684,-377677.01433021575,-346244.7059531353,-31431.935911945024,-8.589250071441315
123696,7,L3,Q9NR22,8.301,CC(C)Oc1ccc(-c2c[nH]cc2CNCCN)cc1,0,-7.3345,7.3345,-369743.60444625927,-346244.7059531353,-23498.860174979793,-0.8836373972158679
131437,8,L3,Q9NR22,8.301,CC(C)Oc1ccc(-c2c[nH]cc2CN(C)CCN)cc1,0,-7.08986,7.08986,-370813.8769502852,-346244.7059531353,-24569.323614200162,3.519432786161513
144261,9,L3,Q9NR22,7.6198,CNCCN(C)Cc1ccccc1OC1CCC(COC)(COC)CC1,0,-6.78248,6.78248,-377747.2937717993,-346244.7059531353,-31503.508208358548,21.224690573162675
