mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1811,L3:Q9Y4K4:1811,0,48,0,6.0,COc1ncc(F)cc1CNc1ccc(Cc2c[nH]c3ncc(C)cc23)c(F)n1,-8.60208,8.60208,-17.806685424638626,-37042.740488981755,-37043.209794938906,-37043.34826803678,10.822452472073605,3.193265496806158,-3.7909674557588633,379,130,8,0.00199786270968616,True,,2.0
1812,L3:Q9Y4K4:1812,0,61,1,8.5086,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)n3c4ccccc4c5c3c6n2c7ccccc7c6c8c5C(=O)NC8)NC)OC,-12.32757,12.32757,-8.422335075908117,-41590.785611327476,-41591.393044434626,-41591.410566982595,14.007740221343951,0.40407955554970215,5.989484700985536,88,137,5,0.0016006357036530972,True,,4.0
1813,L3:Q9Y4K4:1813,0,69,2,7.0044,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(nn3-c3ccc4ncccc4c3)C(C)(C)C)c(F)c2)ccn1,-8.77846,8.77846,13.672705460165288,-50889.53392650664,-50890.464619308426,-50890.595033693746,21.462285871133194,3.0074271704600593,38.14241850175854,548,286,14,0.001872319495305419,True,,9.0
16994,L3:Q9Y4K4:16994,0,68,3,7.8861,CC(C)(O)Cn1cc(-c2cc(C(C)(C)O)c3nc(Nc4ccc5c(c4)C(C)(C)OC5=O)ncc3c2)cn1,-8.82682,8.82682,9.345366966596623,-45212.00994154093,-45212.84588724266,-45213.04031921849,19.2773658386813,4.483707878334102,33.10644068361202,587,229,14,0.0019205231219530106,True,,8.0
45281,L3:Q9Y4K4:45281,0,53,4,6.2684,c1ccc2c(-c3coc4cc(-c5ccc(N6CCNCC6)cc5)cnc34)ccnc2c1,-8.91373,8.91373,-24.57973417115277,-35351.408900986266,-35351.83392108886,-35351.84936986239,9.801196404829868,0.3562571810154613,-14.422280585307439,118,222,3,0.0018629679689183831,True,,1.0
64956,L3:Q9Y4K4:64956,0,75,5,6.7328,COc1cc(Nc2ccc3c(n2)CN(C)C32CCN(C3COC3)CC2)c(C(N)=O)nc1-c1cccc2c1ncn2C,-9.71077,9.71077,24.37599371611664,-49757.906302015675,-49758.98232113934,-49759.60900260644,24.81359046787436,14.451617946702308,63.64120213069331,547,170,10,0.0018883735174313188,True,,10.0
109204,L3:Q9Y4K4:109204,0,71,6,6.983,O=c1[nH]ccc2c(-c3cnc4cc(F)ccn34)ccc(Nc3ccc(C4CCOCC4)c(CN4CC[C@H](F)C4)n3)c12,-9.78865,9.78865,-16.49401531617075,-51138.24615877896,-51139.20214522782,-51140.008320267145,22.045571229404594,18.59083805419249,24.142393967426333,943,300,6,0.0017044804990291595,True,,5.0
115639,L3:Q9Y4K4:115639,0,66,7,6.5171,CN(C)Cc1nc(Nc2ccc(c3CNC(=O)c23)-c2cnc3cc(F)ccn23)ccc1C1CCOCC1,-8.50856,8.50856,-13.401782333301774,-45290.83654519374,-45291.33478441682,-45291.674690389504,11.489669434789615,7.838417941064408,5.926305042552249,723,125,8,0.0016936128959059715,True,,3.0
136517,L3:Q9Y4K4:136517,0,94,8,6.2757,Cn1cc(cn1)-c1cnc(N)c(c1)C(=O)N[C@H]1CCC[C@@H]1OCc1ccc(cc1)-c1ccc(cc1)C(C)(C)N1CCN(CCO)CC1 |r|,-7.70415,7.70415,-3.0317901041109727,-55744.273195610316,-55745.09921386627,-55745.81925915387,19.048433500377545,16.60463879487986,32.621282191146435,666,272,17,0.0017852840246632695,True,,7.0
140016,L3:Q9Y4K4:140016,0,77,9,6.7375,O=C1NCc2c(-c3cnc4cc(F)ccn34)ccc(Nc3ccc4c(n3)CN(CCN3CCOCC3)C43CCOCC3)c21,-9.23209,9.23209,-3.9389938672711615,-53061.27420580402,-53062.28091356303,-53062.644369111025,23.21523242819316,8.381484048838331,27.65772260976033,663,268,6,0.001861309283412993,True,,6.0
