mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
1811,0,L3,Q9Y4K4,6.0,COc1ncc(F)cc1CNc1ccc(Cc2c[nH]c3ncc(C)cc23)c(F)n1,0,-8.60208,8.60208,-370866.60843786015,-333824.10019706347,-37041.73606983373,-17.806685424638626
1812,1,L3,Q9Y4K4,8.5086,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)n3c4ccccc4c5c3c6n2c7ccccc7c6c8c5C(=O)NC8)NC)OC,0,-12.32757,12.32757,-375413.8251446038,-333824.10019706347,-41589.35972052413,-8.422335075908117
1813,2,L3,Q9Y4K4,7.0044,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(nn3-c3ccc4ncccc4c3)C(C)(C)C)c(F)c2)ccn1,0,-8.77846,8.77846,-384711.60625261953,-333824.10019706347,-50888.098960180905,13.672705460165288
16994,3,L3,Q9Y4K4,7.8861,CC(C)(O)Cn1cc(-c2cc(C(C)(C)O)c3nc(Nc4ccc5c(c4)C(C)(C)OC5=O)ncc3c2)cn1,0,-8.82682,8.82682,-379034.302476418,-333824.10019706347,-45210.60753282182,9.345366966596625
45281,4,L3,Q9Y4K4,6.2684,c1ccc2c(-c3coc4cc(-c5ccc(N6CCNCC6)cc5)cnc34)ccnc2c1,0,-8.91373,8.91373,-369175.2939026343,-333824.10019706347,-35350.12782741599,-24.57973417115277
64956,5,L3,Q9Y4K4,6.7328,COc1cc(Nc2ccc3c(n2)CN(C)C32CCN(C3COC3)CC2)c(C(N)=O)nc1-c1cccc2c1ncn2C,0,-9.71077,9.71077,-383578.32005175937,-333824.10019706347,-49755.2768978284,24.37599371611664
109204,6,L3,Q9Y4K4,6.983,O=c1[nH]ccc2c(-c3cnc4cc(F)ccn34)ccc(Nc3ccc(C4CCOCC4)c(CN4CC[C@H](F)C4)n3)c12,0,-9.78865,9.78865,-384961.77744676574,-333824.10019706347,-51136.96200150274,-16.49401531617075
115639,7,L3,Q9Y4K4,6.5171,CN(C)Cc1nc(Nc2ccc(c3CNC(=O)c23)-c2cnc3cc(F)ccn23)ccc1C1CCOCC1,0,-8.50856,8.50856,-379114.07929478446,-333824.10019706347,-45289.397941434865,-13.401782333301774
136517,8,L3,Q9Y4K4,6.2757,Cn1cc(cn1)-c1cnc(N)c(c1)C(=O)N[C@H]1CCC[C@@H]1OCc1ccc(cc1)-c1ccc(cc1)C(C)(C)N1CCN(CCO)CC1 |r|,0,-7.70415,7.70415,-389566.38261023705,-333824.10019706347,-55742.15094231147,-3.0317901041109727
140016,9,L3,Q9Y4K4,6.7375,O=C1NCc2c(-c3cnc4cc(F)ccn34)ccc(Nc3ccc4c(n3)CN(CCN3CCOCC3)C43CCOCC3)c21,0,-9.23209,9.23209,-386883.1222032204,-333824.10019706347,-53058.851195216244,-3.9389938672711624
