mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
6175,0,L3,Q9Y6M4,7.451,Cc1cc(CC(=O)Nc2cc(-c3[nH]c4cccnc4c3-c3ccccn3)ccn2)n(C)n1,0,-8.51333,8.51333,-316029.15689436154,-278296.3128377204,-37732.3011040131,-12.520785049064349
10544,1,L3,Q9Y6M4,7.4989,Cc1cc(CC(=O)Nc2cc(-c3[nH]c4cccnc4c3-c3ccccn3)ccn2)nn1C,0,-8.10569,8.10569,-316029.8433829751,-278296.3128377204,-37732.620960537584,-20.975521875129377
19862,2,L3,Q9Y6M4,7.2027,Cn1cc(C(CC(F)F)C(=O)Nc2cc(-c3[nH]c4cccnc4c3-c3ccccn3)ccn2)cn1,0,-8.63333,8.63333,-322504.14573998674,-278296.3128377204,-44206.79051978636,-24.037911037713755
28224,3,L3,Q9Y6M4,7.5686,O=C(Cc1ccns1)Nc1cc(-c2[nH]c3cccnc3c2-c2ccccn2)ccn1,0,-8.06831,8.06831,-323218.0217560033,-278296.3128377204,-44921.52969999019,-4.132872011982829
72738,4,L3,Q9Y6M4,8.6198,O=C(Nc1cc(-c2[nH]c3ncc(F)nc3c2-c2ccccn2)ccn1)[C@H](CC(F)F)c1ccc(F)cc1,0,-9.25155,9.25155,-327438.5284401641,-278296.3128377204,-49141.138680353746,-24.834413365879236
73293,5,L3,Q9Y6M4,7.2984,O=C(Cc1cnco1)Nc1cc(-c2[nH]c3cccnc3c2-c2ccccn2)ccn1,0,-8.04093,8.04093,-314429.7096645254,-278296.3128377204,-36132.29407444625,-25.430073514889774
87012,6,L3,Q9Y6M4,7.1911,Cc1nc(CC(=O)Nc2cc(-c3[nH]c4cccnc4c3-c3ccccn3)ccn2)co1,0,-8.50449,8.50449,-315500.87628086994,-278296.3128377204,-37203.16468551209,-32.25611740217896
95594,7,L3,Q9Y6M4,6.9208,Cc1ocnc1CC(=O)Nc1cc(-c2[nH]c3cccnc3c2-c2ccccn2)ccn1,0,-8.27993,8.27993,-315500.3328636542,-278296.3128377204,-37203.416363203985,-13.920793254490324
100681,8,L3,Q9Y6M4,7.8297,O=C(Cc1ccn(CC(F)(F)F)n1)Nc1cc(-c2[nH]c3cccnc3c2-c2ccccn2)ccn1,0,-8.37015,8.37015,-324136.4403692749,-278296.3128377204,-45839.15245633866,-22.48576865307206
136524,9,L3,Q9Y6M4,7.2034,Cc1noc(C)c1CC(=O)Nc1cc(-c2[nH]c3cccnc3c2-c2ccccn2)ccn1,0,-7.95503,7.95503,-316570.2981658183,-278296.3128377204,-38272.67352225248,-30.25096144380409
