mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
6702,L4:O00767:6702,0,47,0,6.0655,Cn1nc(-c2nc(N3CCC(Cc4ccc(F)c(F)c4)CC3)no2)ccc1=O,-9.03447,9.03447,32.89002984228251,-37013.62863248576,-37014.11699831598,-37014.26604832097,11.261983586641485,3.4371747692557655,47.589188198179755,354,96,5,0.0018751309253275394,True,,3.0
41603,L4:O00767:41603,0,47,1,7.1549,Cn1nc(NC(=O)N2CCC(Oc3ccc(C(F)(F)F)c(F)c3)CC2)ccc1=O,-7.35567,7.35567,4.804631088544045,-41956.31336976949,-41956.89231047587,-41956.91987368714,13.35068985070129,0.6356227518109092,18.790943691056246,214,135,7,0.0018923516618087888,True,,2.0
50261,L4:O00767:50261,0,46,2,6.1675,Cn1nc(NC(=O)N2CCC(Cc3cc(F)cc(F)c3)CC2)ccc1=O,-8.17504,8.17504,36.97830190139584,-34503.28793880898,-34503.73003422846,-34503.90258458115,10.194962566599996,3.979105661408309,51.15237012940415,312,161,6,0.0019060586346313357,True,,5.0
77625,L4:O00767:77625,0,47,3,7.699,Cn1nc(NC(=O)N2CCC(Oc3cccc(C(F)(F)F)c3)CC2)ccc1=O,-9.3924,9.3924,48.93368606476077,-39253.81635711738,-39254.59595988396,-39254.66443666076,17.978066887662887,1.5791119865944752,68.49086493901812,405,160,7,0.0018707021372392774,True,,9.0
78807,L4:O00767:78807,0,44,4,6.3768,Cn1nc(NC(=O)N2CCC(Oc3ccccc3Cl)CC2)ccc1=O,-8.60527,8.60527,40.872175168287605,-42584.480682688314,-42585.19805549889,-42585.30617044469,16.543010010701497,2.493189878752861,59.908375057741964,1000,85,6,0.005191617179661989,False,,7.0
95360,L4:O00767:95360,0,49,5,7.301,Cc1cc(NC(=O)N2CCC(Cc3cc(F)cc(F)c3)CC2)nn(C)c1=O,-8.62532,8.62532,28.12727123394132,-35573.74411341525,-35574.42662992429,-35574.66891815642,15.739204601934155,5.587299365909145,49.45377520178462,831,300,7,0.001900190720334649,True,,4.0
96016,L4:O00767:96016,0,49,6,6.5086,Cc1cc(NC(=O)N2CCC(Cc3ccc(F)c(F)c3)CC2)nn(C)c1=O,-8.28593,8.28593,41.02086065691971,-35573.79532346106,-35574.35456981641,-35574.50408060319,12.896527326591945,3.447800649764117,57.36518863327577,479,168,7,0.0018282266100868583,True,,6.0
130232,L4:O00767:130232,0,46,7,6.3565,Cn1nc(NC(=O)N2CCC(Cc3ccccc3Cl)CC2)ccc1=O,-7.19413,7.19413,-2.8100202654269624,-41607.14855257948,-41607.727899908416,-41607.806612280234,13.360066789509856,1.8151504151763511,12.365196939259246,361,68,6,0.001972260419279337,True,,1.0
131697,L4:O00767:131697,0,46,8,6.3565,Cn1nc(NC(=O)N2CCC(Cc3ccc(F)c(Cl)c3)CC2)ccc1=O,-8.81922,8.81922,50.83113358362812,-44309.07755013302,-44309.72945097911,-44309.838013580375,15.033190642059148,2.5035130590779473,68.36783728476522,779,116,6,0.0019938203040510416,True,,8.0
138397,L4:O00767:138397,0,48,9,6.1427,Cn1cc(-c2nc(N3CCC(Cc4cc(F)cc(F)c4)CC3)no2)ccc1=O,-8.9789,8.9789,71.81176005307697,-36578.10805402198,-36578.556582206766,-36578.57552233476,10.343305658691346,0.4367697275033654,82.59183543927168,331,105,5,0.0009948252700269222,True,,10.0
