mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
11758,0,L4,Q70CQ3,8.699,N#Cc1cccc(C2=CNC(C(=O)N[C@@H]3C[C@@H](CN4C=NNC4)N(C#N)C3)O2)c1,0,-6.74343,6.74343,-326002.73105117236,-289939.09851632616,-36063.46955661363,-3.7583673275072416
50763,1,L4,Q70CQ3,6.2798,CC(C)(C)NS(=O)(=O)c1ccc(NC[C@H](O)[C@H](Cc2ccncc2)NC(=O)c2ccc(F)cc2)cc1,0,-6.75766,6.75766,-345136.2356260803,-289939.09851632616,-55198.9882281233,42.68780369212716
56067,2,L4,Q70CQ3,6.2798,CC(C)(C)NS(=O)(=O)c1ccc(NC(=O)[C@H](Cc2ccccc2)NC(=O)c2ccc3nn[nH]c3c2)cc1,0,-7.51336,7.51336,-345349.7383156057,-289939.09851632616,-55412.48241644696,42.49176132352241
83746,3,L4,Q70CQ3,6.2798,COc1cc(NC(=O)[C@@H]2C[C@@H](C3CCCCC3)CN2C(=O)c2ccc(F)cc2)ccc1S(=O)(=O)NC(C)(C)C,0,-7.22481,7.22481,-348921.12283903116,-289939.09851632616,-58984.41479441522,55.12558721142783
83823,4,L4,Q70CQ3,7.4559,N#CN1C[C@H](NC(=O)c2nnc(-c3ccccc3C3CC3)o2)C[C@H]1Cn1ccnn1,0,-6.70781,6.70781,-327036.97348359064,-289939.09851632616,-37099.712588236805,42.37654632692525
84276,5,L4,Q70CQ3,7.301,C[C@H](CO)NS(=O)(=O)c1ccc(NC(=O)[C@H](Cc2ccccc2)NC(=O)c2ccc(F)cc2)cc1,0,-7.3843,7.3843,-344572.4210110228,-289939.09851632616,-54637.27511567817,91.14960520055315
88746,6,L4,Q70CQ3,7.301,COc1cc(NC(=O)[C@H](CC2CCOCC2)NC(=O)c2ccc(F)cc2)cnc1S(=O)(=O)NC1CCCC1,0,-7.41406,7.41406,-349264.45496268355,-289939.09851632616,-59327.55948576361,50.80329559996656
91823,7,L4,Q70CQ3,6.2798,O=C(N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(S(=O)(=O)NCc2cnc[nH]2)cc1)c1ccc(F)cc1,0,-7.63195,7.63195,-346510.82964045665,-289939.09851632616,-56575.26994695968,81.60719311667349
98772,8,L4,Q70CQ3,6.2798,COc1cc(NC(=O)[C@H](CC2CCOCC2)NC(=O)c2ccc(F)cc2)ccc1S(=O)(=O)NC1CCN(C)CC1,0,-7.31158,7.31158,-351403.6749424505,-289939.09851632616,-61467.455340463595,66.38934182119155
122285,9,L4,Q70CQ3,7.301,CC(C)(C)NS(=O)(=O)c1ccc(NC(=O)[C@H](CC2CCOCC2)NC(=O)c2ccc(F)cc2)cc1,0,-7.2953,7.2953,-344671.8621222357,-289939.09851632616,-54734.659279629996,43.71527450184902
