mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
47771,0,L4,Q96PC2,6.2596,FC(F)(F)c1ccc(-c2onc3ccc(-c4nnn[nH]4)cc23)cc1,0,-11.50184,11.50184,-395496.30132013024,-362144.0569887587,-33351.61032168031,-14.620610810229525
56692,1,L4,Q96PC2,6.2596,Fc1ccc(-c2onc3ccc(-c4nnn[nH]4)cc23)cc1,0,-10.53873,10.53873,-389019.71762313024,-362144.0569887587,-26876.481704444795,18.934325695941535
78778,2,L4,Q96PC2,6.2596,Cc1cc(C)cc(-c2onc3ccc(-c4nnn[nH]4)cc23)c1,0,-10.8368,10.8368,-388458.7753455012,-362144.0569887587,-26315.432855111678,16.476723816779035
90170,3,L4,Q96PC2,6.2596,OC(=O)c1ccc2noc(-c3cccc(c3)-c3ccccc3)c2c1,0,-11.16611,11.16611,-390743.6420787486,-362144.0569887587,-28600.805584109054,28.14526301085809
90556,4,L4,Q96PC2,6.2596,OC(=O)\C=C\c1ccc2noc(-c3ccc(Oc4ccccc4)cc3)c2c1,0,-6.69364,6.69364,-394898.39277179656,-362144.0569887587,-32756.047466696647,39.47236288387519
92446,5,L4,Q96PC2,6.2596,c1cncc(-c2ccc(-c3onc4ccc(-c5nnn[nH]5)cc34)cc2)c1,0,-6.46511,6.46511,-393045.57962506585,-362144.0569887587,-30902.359454106318,19.297476882741716
100001,6,L4,Q96PC2,6.2596,Clc1ccc(-c2onc3ccc(-c4nnn[nH]4)cc23)cc1Cl,0,-11.02103,11.02103,-411334.1873248435,-362144.0569887587,-49190.42547304133,6.80601990240943
120558,7,L4,Q96PC2,6.2596,O=C(O)c1ccc2noc(-c3ccc(C(=O)NCCC4CC4)cc3)c2c1,0,-5.65099,5.65099,-394362.2263541101,-362144.0569887587,-32219.31683934034,26.461378805460342
126242,8,L4,Q96PC2,7.2596,CC(C)(C)OC(=O)N1CCC(Oc2cccc(-c3onc4ccc(-c5nnn[nH]5)cc34)c2)CC1,0,-6.13791,6.13791,-404608.21813894046,-362144.0569887587,-42465.384792141165,28.217853931899484
128854,9,L4,Q96PC2,8.0,O=C(Nc1ccc(-c2onc3ccc(-c4nnn[nH]4)cc23)cc1)C1CCCC1,0,-6.25088,6.25088,-396229.37480387365,-362144.0569887587,-34087.039450782395,39.70186165539276
