mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
19156,0,L4,Q9GZQ6,6.3809,O=C(CN1CCCC1)NCC1(Cc2cccc3ccccc23)CCN(Cc2ccccc2)CC1,0,-10.70077,10.70077,-626598.8877609136,-588343.9273015258,-38255.39720463811,10.071584735832346
23598,1,L4,Q9GZQ6,8.5686,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H](CCCNC(N)=N)C(=O)N[C@H]1Cc2ccccc2CN(CCC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc2ccccc2)C(N)=O)C1=O |r|,0,-6.33569,6.33569,-669792.0820299858,-588343.9273015258,-81448.86828140683,16.45492185985489
28767,2,L4,Q9GZQ6,6.2832,O=C(CN1CCC(Cc2ccccc2)CC1)NCC1(Cc2ccc(Cl)c(Cl)c2)CCN(Cc2ccccc2)CC1,0,-9.31527,9.31527,-655861.1087144655,-588343.9273015258,-67520.8866477891,85.44474546868128
33055,3,L4,Q9GZQ6,6.0182,O=C(CN1CCC(Cc2ccccc2)CC1)NCC1(Cc2cccc3ccccc23)CCN(Cc2ccccc2)CC1,0,-11.4054,11.4054,-635026.687056651,-588343.9273015258,-46687.26383267454,103.86649576037564
39435,4,L4,Q9GZQ6,6.2976,CN1CCN(CC(=O)NCC2(Cc3cccc4ccccc34)CCN(Cc3ccccc3)CC2)CC1,0,-10.48039,10.48039,-629175.5314869727,-588343.9273015258,-40832.97698909934,31.657604289998005
40290,5,L4,Q9GZQ6,6.6904,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H](CCCNC(N)=N)C(=O)N[C@H]1Cc2ccccc2CN(CCC(=O)N[C@@H](CCCN2CCC(Cc3ccccc3)CC2)C(=O)N[C@@H](Cc2ccccc2)C(N)=O)C1=O |r|,0,-6.90712,6.90712,-678421.2137140206,-588343.9273015258,-90076.72807399687,-12.875591635407547
51831,6,L4,Q9GZQ6,6.6757,O=C(CN1CCC(Cc2ccccc2)CC1)NCC1(Nc2cccc3ccccc23)CCN(Cc2ccccc2)CC1,0,-11.1446,11.1446,-635468.8072642802,-588343.9273015258,-47125.12220490587,5.586236722438077
120906,7,L4,Q9GZQ6,6.3188,CC(=O)N1CCN(CC(=O)NCC2(Cc3ccc(Cl)c(Cl)c3)CCN(Cc3ccccc3)CC2)CC1,0,-9.83007,9.83007,-653097.7490215269,-588343.9273015258,-64752.51473744921,-30.139733650649593
134132,8,L4,Q9GZQ6,6.2111,CC(=O)N1CCN(CC(=O)NCC2(Cc3cccc4ccccc34)CCN(Cc3ccccc3)CC2)CC1,0,-10.74081,10.74081,-632265.6698006694,-588343.9273015258,-43919.84551242979,-43.74555284747252
142060,9,L4,Q9GZQ6,6.1079,CN1CCN(CC(=O)NCC2(Nc3cccc4ccccc34)CCN(Cc3ccccc3)CC2)CC1,0,-9.6313,9.6313,-629614.9183684918,-588343.9273015258,-41270.1640859532,-19.07063520010984
