mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
19275,0,L4,Q9HB14,7.3372,Nc1nonc1-c1nc2cccc(F)c2n1Cc1ccncn1,0,-5.76021,5.76021,-217596.67373723065,-187704.47025478267,-29891.7879256897,-9.582966500615994
25543,1,L4,Q9HB14,7.301,Nc1nonc1-c1nc2cccc(F)c2n1Cc1ccnnc1,0,-5.68005,5.68005,-217595.4860951481,-187704.47025478267,-29890.617588996167,-9.18389474961675
37384,2,L4,Q9HB14,7.4318,Nc1nonc1-c1nc2c(F)ccc(F)c2n1Cc1cccnn1,0,-5.79432,5.79432,-220297.22373605758,-187704.47025478267,-32592.389164334963,-8.401348219079194
39465,3,L4,Q9HB14,7.4685,Nc1nonc1-c1nc2ccc(F)cc2n1Cc1ccncc1,0,-5.80703,5.80703,-217158.9209803322,-187704.47025478267,-29454.515255490314,1.4880957863821056
45253,4,L4,Q9HB14,7.3872,Nc1nonc1-c1nc2cccc(F)c2n1Cc1cccnn1,0,-5.81235,5.81235,-217595.46571703532,-187704.47025478267,-29890.620813935282,-8.639595442140514
46211,5,L4,Q9HB14,7.3372,Nc1nonc1-c1nc2cccc(F)c2n1Cc1ccncc1,0,-5.71552,5.71552,-217159.4126363227,-187704.47025478267,-29454.588886359703,-8.151792513649774
59899,6,L4,Q9HB14,7.3098,Nc1nonc1-c1nc2cccc(F)c2n1Cc1cncnc1,0,-5.56116,5.56116,-217596.4286404578,-187704.47025478267,-29891.61196184087,-7.988723399543323
66226,7,L4,Q9HB14,7.3372,Nc1nonc1-c1nc2ccccc2n1Cc1ccncc1,0,-5.67689,5.67689,-214457.9104593155,-187704.47025478267,-26752.855372609913,-13.486544531010114
71681,8,L4,Q9HB14,7.3768,Nc1nonc1-c1nc2cc(F)ccc2n1Cc1ccncc1,0,-5.81676,5.81676,-217159.95882262077,-187704.47025478267,-29454.981859425083,-11.684973594469263
74053,9,L4,Q9HB14,7.0506,Cc1nonc1-c1nc2ccccc2n1Cc1ccncc1,0,-5.76733,5.76733,-214021.023878456,-187704.47025478267,-26315.67873196037,-20.175482193318246
