mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
17646,L4:Q9Y239:17646,0,44,0,7.2924,Cc1nc2cnccc2c(=O)n1-c1ccc(Cl)c(NS(=O)(=O)c2ccccc2F)c1,-9.43363,9.43363,124.1804096165729,-59171.92155333824,-59172.38226693158,-59172.42893320259,10.624307855437753,1.0761497746934834,135.88086724670413,422,169,5,0.0017637747805565596,True,,9.0
21844,L4:Q9Y239:21844,0,57,1,7.3768,CCN(CC)CCOc1cc2c(cc1OC)c(ncn2)Nc3cc(c(cc3Cl)Cl)OC,-7.31339,7.31339,16.61022398095077,-60410.71934588533,-60411.28153220172,-60411.56492961597,12.964324438844477,6.535299626353848,36.1098480461491,275,161,14,0.0018423449946567416,True,,2.0
49132,L4:Q9Y239:49132,0,45,2,7.1675,O=c1c2cc(Cl)ccc2nc(C(F)(F)F)n1-c1ccc(Cl)c(NS(=O)(=O)c2ccccc2F)c1,-11.04702,11.04702,116.96609422380187,-79349.70332385873,-79350.16792624739,-79350.17420908021,10.71398560591011,0.144885566821096,127.82496539653309,95,169,5,0.0018919347785413265,True,,8.0
77159,L4:Q9Y239:77159,0,42,3,8.9208,N#Cc1ccccc1S(=O)(=O)Nc1cc(-n2c(Cl)nc3cnc(Cl)cc3c2=O)ccc1Cl,-7.31127,7.31127,34.06984378815321,-82927.1364864714,-82927.7573504552,-82927.7693571706,14.317463594740513,0.2768814349025219,48.664188817796244,272,98,4,0.0014511420158669353,True,,4.0
87531,L4:Q9Y239:87531,0,50,4,9.0458,CS(=O)(=O)c1ccc2nc(Cl)n(-c3ccc(Cl)c(NS(=O)(=O)c4ccc5ncsc5c4)c3)c(=O)c2c1,-11.42857,11.42857,148.69095198996774,-96823.83025565339,-96824.52749842916,-96824.71723407616,16.078800380241073,4.375407962814792,169.1451603330236,1000,101,6,0.005163067486137152,False,,10.0
100708,L4:Q9Y239:100708,0,37,5,6.8041,COc1cc2c(cc1OC)ncnc2Nc3cccc(c3)O,-8.52005,8.52005,63.0237241714341,-27465.465106780914,-27466.026219180138,-27466.492375548518,12.939559320656821,10.749821229582139,86.71310472167306,597,165,7,0.0019367651548236609,True,,6.0
132103,L4:Q9Y239:132103,0,54,6,6.9957,COCCOc1cc2ncnc(Nc3cc(OC)c(Cl)cc3Cl)c2cc1OCCOC,-5.82981,5.82981,36.20352317470228,-61929.12273598416,-61929.48307729764,-61929.94831603722,8.309668094951421,10.728660206656327,55.24185147631003,407,179,14,0.00165660516358912,True,,5.0
136815,L4:Q9Y239:136815,0,41,7,8.5086,Cn1cc(S(=O)(=O)Nc2cc(-n3c(Cl)nc4cnc(Cl)cc4c3=O)ccc2Cl)cn1,-8.30962,8.30962,21.17328059562617,-81320.98705203153,-81321.74045454148,-81321.76267085977,17.373874616291914,0.5123204705839737,39.059475682502054,223,77,5,0.0018537878058850765,True,,3.0
144318,L4:Q9Y239:144318,0,48,8,6.2218,Cn1c(=O)[nH]c(=O)c2c1nc(CCSc1ccccc1)n2Cc1ccccc1,-8.79268,8.79268,2.1719853525496937,-43018.09613196393,-43018.60111270442,-43018.64100705585,11.645132519533659,0.919985599325826,14.73710347140918,418,184,7,0.00199287966825068,True,,1.0
145351,L4:Q9Y239:145351,0,46,9,7.0915,CSc1nc2ccc(Cl)cc2c(=O)n1-c1ccc(Cl)c(NS(=O)(=O)c2ccccc2F)c1,-8.16998,8.16998,98.84514987459666,-82079.82102373618,-82080.39525120202,-82080.40701319052,13.241999941670501,0.27123789835561146,112.35838771462276,164,45,6,0.0018193034920841455,True,,7.0
