molecule_id,PLA15_reference_interaction,MACE_OMol_interaction,MACE_Polar_L_interaction,UMA_S_interaction,esen_sm_conserving_interaction,gxtb_interaction,pm6_ml_interaction,AIMNet2_2025_interaction,int_b973c,int_wb97m,int_wb97m_dzvpd
10GS,-242.583,-273.6620037,-245.8654764,-271.2153688,-267.2127102,-236.5897765,-244.129576,-224.9158716,-228.0165065,-256.2258763,-249.4658511
2CET,-247.699,-253.9899251,-247.7567785,-254.8504731,-255.6147022,-248.4514443,-254.547495,-237.9628307,-241.307001,-253.5746701,-258.3729196
2FVD,-88.726,-102.9575318,-95.71514757,-103.9152158,-103.0728415,-82.95194312,-90.638946,-76.39211518,-79.80028187,-98.32657276,-102.8897474
2OBF,-199.162,-218.3524812,-199.6381841,-212.9634347,-207.7213833,-196.1791413,-202.0104,-189.5346032,-194.7656056,-207.1011927,-212.2433014
2P4Y,-157.143,-104.3103291,-160.1576803,-173.3630689,-175.2131853,-149.6292296,-159.682027,-147.2878475,-150.3800099,-165.3774761,-171.6830816
2VOT,-238.717,-249.0486667,-246.2565121,-252.564834,-252.8743524,-245.076699,-248.616228,-235.6612117,-238.5501717,-249.8040233,-255.0932749
2VW5,-94.099,-105.2772599,-97.92099291,-108.1893847,-106.921358,-83.85227302,-98.099397,-89.74146202,-92.00075657,-102.6228216,-96.13616579
2XB8,-178.476,-98.95814862,-190.7221876,-189.9416245,-196.3425991,-165.3889091,-176.3275,-173.7608966,-176.5771164,-188.3039382,-192.7192042
2YKI,-92.145,-101.3905336,-90.62949262,-106.3267987,-101.7026954,-77.68579414,-87.577862,-84.62463587,-85.27475015,-94.59697766,-102.3302885
2ZX6,-231.047,-243.062089,-236.2914083,-244.5282605,-244.8788932,-236.5797113,-239.097502,-223.5339702,-231.4273351,-241.2516699,-247.2161843
3G0W,-66.594,-8.360734563,-68.08752668,-71.62691103,-76.34689353,-55.74171412,-61.853938,-54.02943477,-56.9068236,-68.14434638,-79.30001454
3GNW,-77.382,-35.83385442,-79.64666975,-120.2685601,-103.7442319,-72.61340713,-76.267277,-72.46570089,-73.89344536,-85.10215954,-87.82012439
3NOX,-244.475,-255.5370036,-247.6187454,-255.8054187,-257.8328142,-257.4870035,-252.694406,-225.394214,-235.4954359,-258.0889067,-260.296133
3PE2,-127.532,-128.7198869,-130.33097,-150.943184,-150.1647823,-121.0912812,-126.627339,-124.4942314,-127.3568488,-131.1621223,-129.1898234
4GID,-190.367,-89.79110964,-189.1116207,-203.7364614,-194.991167,-182.6547651,-198.377015,-176.345105,-168.1630125,-200.9001306,-206.9686045
