molecule_id,MACE_OFF23_interaction,MACE_OFF24_interaction,MACE_OMol_interaction,MACE_Polar_L_interaction,UMA_S_interaction,esen_sm_conserving_interaction,gxtb_interaction,pm6_ml_interaction,AIMNet2_2025_interaction,int_b973c,int_wb97m,int_wb97m_dzvpd
17,-59.55135001,-63.60452527,-68.79153410717845,-68.52791057806462,-77.63079027,-76.17816103,-53.69900559,-66.09306800000013,-56.90591651,-63.2047952,-72.14389032,-75.32406268
1h1q,-60.73169794,-64.34280999,-67.93731442466378,-68.64646231406368,-76.85772574,-76.2336804,-53.57920173,-65.57737899999938,-55.79191301,-62.31973856,-71.73572738,-74.63044261
1h1r,-59.56649019,-63.5236074,-67.95811541902367,-68.06479310663417,-77.17374825,-75.63010978,-53.22095104,-65.37487099999998,-56.31532628,-62.50734782,-71.55547364,-74.59341842
1h1s,-90.07613142,-94.70815826,-102.16964778932744,-100.7335071892012,-110.63298,-107.7879692,-84.70384554,-95.67609100000028,-91.03509451,-93.38363196,-104.8153704,-104.3325307
1oi9,-67.19378393,-70.23848194,-74.75387269223575,-76.2542686285451,-84.32975387,-84.72280408,-61.39816063,-74.24740900000052,-63.21006465,-68.94119934,-79.47333796,-82.25136329
1oiu,-67.69411323,-73.18740062,-80.87670476548374,-80.62198047037236,-90.31726405,-88.61536966,-67.14127858,-76.76904000000013,-72.05272225,-75.07393012,-84.66710365,-87.22881753
1oiy,-76.67519216,-78.62755805,-88.53047578898259,-84.56854871660471,-96.7380922,-93.37954137,-67.31791586,-80.92720999999983,-73.56317286,-76.33079689,-88.18369951,-90.6826906
20,-77.06766167,-79.38726044,-86.42460842069704,-86.60037700098474,-94.95618466,-94.50406887,-69.47309268,-83.9911320000001,-73.95002299,-78.92129957,-90.35187521,-93.08295928
21,-72.08553708,-76.35347578,-81.36887177510653,-81.74878493859433,-90.12082417,-90.74319812,-65.74253149,-80.10408899999948,-68.59697069,-73.31821242,-85.28618888,-88.21551018
22,-72.50991994,-75.96114996,-86.44237847824115,-83.95254314143676,-92.70480398,-91.59136605,-62.77700317,-79.41571500000009,-67.51919304,-75.00522158,-87.0776525,-90.46206666
26,-67.51718526,-70.57970185,-75.59517867199611,-77.25428866990842,-85.39790984,-86.06521387,-63.28095498,-74.56490900000063,-63.78488891,-69.43546049,-80.51593964,-83.34278639
28,-92.08184904,-95.77386148,-104.21788154589012,-101.34866998554207,-111.2129832,-108.9153639,-84.63832741,-96.76891499999964,-91.18763537,-91.92388717,-105.7028883,-107.4451008
29,-88.10515787,-92.35365255,-98.12721739057451,-97.45788581529632,-106.104606,-101.8567508,-79.50803394,-90.72063100000014,-84.24490142,-87.79707548,-101.0412085,-103.1428348
30,-74.58604835,-78.43672793,-88.02801365812775,-82.28111200768035,-105.0625932,-100.5244024,-66.16652621,-74.6800349999994,-70.68155268,-74.6620405,-85.83191633,-88.20642829
31,-70.76227277,-72.44443175,-77.41710042860359,-76.8761125568999,-84.83119267,-84.26638882,-59.30943066,-69.32591299999967,-65.03770584,-71.06837536,-80.14957245,-82.87156634
32,-93.70527002,-98.46325457,-108.46339095127767,-104.51637273444794,-115.5081299,-113.2695981,-86.52087703,-98.90880900000047,-90.07665851,-94.50817934,-108.740302,-111.3495006
