molecule_id,MACE_OFF23_interaction,MACE_OFF24_interaction,MACE_OMol_interaction,MACE_Polar_L_interaction,UMA_S_interaction,esen_sm_conserving_interaction,gxtb_interaction,pm6_ml_interaction,AIMNet2_2025_interaction,int_b973c,int_wb97m,int_wb97m_dzvpd,int_wb97m_dzvpd_estimated
2aa,-56.02440673,-60.31327312,-72.65733007,-69.05382492,-76.85147166,-70.19648391,-60.11619909,-71.49611300000015,-61.35593032,-62.89347207,-72.880499,,-75.76620097861358
2bb,-48.70809342,-52.51539678,-62.60737105,-58.36248461,-65.20016014,-59.42764645,-49.54994038,-58.297991000000366,-53.28391889,-55.71069298,-62.439557,,-65.65200192696805
2c,-51.53679953,-53.85270357,-65.22614541,-61.07269949,-68.65123492,-62.21473735,-51.73824963,-64.38458100000116,-58.81539955,-58.96640816,-65.398963,-68.1629814,-68.51879511082389
2e,-50.86775987,-53.41047525,-62.71748768,-59.45432431,-66.76613172,-60.45489624,-48.65240916,-61.769632999999885,-53.65079357,-55.77514246,-62.777125,,-65.9790059411141
2ee,-55.71612371,-59.07355411,-66.2571058,-61.46138955,-69.10162707,-63.17271512,-50.35929414,-62.19705200000044,-56.77487827,-57.81857667,-64.654406,,-67.79753857062896
2f,-51.79658481,-52.80793122,-60.09808655,-57.49805087,-63.86600844,-58.13276938,-45.7067352,-59.91717400000016,-51.01451973,-54.04797811,-60.434844,,-63.71002520461663
2ff,-61.33570536,-62.99708332,-75.42837368,-71.78686421,-80.74344079,-73.95737159,-60.89966814,-73.32074399999965,-62.3948907,-65.73680647,-75.77131,,-78.56654580139744
2g,-52.31294505,-54.43559141,-64.66592283,-61.51816067,-68.94110596,-62.86889003,-51.75844911,-64.26819299999988,-54.07548465,-57.16718935,-64.893347,,-68.02900205693118
2gg,-52.56473856,-55.58874228,-65.83206268,-61.54409643,-68.72437277,-62.58396725,-51.4042333,-59.35167799999999,-58.24896536,-58.56368826,-65.291426,,-68.41462341602693
2h,-52.63669342,-54.18409425,-64.88923739,-61.36944609,-68.97072122,-62.88589001,-49.41542145,-63.02272499999981,-54.55766773,-56.9077903,-64.946296,,-68.0802940500852
