molecule_id,MACE_OFF23_interaction,MACE_OFF24_interaction,MACE_OMol_interaction,MACE_Polar_L_interaction,UMA_S_interaction,esen_sm_conserving_interaction,gxtb_interaction,pm6_ml_interaction,AIMNet2_2025_interaction,int_b973c,int_wb97m,int_wb97m_dzvpd,int_wb97m_dzvpd_estimated
ejm_31,-48.95121341,-51.38035358,-69.54245998,-58.34858125,-70.67584847,-67.14664636,-53.52042931,-61.04605199999969,-56.46019522,-58.22563272,-62.852039,-65.42504098359495,-66.05157555291301
ejm_42,-52.10210539,-54.08208589,-74.48023745,-62.33362533,-74.57359323,-71.67514959,-57.5623224,-64.3214309999994,-59.81336276,-61.76811637,-67.00007,,-70.06979643819291
ejm_43,-48.6773299,-51.50196952,-69.43670202,-58.34431052,-70.07724808,-67.40991232,-51.73304131,-59.879995999999664,-54.6736517,-57.09149309,-62.930666,,-66.12774196862854
ejm_44,-47.29619686,-49.36904805,-68.60699562,-57.1332546,-69.28938278,-66.571344,-48.90617347,-58.70103700000072,-53.61185517,-55.02563808,-61.718318,,-64.9533336641035
ejm_45,-50.7249086,-52.5364517,-75.65142023,-62.14348718,-75.52980337,-72.8452312,-56.26799895,-63.517203000001246,-59.61315293,-61.92391902,-67.209609,,-70.27277804225535
ejm_46,-53.10816199,-56.08742138,-76.28788977,-64.14308845,-76.35186516,-73.52212932,-58.19188253,-65.00277499999993,-60.08373039,-63.43726044,-68.87787,,-71.88883182591752
ejm_47,-52.2448089,-55.73747913,-75.98977272,-63.66544757,-76.26488909,-73.78481523,-57.16743778,-63.26821600000039,-62.78591453,-62.45656979,-68.348254,,-71.37578983747085
ejm_48,-50.33773641,-53.8985675,-73.29311415,-61.91401653,-74.31743899,-71.63410938,-55.74210317,-63.84913999999935,-57.8442804,-61.29443943,-66.878818,,-69.95233894600398
ejm_49,-57.39837613,-60.05956733,-83.60279913,-70.23288903,-84.29086068,-80.3012655,-61.18178954,-70.57346599999983,-67.51933487,-69.9709967,-76.019032,,-78.80651549162957
ejm_50,-60.40464093,-61.26672799,-83.92361184,-72.63941576,-84.8450478,-81.58709758,-66.90408049,-75.34724499999993,-70.60206871,-71.66778977,-77.289346,-80.16995338792913,-80.03707578533603
ejm_54,-56.8846767,-59.06433751,-80.00875795,-67.87044512,-80.64541601,-77.52429308,-60.96045486,-69.42594099999951,-65.52739565,-67.55208142,-72.940572,-75.72039568889886,-75.8243940305077
ejm_55,-49.00664327,-51.46678988,-68.61068385,-58.23388282,-69.12285231,-66.23087439,-52.67648102,-58.82033000000047,-55.64388626,-57.46245381,-62.278423,,-65.49591051778411
jmc_23,-59.91610927,-63.49822562,-87.67980704,-74.35160064,-88.09266305,-85.17217157,-71.02417365,-75.50000000000091,-71.2092177,-72.87843969,-79.213143,,-81.90066872483885
jmc_27,-61.71214508,-65.24459921,-89.62260659,-76.90821873,-90.45383982,-87.64143246,-70.76761694,-78.58732899999995,-73.88884659,-76.19700006,-82.047408,,-84.6462371204024
jmc_28,-53.83155972,-56.6434193,-77.49294676,-65.83194531,-78.03436655,-75.34916489,-59.35963759,-74.87841800000024,-60.98790964,-64.69009324,-70.720676,,-73.67396832965125
jmc_30,-66.08402833,-72.69829644,-99.12605522,-86.61825398,-99.8893378,-97.22911928,-80.54793422,-88.37307400000009,-81.36123965,-86.07437849,-92.042657,,-94.32869086420835
