Validated 81 systems and matched fragment atoms; testing both geometry conventions
Downloading https://storage.googleapis.com/aimnetcentral/aimnet2v2/AIMNet2/aimnet2_2025_b973c_d3_1.pt -> /home/xianyang/.cache/aimnet/aimnet2_2025_b973c_d3_1.pt
aimnet2_2025_member1 {'model': 'aimnet2-b973c-2025-d3_1', 'metadata': mappingproxy({'format_version': 2, 'cutoff': 5.0, 'needs_coulomb': True, 'needs_dispersion': True, 'coulomb_mode': 'sr_embedded', 'coulomb_sr_rc': 4.599999904632568, 'coulomb_sr_envelope': 'exp', 'd3_params': {'s8': 1.5, 'a1': 0.37, 'a2': 4.1, 's6': 1.0}, 'has_embedded_lr': True, 'implemented_species': [1, 5, 6, 7, 8, 9, 14, 15, 16, 17, 33, 34, 35, 53], 'family': 'b973c-2025-d3', 'supports_charged_systems': None, 'has_embedded_d3ts': False}), 'coulomb_method': 'simple', 'coulomb_cutoff': inf}
aimnet2_2025_member1 cdk2 17 -53.6698
aimnet2_2025_member1 cdk2 17 -53.6975
aimnet2_2025_member1 cdk2 1h1q -52.9761
aimnet2_2025_member1 cdk2 1h1q -53.0287
aimnet2_2025_member1 cdk2 1h1r -52.9037
aimnet2_2025_member1 cdk2 1h1r -52.942
aimnet2_2025_member1 cdk2 1h1s -85.2658
aimnet2_2025_member1 cdk2 1h1s -85.2303
aimnet2_2025_member1 cdk2 1oi9 -60.4702
aimnet2_2025_member1 cdk2 1oi9 -60.5141
aimnet2_2025_member1 cdk2 1oiu -68.4624
aimnet2_2025_member1 cdk2 1oiu -68.5137
aimnet2_2025_member1 cdk2 1oiy -72.8824
aimnet2_2025_member1 cdk2 1oiy -72.8703
aimnet2_2025_member1 cdk2 20 -69.1695
aimnet2_2025_member1 cdk2 20 -69.1723
aimnet2_2025_member1 cdk2 21 -64.8748
aimnet2_2025_member1 cdk2 21 -64.9809
aimnet2_2025_member1 cdk2 22 -62.8913
aimnet2_2025_member1 cdk2 22 -62.9001
aimnet2_2025_member1 cdk2 26 -61.3352
aimnet2_2025_member1 cdk2 26 -61.2392
aimnet2_2025_member1 cdk2 28 -86.18
aimnet2_2025_member1 cdk2 28 -86.1948
aimnet2_2025_member1 cdk2 29 -80.4298
aimnet2_2025_member1 cdk2 29 -80.3893
