task_id	layer	uniprot	target_dir	n_ligands
0	L1	O95271	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L1/O95271	10
1	L1	P00338	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L1/P00338	10
2	L1	P06239	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L1/P06239	10
3	L1	P08922	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L1/P08922	10
4	L1	P0C6U8	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L1/P0C6U8	10
5	L1	P33981	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L1/P33981	10
6	L1	P35354	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L1/P35354	10
7	L1	P49327	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L1/P49327	10
8	L1	P49759	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L1/P49759	10
9	L1	P50053	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L1/P50053	10
10	L1	P51532	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L1/P51532	10
11	L1	P56524	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L1/P56524	10
12	L1	P62937	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L1/P62937	10
13	L1	Q06124	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L1/Q06124	10
14	L1	Q07343	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L1/Q07343	10
15	L1	Q08499	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L1/Q08499	10
16	L1	Q15059	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L1/Q15059	10
17	L1	Q6GI75	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L1/Q6GI75	10
18	L1	Q86WV6	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L1/Q86WV6	10
