layer,uniprot,n,n_actives,n_decoys,source_n,source_n_actives,source_n_decoys,sampling_seed,status,reason,smina_n_scored,smina_coverage,smina_sample_failure_last_auroc,smina_sample_failure_last_ef1,smina_sample_failure_last_top_n,smina_sample_failure_last_top_active_expected,smina_scored_only_auroc,smina_scored_only_ef1,smina_scored_only_top_n,smina_scored_only_top_active_expected,pre_min_interaction_n_scored,pre_min_interaction_coverage,pre_min_interaction_sample_failure_last_auroc,pre_min_interaction_sample_failure_last_ef1,pre_min_interaction_sample_failure_last_top_n,pre_min_interaction_sample_failure_last_top_active_expected,pre_min_interaction_scored_only_auroc,pre_min_interaction_scored_only_ef1,pre_min_interaction_scored_only_top_n,pre_min_interaction_scored_only_top_active_expected,interaction_n_scored,interaction_coverage,interaction_sample_failure_last_auroc,interaction_sample_failure_last_ef1,interaction_sample_failure_last_top_n,interaction_sample_failure_last_top_active_expected,interaction_scored_only_auroc,interaction_scored_only_ef1,interaction_scored_only_top_n,interaction_scored_only_top_active_expected,composite_n_scored,composite_coverage,composite_sample_failure_last_auroc,composite_sample_failure_last_ef1,composite_sample_failure_last_top_n,composite_sample_failure_last_top_active_expected,composite_scored_only_auroc,composite_scored_only_ef1,composite_scored_only_top_n,composite_scored_only_top_active_expected
L1,C7C422,30,5,25,1785,35,1750,17295917048563865412,complete,,30.0,1.0,0.176,0.0,1.0,0.0,0.176,0.0,1.0,0.0,30.0,1.0,0.472,0.0,1.0,0.0,0.472,0.0,1.0,0.0,30.0,1.0,0.36,0.0,1.0,0.0,0.36,0.0,1.0,0.0,30.0,1.0,0.352,0.0,1.0,0.0,0.352,0.0,1.0,0.0
L1,O00141,30,5,25,1581,31,1550,706886991949389631,complete,,30.0,1.0,0.864,6.0,1.0,1.0,0.864,6.0,1.0,1.0,30.0,1.0,0.448,0.0,1.0,0.0,0.448,0.0,1.0,0.0,30.0,1.0,0.6,6.0,1.0,1.0,0.6,6.0,1.0,1.0,30.0,1.0,0.56,0.0,1.0,0.0,0.56,0.0,1.0,0.0
L1,O00329,30,5,25,9282,182,9100,754725121933109599,complete,,30.0,1.0,0.496,0.0,1.0,0.0,0.496,0.0,1.0,0.0,30.0,1.0,0.712,0.0,1.0,0.0,0.712,0.0,1.0,0.0,30.0,1.0,0.32,0.0,1.0,0.0,0.32,0.0,1.0,0.0,30.0,1.0,0.392,0.0,1.0,0.0,0.392,0.0,1.0,0.0
L1,O00444,30,5,25,663,13,650,862041996201445999,complete,,30.0,1.0,0.512,6.0,1.0,1.0,0.512,6.0,1.0,1.0,30.0,1.0,0.832,0.0,1.0,0.0,0.832,0.0,1.0,0.0,30.0,1.0,0.336,0.0,1.0,0.0,0.336,0.0,1.0,0.0,30.0,1.0,0.384,0.0,1.0,0.0,0.384,0.0,1.0,0.0
L1,O00519,30,5,25,2397,47,2350,289707669404014211,unavailable,FileNotFoundError: Pocket absent from dataset and source archive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,O00763,30,5,25,663,13,650,7021527865613998483,complete,,30.0,1.0,0.816,0.0,1.0,0.0,0.816,0.0,1.0,0.0,30.0,1.0,0.88,6.0,1.0,1.0,0.88,6.0,1.0,1.0,30.0,1.0,0.648,6.0,1.0,1.0,0.648,6.0,1.0,1.0,30.0,1.0,0.688,6.0,1.0,1.0,0.688,6.0,1.0,1.0
L1,O14744,30,5,25,1224,24,1200,6328227655645945737,complete,,30.0,1.0,0.296,0.0,1.0,0.0,0.296,0.0,1.0,0.0,30.0,1.0,0.784,0.0,1.0,0.0,0.784,0.0,1.0,0.0,30.0,1.0,0.696,0.0,1.0,0.0,0.696,0.0,1.0,0.0,30.0,1.0,0.704,0.0,1.0,0.0,0.704,0.0,1.0,0.0
L1,O14757,30,5,25,663,13,650,3410740271830425657,complete,,30.0,1.0,0.456,0.0,1.0,0.0,0.456,0.0,1.0,0.0,30.0,1.0,0.472,0.0,1.0,0.0,0.472,0.0,1.0,0.0,30.0,1.0,0.48,0.0,1.0,0.0,0.48,0.0,1.0,0.0,30.0,1.0,0.48,0.0,1.0,0.0,0.48,0.0,1.0,0.0
L1,O14965,30,5,25,1173,23,1150,15561843696946816501,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,O15379,30,5,25,7191,141,7050,13160037774828489773,complete,,30.0,1.0,0.248,0.0,1.0,0.0,0.248,0.0,1.0,0.0,30.0,1.0,0.368,0.0,1.0,0.0,0.368,0.0,1.0,0.0,30.0,1.0,0.24,0.0,1.0,0.0,0.24,0.0,1.0,0.0,30.0,1.0,0.232,0.0,1.0,0.0,0.232,0.0,1.0,0.0
