layer,uniprot,n,n_actives,n_decoys,source_n,source_n_actives,source_n_decoys,target_dir,status,reason,pocket_source,n_chunks,sampling_seed,seed_base,lane,sampled_from_n,previous_target_dir,n_cached_scores,n_cached_poses
L1,C7C422,30,5,25,1785,35,1750,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/C7C422,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/C7C422/C7C422_pocket.lmdb,3,17295917048563865412,20260908,0.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/C7C422,26,26
L1,O00141,30,5,25,1581,31,1550,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/O00141,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O00141/O00141_pocket.lmdb,3,706886991949389631,20260908,1.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O00141,30,30
L1,O00329,30,5,25,9282,182,9100,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/O00329,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O00329/O00329_pocket.lmdb,3,754725121933109599,20260908,2.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O00329,27,27
L1,O00444,30,5,25,663,13,650,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/O00444,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O00444/O00444_pocket.lmdb,3,862041996201445999,20260908,3.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O00444,23,23
L1,O00519,30,5,25,2397,47,2350,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/O00519,unavailable,FileNotFoundError: Pocket absent from dataset and source archive,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O00519/O00519_pocket.lmdb,3,289707669404014211,20260908,,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O00519,0,0
L1,O00763,30,5,25,663,13,650,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/O00763,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O00763/O00763_pocket.lmdb,3,7021527865613998483,20260908,4.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O00763,23,23
L1,O14744,30,5,25,1224,24,1200,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/O14744,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O14744/O14744_pocket.lmdb,3,6328227655645945737,20260908,5.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O14744,26,26
L1,O14757,30,5,25,663,13,650,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/O14757,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O14757/O14757_pocket.lmdb,3,3410740271830425657,20260908,6.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O14757,22,22
L1,O14965,30,5,25,1173,23,1150,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/O14965,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O14965/O14965_pocket.lmdb,3,15561843696946816501,20260908,7.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O14965,16,16
L1,O15379,30,5,25,7191,141,7050,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/O15379,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O15379/O15379_pocket.lmdb,3,13160037774828489773,20260908,0.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O15379,3,3
