layer,uniprot,n,n_actives,n_decoys,source_n,source_n_actives,source_n_decoys,sampling_seed,status,reason,smina_n_scored,smina_coverage,smina_sample_failure_last_auroc,smina_sample_failure_last_ef1,smina_sample_failure_last_top_n,smina_sample_failure_last_top_active_expected,smina_scored_only_auroc,smina_scored_only_ef1,smina_scored_only_top_n,smina_scored_only_top_active_expected,pre_min_interaction_n_scored,pre_min_interaction_coverage,pre_min_interaction_sample_failure_last_auroc,pre_min_interaction_sample_failure_last_ef1,pre_min_interaction_sample_failure_last_top_n,pre_min_interaction_sample_failure_last_top_active_expected,pre_min_interaction_scored_only_auroc,pre_min_interaction_scored_only_ef1,pre_min_interaction_scored_only_top_n,pre_min_interaction_scored_only_top_active_expected,interaction_n_scored,interaction_coverage,interaction_sample_failure_last_auroc,interaction_sample_failure_last_ef1,interaction_sample_failure_last_top_n,interaction_sample_failure_last_top_active_expected,interaction_scored_only_auroc,interaction_scored_only_ef1,interaction_scored_only_top_n,interaction_scored_only_top_active_expected,composite_n_scored,composite_coverage,composite_sample_failure_last_auroc,composite_sample_failure_last_ef1,composite_sample_failure_last_top_n,composite_sample_failure_last_top_active_expected,composite_scored_only_auroc,composite_scored_only_ef1,composite_scored_only_top_n,composite_scored_only_top_active_expected
L1,C7C422,250,5,245,1785,35,1750,2258684875382075074,failed,RuntimeError('AIMNet process failed (1); see /data/user_data/xianyang/t3-smoke-L123-20260908/L1/C7C422/chunks/00000000_00000025/attempt-1788882980207727886/score.log'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,O00141,250,5,245,1581,31,1550,8962273459452102115,complete,,250.0,1.0,0.7910204081632654,16.666666666666664,3.0,1.0,0.7910204081632654,16.666666666666664,3.0,1.0,250.0,1.0,0.5061224489795918,0.0,3.0,0.0,0.5061224489795918,0.0,3.0,0.0,250.0,1.0,0.5395918367346939,0.0,3.0,0.0,0.5395918367346939,0.0,3.0,0.0,250.0,1.0,0.5485714285714286,0.0,3.0,0.0,0.5485714285714286,0.0,3.0,0.0
L1,O00329,250,5,245,9282,182,9100,5238061460567846733,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,O00444,250,5,245,663,13,650,2908828489087106347,failed,RuntimeError('AIMNet process failed (1); see /data/user_data/xianyang/t3-smoke-L123-20260908/L1/O00444/chunks/00000000_00000025/attempt-1788883002916084907/score.log'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,O00519,250,5,245,2397,47,2350,15696630437519882827,unavailable,FileNotFoundError: Pocket absent from dataset and source archive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,O00763,250,5,245,663,13,650,2074963876331069650,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,O14744,250,5,245,1224,24,1200,7421136763316001258,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,O14757,250,5,245,663,13,650,5458716485723773389,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,O14965,250,5,245,1173,23,1150,8071393822173141136,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,O15379,250,5,245,7191,141,7050,5194289704692643399,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,O43353,250,5,245,12546,246,12300,13260295042211349894,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,O43570,250,5,245,12750,250,12500,18110015837269100761,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,O60218,250,5,245,1683,33,1650,17783302252811156144,failed,RuntimeError('AIMNet process failed (1); see /data/user_data/xianyang/t3-smoke-L123-20260908/L1/O60218/chunks/00000000_00000025/attempt-1788883447065761232/score.log'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,O60341,250,5,245,5304,104,5200,16305968917981535525,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,O60674,250,5,245,11628,228,11400,15821111140165691169,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
