layer,uniprot,n,n_actives,n_decoys,source_n,source_n_actives,source_n_decoys,target_dir,status,reason,pocket_source,n_chunks,sampling_seed,seed_base,lane
L1,C7C422,250,5,245,1785,35,1750,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/C7C422,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/C7C422/C7C422_pocket.lmdb,10,2258684875382075074,20260908,0.0
L1,O00141,250,5,245,1581,31,1550,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O00141,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O00141/O00141_pocket.lmdb,10,8962273459452102115,20260908,1.0
L1,O00329,250,5,245,9282,182,9100,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O00329,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O00329/O00329_pocket.lmdb,10,5238061460567846733,20260908,2.0
L1,O00444,250,5,245,663,13,650,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O00444,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O00444/O00444_pocket.lmdb,10,2908828489087106347,20260908,3.0
L1,O00519,250,5,245,2397,47,2350,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O00519,unavailable,FileNotFoundError: Pocket absent from dataset and source archive,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O00519/O00519_pocket.lmdb,10,15696630437519882827,20260908,
L1,O00763,250,5,245,663,13,650,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O00763,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O00763/O00763_pocket.lmdb,10,2074963876331069650,20260908,4.0
L1,O14744,250,5,245,1224,24,1200,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O14744,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O14744/O14744_pocket.lmdb,10,7421136763316001258,20260908,5.0
L1,O14757,250,5,245,663,13,650,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O14757,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O14757/O14757_pocket.lmdb,10,5458716485723773389,20260908,6.0
L1,O14965,250,5,245,1173,23,1150,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O14965,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O14965/O14965_pocket.lmdb,10,8071393822173141136,20260908,7.0
L1,O15379,250,5,245,7191,141,7050,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O15379,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O15379/O15379_pocket.lmdb,10,5194289704692643399,20260908,0.0
L1,O43353,250,5,245,12546,246,12300,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O43353,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O43353/O43353_pocket.lmdb,10,13260295042211349894,20260908,1.0
L1,O43570,250,5,245,12750,250,12500,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O43570,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O43570/O43570_pocket.lmdb,10,18110015837269100761,20260908,2.0
L1,O60218,250,5,245,1683,33,1650,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O60218,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O60218/O60218_pocket.lmdb,10,17783302252811156144,20260908,3.0
L1,O60341,250,5,245,5304,104,5200,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O60341,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O60341/O60341_pocket.lmdb,10,16305968917981535525,20260908,4.0
L1,O60674,250,5,245,11628,228,11400,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O60674,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O60674/O60674_pocket.lmdb,10,15821111140165691169,20260908,5.0
L1,O60885,250,5,245,2958,58,2900,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O60885,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O60885/O60885_pocket.lmdb,10,17673168505296004882,20260908,6.0
L1,O75116,250,5,245,1734,34,1700,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O75116,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O75116/O75116_pocket.lmdb,10,17019753048324370676,20260908,7.0
L1,O75385,250,5,245,510,10,500,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O75385,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O75385/O75385_pocket.lmdb,10,12546209658377320189,20260908,0.0
L1,O75417,250,5,245,510,10,500,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O75417,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O75417/O75417_pocket.lmdb,10,662001300075817084,20260908,1.0
L1,O75460,250,5,245,1734,34,1700,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O75460,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O75460/O75460_pocket.lmdb,10,7808903451315846032,20260908,2.0
L1,O75469,250,5,245,4182,82,4100,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O75469,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O75469/O75469_pocket.lmdb,10,3967415333856997660,20260908,3.0
L1,O75762,250,5,245,765,15,750,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O75762,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O75762/O75762_pocket.lmdb,10,16256265835243841803,20260908,4.0
L1,O75874,250,5,245,1479,29,1450,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O75874,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O75874/O75874_pocket.lmdb,10,11435603786133120445,20260908,5.0
L1,O76074,250,5,245,2754,54,2700,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O76074,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O76074/O76074_pocket.lmdb,10,15363668109038568499,20260908,6.0
L1,O76083,250,5,245,765,15,750,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O76083,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O76083/O76083_pocket.lmdb,10,11266177360391452677,20260908,7.0
L1,O95271,250,5,245,969,19,950,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O95271,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O95271/O95271_pocket.lmdb,10,12012396356418939149,20260908,0.0
L1,O95819,250,5,245,816,16,800,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O95819,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O95819/O95819_pocket.lmdb,10,1358352335123788664,20260908,1.0
L1,O96013,250,5,245,1071,21,1050,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O96013,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O96013/O96013_pocket.lmdb,10,4843767485745497862,20260908,2.0
L1,O96028,250,5,245,1122,22,1100,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O96028,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O96028/O96028_pocket.lmdb,10,16334226229995331415,20260908,3.0
L1,P00338,250,5,245,561,11,550,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00338,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00338/P00338_pocket.lmdb,10,15517046452314987109,20260908,4.0
L1,P00352,250,5,245,510,10,500,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00352,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00352/P00352_pocket.lmdb,10,5365183431209783242,20260908,5.0
L1,P00491,250,5,245,1326,26,1300,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00491,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00491/P00491_pocket.lmdb,10,15975154806328555924,20260908,6.0
L1,P00519,250,5,245,2397,47,2350,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00519,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00519/P00519_pocket.lmdb,10,10790366276622174328,20260908,7.0
L1,P00533,250,5,245,23817,467,23350,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00533,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00533/P00533_pocket.lmdb,10,5704846701637384861,20260908,0.0
L1,P00734,250,5,245,7599,149,7450,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00734,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00734/P00734_pocket.lmdb,10,16878322796142958052,20260908,1.0
L1,P00742,250,5,245,1020,20,1000,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00742,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00742/P00742_pocket.lmdb,10,15712326524092218587,20260908,2.0
L1,P00915,250,5,245,8619,169,8450,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00915,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00915/P00915_pocket.lmdb,10,7100942366799429692,20260908,3.0
L1,P00918,250,5,245,12495,245,12250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00918,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00918/P00918_pocket.lmdb,10,7680177981438887846,20260908,4.0
L1,P00956,250,5,245,3978,78,3900,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00956,unavailable,FileNotFoundError: Pocket absent from dataset and source archive,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00956/P00956_pocket.lmdb,10,7127519537338153560,20260908,
L1,P01116,250,5,245,2601,51,2550,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P01116,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P01116/P01116_pocket.lmdb,10,8277304011532950821,20260908,5.0
L1,P03372,250,5,245,2040,40,2000,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P03372,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P03372/P03372_pocket.lmdb,10,8800095295535359741,20260908,6.0
L1,P04049,250,5,245,867,17,850,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P04049,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P04049/P04049_pocket.lmdb,10,21875239039796402,20260908,7.0
L1,P04626,250,5,245,4896,96,4800,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P04626,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P04626/P04626_pocket.lmdb,10,4162486438207447134,20260908,0.0
L1,P04629,250,5,245,3264,64,3200,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P04629,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P04629/P04629_pocket.lmdb,10,3624201180838742463,20260908,1.0
L1,P04798,250,5,245,3213,63,3150,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P04798,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P04798/P04798_pocket.lmdb,10,6473479860702212012,20260908,2.0
L1,P05089,250,5,245,2907,57,2850,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P05089,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P05089/P05089_pocket.lmdb,10,17685934882627473600,20260908,3.0
L1,P05177,250,5,245,2142,42,2100,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P05177,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P05177/P05177_pocket.lmdb,10,11778505131150932586,20260908,4.0
L1,P05771,250,5,245,561,11,550,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P05771,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P05771/P05771_pocket.lmdb,10,6197142733332020394,20260908,5.0
L1,P05979,250,5,245,1530,30,1500,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P05979,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P05979/P05979_pocket.lmdb,10,11683121474388225518,20260908,6.0
L1,P06213,250,5,245,663,13,650,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P06213,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P06213/P06213_pocket.lmdb,10,15379217132958402084,20260908,7.0
L1,P06239,250,5,245,3468,68,3400,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P06239,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P06239/P06239_pocket.lmdb,10,16138423187341476189,20260908,0.0
L1,P06276,250,5,245,2499,49,2450,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P06276,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P06276/P06276_pocket.lmdb,10,16664993864633440989,20260908,1.0
L1,P06493,250,5,245,1887,37,1850,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P06493,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P06493/P06493_pocket.lmdb,10,16769607575808996320,20260908,2.0
L1,P07333,250,5,245,5253,103,5150,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P07333,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P07333/P07333_pocket.lmdb,10,6155119062903632589,20260908,3.0
L1,P07550,250,5,245,612,12,600,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P07550,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P07550/P07550_pocket.lmdb,10,2277989103569987340,20260908,4.0
L1,P07711,250,5,245,2091,41,2050,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P07711,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P07711/P07711_pocket.lmdb,10,17649045249265424152,20260908,5.0
L1,P07900,250,5,245,1479,29,1450,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P07900,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P07900/P07900_pocket.lmdb,10,4875815789671592610,20260908,6.0
L1,P07947,250,5,245,2244,44,2200,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P07947,unavailable,FileNotFoundError: Pocket absent from dataset and source archive,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P07947/P07947_pocket.lmdb,10,2832288352819941168,20260908,
