target,pocket_atoms,n_input_poses,n_scored_poses,n_actives_full,full_retrieval_ef1,retrieval_actives_top5,retrieval_actives_top10,interaction_ef1,interaction_actives_top5,interaction_actives_top10,composite_ef1,composite_actives_top5,composite_actives_top10,retrieval_active_ranks,composite_active_ranks,n_composite_converged,spearman_ligunity_vs_composite,delta_top5_composite_minus_retrieval,delta_top10_composite_minus_retrieval
3ebp,322,2000,2000,5,0.0,0,5,0.0,0,1,0.0,1,2,"{""3ebp"": 8, ""3g2n"": 7, ""3l7b"": 9, ""3syr"": 10, ""4eky"": 6}","{""3ebp"": 19, ""3g2n"": 8, ""3l7b"": 16, ""3syr"": 18, ""4eky"": 5}",19,0.25864661654135335,1,-3
2vvn,508,2000,2000,5,57.0,5,5,0.0,0,0,0.0,0,1,"{""2vvn"": 5, ""2w4x"": 4, ""2w66"": 3, ""2wca"": 2, ""2xj7"": 1}","{""2vvn"": 18, ""2w4x"": 16, ""2w66"": 17, ""2wca"": 10, ""2xj7"": 19}",20,-0.393984962406015,-5,-4
3arp,599,2000,2000,5,38.0,4,5,4.0,3,3,4.0,2,3,"{""3arp"": 2, ""3arq"": 6, ""3aru"": 4, ""3arv"": 5, ""3ary"": 3}","{""3arp"": 1, ""3arq"": 20, ""3aru"": 11, ""3arv"": 6, ""3ary"": 2}",19,0.2706766917293233,-2,-2
3gnw,705,2000,2000,5,57.0,5,5,0.0,0,1,4.0,1,2,"{""3cj4"": 5, ""3gnw"": 1, ""4eo8"": 4, ""4ih5"": 3, ""4ih7"": 2}","{""3cj4"": 12, ""3gnw"": 1, ""4eo8"": 17, ""4ih5"": 18, ""4ih7"": 10}",20,0.1894736842105263,-4,-3
1e66,554,1978,1978,5,57.0,5,5,0.0,1,1,0.0,0,0,"{""1e66"": 2, ""1gpk"": 5, ""1gpn"": 1, ""1h22"": 4, ""1h23"": 3}","{""1e66"": 14, ""1gpk"": 11, ""1gpn"": 13, ""1h22"": 17, ""1h23"": 20}",20,-0.45714285714285713,-5,-5
3f3e,409,1964,1964,5,57.0,5,5,4.0,2,4,4.0,3,4,"{""3f3a"": 5, ""3f3c"": 3, ""3f3d"": 4, ""3f3e"": 2, ""4mme"": 1}","{""3f3a"": 9, ""3f3c"": 4, ""3f3d"": 1, ""3f3e"": 2, ""4mme"": 17}",20,0.04360902255639097,-2,-1
2cet,541,2000,2000,5,57.0,5,5,4.0,1,2,0.0,1,2,"{""2cbv"": 4, ""2cet"": 2, ""2j78"": 5, ""2j7h"": 3, ""2wbg"": 1}","{""2cbv"": 18, ""2cet"": 11, ""2j78"": 6, ""2j7h"": 5, ""2wbg"": 13}",20,0.018045112781954885,-4,-3
4gid,747,1982,1982,6,47.5,5,6,0.0,2,3,0.0,1,3,"{""2v00"": 8, ""2vkm"": 3, ""3rsx"": 1, ""3udh"": 2, ""4djv"": 5, ""4gid"": 4}","{""2v00"": 15, ""2vkm"": 7, ""3rsx"": 6, ""3udh"": 17, ""4djv"": 4, ""4gid"": 11}",18,0.16240601503759397,-4,-3
4pcs,386,2000,2000,5,57.0,5,5,0.0,0,1,0.0,0,1,"{""2wvt"": 4, ""2xii"": 5, ""4j28"": 1, ""4jfs"": 2, ""4pcs"": 3}","{""2wvt"": 14, ""2xii"": 15, ""4j28"": 13, ""4jfs"": 10, ""4pcs"": 18}",19,-0.20150375939849624,-5,-4
3ge7,514,2000,2000,5,57.0,5,5,4.0,3,4,0.0,2,5,"{""1r5y"": 5, ""1s38"": 4, ""3gc5"": 1, ""3ge7"": 2, ""3rr4"": 3}","{""1r5y"": 4, ""1s38"": 7, ""3gc5"": 10, ""3ge7"": 2, ""3rr4"": 9}",20,0.2992481203007519,-3,0
3e93,631,2000,2000,5,57.0,5,5,0.0,2,3,4.0,3,4,"{""2zb1"": 2, ""3e92"": 1, ""3e93"": 3, ""4dli"": 5, ""4f9w"": 4}","{""2zb1"": 2, ""3e92"": 3, ""3e93"": 17, ""4dli"": 1, ""4f9w"": 10}",20,0.49022556390977434,-2,-1
3qqs,377,2000,2000,5,57.0,5,5,0.0,1,3,0.0,2,4,"{""3qqs"": 2, ""3r88"": 1, ""3twp"": 3, ""4gkm"": 4, ""4owm"": 5}","{""3qqs"": 15, ""3r88"": 9, ""3twp"": 5, ""4gkm"": 7, ""4owm"": 4}",20,-0.03909774436090225,-3,-1
2r9w,439,2000,2000,5,57.0,5,5,0.0,1,3,4.0,1,2,"{""2r9w"": 5, ""3gr2"": 4, ""3gv9"": 1, ""4jxs"": 2, ""4kz6"": 3}","{""2r9w"": 20, ""3gr2"": 11, ""3gv9"": 1, ""4jxs"": 16, ""4kz6"": 8}",20,-0.08421052631578946,-4,-3
2qbp,544,2000,2000,5,57.0,5,5,4.0,3,4,0.0,1,2,"{""1bzc"": 3, ""2hb1"": 4, ""2qbp"": 1, ""2qbq"": 2, ""2qbr"": 5}","{""1bzc"": 11, ""2hb1"": 3, ""2qbp"": 18, ""2qbq"": 10, ""2qbr"": 15}",20,-0.015037593984962403,-4,-3
3ag9,752,2000,2000,6,47.5,5,5,4.0,4,5,4.0,2,5,"{""1q8t"": 1, ""1q8u"": 4, ""1ydr"": 2, ""1ydt"": 3, ""3ag9"": 5}","{""1q8t"": 7, ""1q8u"": 1, ""1ydr"": 9, ""1ydt"": 4, ""3ag9"": 8}",19,0.12180451127819547,-3,0
5dwr,509,2000,2000,6,47.5,5,6,3.3333333333333335,3,4,3.3333333333333335,3,3,"{""2c3i"": 3, ""3bgz"": 2, ""3ebp"": 8, ""3jya"": 1, ""4k18"": 5, ""5dwr"": 4}","{""2c3i"": 12, ""3bgz"": 13, ""3ebp"": 4, ""3jya"": 1, ""4k18"": 3, ""5dwr"": 20}",20,-0.03458646616541353,-2,-3
3coy,595,1972,1972,5,57.0,5,5,4.0,2,4,0.0,2,3,"{""3coy"": 3, ""3coz"": 4, ""3ivg"": 1, ""4ddh"": 5, ""4ddk"": 2}","{""3coy"": 13, ""3coz"": 14, ""3ivg"": 4, ""4ddh"": 3, ""4ddk"": 9}",19,0.07518796992481201,-3,-2
2fvd,561,2000,2000,7,0.0,0,0,0.0,1,1,0.0,0,1,"{""2v7a"": 12}","{""2v7a"": 7}",20,-0.2857142857142857,0,1
