layer,uniprot,available_actives,selected_actives,pocket_atoms,center,size,padding
L1,O95271,19,10,198,"[-27.342, -16.8485, 2.5795000000000003]","[24.354, 30.229, 34.673]",4.0
L1,P00338,11,10,158,"[-10.290000000000001, -15.5255, -52.074]","[33.946, 26.245, 25.42600000000001]",4.0
L1,P06239,68,10,185,"[22.313, 40.308499999999995, 83.255]","[31.394, 27.335, 28.208]",4.0
L1,P08922,20,10,180,"[41.584, -19.665499999999998, -3.5664999999999996]","[28.684, 29.470999999999997, 28.879]",4.0
L1,P0C6U8,12,10,227,"[33.639160000000004, -57.095005, 28.349925]","[35.79566, 26.70091, 31.493949999999998]",4.0
L1,P33981,29,10,205,"[35.7735, 40.872, 40.481]","[34.709, 32.794, 29.776]",4.0
L1,P35354,44,10,221,"[23.7865, 51.575, 18.5655]","[31.139000000000003, 31.946000000000005, 31.150999999999996]",4.0
L1,P49327,665,10,210,"[117.976, 185.861, 119.095]","[35.103999999999985, 31.442000000000007, 28.459999999999994]",4.0
L1,P49759,11,10,172,"[37.2755, 29.551499999999997, -0.49549999999999983]","[29.443, 29.532999999999998, 27.503]",4.0
L1,P50053,25,10,225,"[-2.0969999999999995, 0.7770000000000001, 18.306500000000003]","[31.166, 31.445999999999998, 30.103000000000005]",4.0
L1,P51532,10,10,162,"[-6.895499999999999, -1.2685000000000004, 22.8705]","[25.857, 28.351, 26.843000000000004]",4.0
L1,P56524,28,10,151,"[17.909, 79.6935, 35.016]","[28.762, 25.055000000000007, 28.522000000000002]",4.0
L1,P62937,18,10,273,"[50.983, 49.730500000000006, 50.716]","[38.032, 32.22100000000001, 39.872]",4.0
L1,Q06124,28,10,245,"[22.076365000000003, 19.416305, 5.4362699999999995]","[31.805290000000003, 31.764750000000006, 28.365319999999997]",4.0
L1,Q07343,47,10,231,"[41.906, 4.1875, 63.5685]","[33.248000000000005, 28.783, 31.467000000000006]",4.0
L1,Q08499,18,10,264,"[-14.69435, 4.098965000000001, -67.35343]","[28.61712, 31.980870000000003, 34.16396]",4.0
L1,Q15059,43,10,150,"[19.798000000000002, 9.6315, 25.66]","[29.352000000000004, 28.453, 26.288000000000004]",4.0
L1,Q6GI75,16,10,203,"[110.69149999999999, 69.2565, 36.87]","[29.090999999999994, 28.905, 31.554]",4.0
L1,Q86WV6,25,10,337,"[12.349, 9.879999999999999, 38.272999999999996]","[34.025999999999996, 33.836, 32.902]",4.0
L1,Q86X55,48,10,279,"[8.5775, 25.275000000000002, 22.9355]","[35.855, 32.246, 33.879]",4.0
L1,Q8N1Q1,10,10,169,"[44.272999999999996, 59.307, 37.6145]","[31.046, 26.332, 32.44500000000001]",4.0
L1,Q92793,12,10,182,"[5.1485, -5.5335, 16.793499999999998]","[31.757, 32.653, 33.946999999999996]",4.0
L1,Q96MU7,11,10,180,"[2.69824, 1.8154599999999999, 4.521270000000001]","[26.12868, 27.51792, 30.08596]",4.0
L1,Q9UBN7,426,10,166,"[2.5975, 0.44899999999999984, 8.6535]","[23.781, 28.82, 29.721]",4.0
L2,O14757,190,10,170,"[12.419500000000001, -2.213, 12.723]","[31.459, 29.189999999999998, 26.272000000000002]",4.0
L2,O43318,15,10,248,"[-4.643, -47.6525, -17.4925]","[39.418, 28.267000000000003, 31.891000000000002]",4.0
L2,O75460,278,10,263,"[14.070525, 35.780915, 20.690035]","[30.368009999999998, 31.82481, 34.25117]",4.0
L2,O95819,66,10,256,"[-15.307500000000001, -9.162, 30.144000000000002]","[28.631, 30.126, 30.868000000000002]",4.0
L2,P05177,36,10,180,"[3.520999999999999, 15.325, 19.939500000000002]","[31.075999999999997, 26.262, 28.217000000000002]",4.0
L2,P06730,23,10,230,"[20.308999999999997, -10.369, 57.349000000000004]","[34.762, 31.282000000000004, 30.925999999999995]",4.0
L2,P08254,16,10,159,"[19.519, -14.781, -8.846]","[29.257999999999996, 24.126, 30.086]",4.0
L2,P18825,125,10,210,"[-8.3705, 6.622499999999999, 55.1695]","[28.308999999999997, 30.037, 29.691000000000003]",4.0
L2,P31153,542,10,380,"[-33.9935, 0.573500000000001, -43.284]","[33.959, 40.569, 27.864000000000004]",4.0
L2,P31645,109,10,259,"[136.501, 126.353, 117.1635]","[30.760000000000005, 40.087999999999994, 32.766999999999996]",4.0
L2,P36897,277,10,216,"[2.7435, 15.809999999999999, 11.5905]","[30.555, 30.972, 27.821]",4.0
L2,P41143,92,10,192,"[-4.126000000000001, -68.28999999999999, 71.504]","[26.472, 29.303999999999995, 28.196000000000005]",4.0
L2,P43166,39,10,162,"[-3.1145000000000014, -0.9455, 17.639]","[32.775000000000006, 29.552999999999997, 28.306]",4.0
L2,P43405,104,10,203,"[3.0414999999999983, 2.6975000000000007, 13.019]","[32.028999999999996, 30.787, 31.276]",4.0
L2,P56817,352,10,251,"[69.464, 45.9765, 4.109500000000001]","[37.704, 33.005, 36.365]",4.0
L2,Q06187,977,10,253,"[-3.5365, -28.6425, 17.6435]","[33.353, 31.153000000000002, 28.323]",4.0
L2,Q13224,42,10,132,"[22.115000000000002, -4.481, -33.9855]","[40.396, 25.946, 23.281]",4.0
L2,Q13822,197,10,215,"[-8.2595, 3.343, -41.4525]","[31.387, 29.375999999999998, 30.328999999999997]",4.0
L2,Q14145,124,10,225,"[1.952, 0.6625000000000014, -22.56]","[25.678, 35.345, 30.198]",4.0
L2,Q15119,112,10,279,"[-4.0315, -6.927999999999999, -8.0475]","[34.949, 32.751999999999995, 28.145000000000003]",4.0
L2,Q6P179,17,10,261,"[16.415315, 7.934704999999999, 59.770725]","[36.70689, 33.82397, 30.748829999999998]",4.0
L2,Q8NER1,44,10,274,"[143.0215, 151.858, 171.1945]","[45.380999999999986, 30.623999999999995, 33.10500000000002]",4.0
L2,Q92793,437,10,182,"[5.1485, -5.5335, 16.793499999999998]","[31.757, 32.653, 33.946999999999996]",4.0
L2,Q9Y5Z0,317,10,210,"[22.7865, -8.451, -18.741999999999997]","[31.756999999999998, 30.982, 33.294]",4.0
